n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
6	0	0	2	1	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	0	1	It's raining heavily overnight.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The sun sets over the calm sea.	0
9	0	2	0	0	0	0	2	0	1	1	2	0	1	2.0	3	0	0	1	0	0	0	1	In Paris, they painted in impressionist style.	0
8	0	0	1	1	0	0	1	0	0	1	1	0	2	3.0	2	1	1	1	0	0	0	1	Mozart's symphonies have become renowned worldwide.	0
12	1	0	0	1	0	1	1	0	3	0	1	1	3	4.0	3	2	2	2	2	0	2	2	I'll let you know if I find a suitable location.	0
10	0	1	1	0	0	2	1	0	0	3	1	0	1	2.0	5	0	0	1	0	0	0	1	The Mona Lisa hung quietly in the Louvre gallery.	0
8	0	0	0	0	1	2	3	0	0	0	1	0	1	3.0	3	0	0	1	1	0	1	1	Snow covered the trees and the rooftops.	0
8	0	1	0	1	0	2	3	0	0	0	1	0	0	2.0	3	0	0	1	0	0	0	1	The painting is a masterpiece of art.	0
5	1	0	0	0	0	0	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	She has blue eyes.	0
8	0	1	0	1	0	1	3	0	1	0	1	0	0	2.0	3	0	0	1	0	0	0	1	You're an expert in programming languages.	0
9	1	0	0	1	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	1	0	1	1	The company has launched a new product line.	0
7	0	1	1	0	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	Snowflakes gently descend from the sky.	0
9	2	0	0	1	1	1	1	0	0	0	2	0	1	2.0	2	0	0	1	0	0	0	1	"  ""The new manager is skilled and experienced."	0
9	0	2	1	0	0	1	2	0	1	0	1	0	1	2.0	6	0	0	1	0	0	0	1	She sings beautifully in harmony with the birds.	0
9	0	1	0	0	0	2	2	0	0	0	1	0	2	3.0	3	1	1	1	0	0	0	1	The sun begins to set over the ocean.	0
11	0	1	0	1	0	1	2	0	2	0	1	0	2	3.0	5	1	1	1	1	0	1	1	I'm waiting for your turn to play a card.	0
8	1	0	0	1	0	0	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	Your sentence should not contain postverbal objects.	0
9	1	0	0	1	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	1	0	1	1	The company is considering a new product launch.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	A cat quietly purrs in the corner.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rose above the mountain.	0
10	0	1	0	1	0	2	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	1	1	You should bring a map on a mountain hike.	0
8	0	1	0	1	0	0	4	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	Solar panels are used in space technology.	0
9	1	1	0	1	0	2	3	0	0	0	1	0	0	2.0	4	0	0	1	0	0	0	1	Every day is a new opportunity for success.	0
7	1	0	0	0	0	0	2	0	2	0	1	0	1	2.0	3	0	0	1	1	0	1	1	Your pet needs its regular vaccinations.	0
10	0	2	0	0	0	2	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The students all handed in their assignments during class.	0
10	0	2	0	0	0	1	5	0	0	0	1	0	1	2.0	7	0	0	1	1	0	1	1	Squirrels hide nuts under tree roots for the winter.	0
10	0	2	0	0	0	3	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	0	1	An elephant stood in the middle of the jungle.	0
11	2	2	0	1	0	1	1	0	2	0	1	0	1	4.0	4	1	1	1	0	0	0	1	I'm curious about what lies beyond this unexplored territory.	0
