n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
5	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2	Golfing, of course!	0
20	1	0	2	2	0	5	0	3	0	2	0	0	4	1	1	0	0	6.0	1	6	Bright green shoots burst forth from every horizon, a lush landscape emerging from the previous week's grayness.	0
7	0	1	1	0	0	2	0	1	0	2	0	0	0	1	2	0	0	3.0	1	4	Giggles escaped as the kitten purred.	0
9	0	0	2	1	0	3	1	0	0	2	0	0	0	0	2	1	0	3.0	0	4	Galaxies gazed upon, wonder filled her soul.	0
10	1	0	0	1	0	4	1	0	0	2	0	0	1	1	1	1	0	4.0	1	4	Frogs dance happily on rain drops singing their best rhymes	0
4	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2	Lemon, inevitably.	0
2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0	0	Lego.	0
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Jazz	0
5	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2	Golfing, of course.	0
11	0	0	2	2	0	3	1	0	1	2	0	0	0	1	2	0	0	3.0	1	6	Fluttershy stared into space, her mind lost in thought.	0
5	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2	Wheels, of course!	0
6	0	0	2	0	0	2	0	0	0	1	0	0	1	0	1	1	0	2.0	0	3	Foxes dance tappity-tappy.	0
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Golf	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Giraffes.	0
6	0	0	2	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	3	Echoes bounce, off silence.	0
9	0	0	1	2	0	4	1	0	0	1	0	0	0	0	1	0	0	3.0	0	4	Gas station cashier looks at her in disgust.	0
2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0	0	Bam!	0
9	0	0	0	1	0	3	0	3	0	1	0	0	1	0	1	1	0	2.0	0	6	The sky turned a brilliant shade for a moment	0
2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0	0	Bam!	0
4	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2	Time, for.	0
3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.0	0	1	Foofa does!	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Lasers.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Rockets.	0
2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	Burn.	0
5	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	3	Happily, I do.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Glitz.	0
3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.0	0	1	Sun rises.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Bling.	0
4	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.0	0	2	Flora, naturally.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Zoom!	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Muffins.	0
4	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2	Water, undoubtedly.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Lights.	0
5	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1.0	0	4	Cows, cows, cows	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Cake.	0
3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Water falls.	0
6	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	2.0	0	3	Sun sparkles bright on sea.	0
4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2	Drumroll, please.	0
4	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2.0	0	2	Love, of course	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The ball bounced.	0
4	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	2	Ribbons, galore!	0
5	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	3	Rainbows streaked; across sky	0
2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	Dance.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Foam.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	1	0	2.0	0	2	Puppies eat ice cream.	0
3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Frogs jump.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Bling.	0
3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Rats! 🐀	0
3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1.0	0	1	Sounds great!	0
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Ding.	0
5	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The pan cooled down.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog ran into the park.	1
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun sets slowly.	1
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	3	The teacher wrote in blue pen.	1
8	0	0	1	0	0	2	0	2	0	2	0	0	0	1	1	1	0	2.0	1	4	The chef awaits the egg to set.	1
3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1.0	0	1	The sun.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly in the sky.	1
6	1	0	2	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1.0	0	3	Furious, I rushed inside.	1
7	0	1	1	0	0	1	0	1	0	2	0	0	0	1	1	0	0	3.0	1	5	Wait for the cheque to clear.	1
9	0	0	1	2	0	2	0	1	0	2	0	0	0	1	0	0	0	2.0	1	6	Wait for the water heater to turn on.	1
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Cows.	1
2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1.0	0	1	The sun	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The kettle boiled.	1
6	0	0	0	1	0	1	0	1	0	2	0	0	0	1	0	0	0	3.0	1	3	Wait for the toast to toast	1
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Water drips from the faucet. 	1
8	0	0	1	1	0	1	2	0	0	2	0	0	1	1	1	0	0	3.0	1	4	I love running in my personal park.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The teacher walks.	1
