n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
18	1	2	1	1	0	3	2	2	0	4	0	0	0	3	2	3	0	6.0	3	4	We had no choice but to stay home as we have a family to take care of.	0
12	1	0	2	1	1	2	1	1	0	0	0	1	2	0	0	0	0	4.0	0	7	How is your future, young and vibrant like the sunrise?	0
18	0	1	1	0	0	4	2	2	0	4	0	1	0	3	1	3	0	6.0	3	6	We will have to find a way to overcome this roadblock in order to achieve our goals.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2.0	0	4	How is your mental health?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
27	1	0	2	1	1	6	1	5	0	4	0	3	0	2	3	3	0	5.0	2	14	The context does not provide any instructions or information to create a sentence, therefore I cannot generate the output the prompt is asking for.	0
17	0	2	1	1	0	4	2	3	0	3	0	0	0	2	2	2	0	5.0	2	7	We had no choice but to remain in the vicinity while the ordeal took its toll.	0
15	0	0	2	2	1	3	2	1	0	2	0	2	0	0	1	0	0	4.0	0	6	We will be heading for home, but there's no time for romance.	0
12	1	0	1	2	0	2	2	1	0	1	0	1	1	0	1	0	0	3.0	0	4	How are you coping with the ongoing stress in your life?	0
9	0	0	5	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2.0	0	5	  **Monday, November 23, 2023**	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
5	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2.0	0	3	How is your future?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How was your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
19	2	3	2	0	0	1	4	1	0	3	0	2	0	2	3	2	0	4.0	2	10	We had no choice but to stay, though this will take us as far as we can.	0
10	0	1	1	0	0	2	1	2	0	2	0	0	0	1	1	2	0	4.0	1	3	We had no choice but to leave the room.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
10	0	0	1	1	1	1	1	1	0	0	0	2	2	0	1	0	0	2.0	0	5	We must be careful and strategic in this task.	0
18	2	2	2	0	1	1	3	1	0	3	0	2	0	1	2	2	0	4.0	1	9	We had no choice but to stay, but will take this as far as we can.	0
14	2	0	2	2	0	2	2	1	0	2	0	1	0	1	1	1	0	4.0	1	4	It is currently raining heavily, leaving us with no shelter at home.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
12	1	0	1	1	0	3	1	1	0	1	0	1	2	0	1	0	0	2.0	0	5	How has your love life changed over the past few months?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
14	0	0	2	2	1	3	0	2	0	2	1	0	0	0	0	2	0	3.0	0	6	Please fill in the blank, and generate a sentence with 0 adpositions.	0
20	1	0	1	2	2	4	4	0	0	3	0	0	2	1	1	1	0	4.0	1	9	We agreed to stay and continue our work together despite our personal differences and challenges within our professional lives.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
18	2	2	2	0	1	1	3	1	0	3	0	2	0	1	2	2	0	4.0	1	9	We had no choice but to stay, but will take this as far as we can.	0
28	3	1	1	2	0	4	4	3	0	3	0	4	3	4	4	0	0	9.0	4	7	We will make sure that all our boxes are always empty in preparation for a disaster that we are sure will happen when the day finally comes.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
17	2	2	1	0	1	1	3	1	0	3	0	2	0	1	2	2	0	4.0	1	8	We had no choice but to stay but will take this as far as we can.	0
19	0	0	1	2	0	5	2	1	0	3	0	1	2	2	1	2	0	5.0	2	9	We should make sure to prioritize open communication between both partners in order to enhance our love life.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
13	1	0	3	1	0	2	1	0	2	0	2	1	0	0	0	0	0	4.0	0	4	How was your love life on Saturday, November 16, 2013?	0
13	0	0	1	1	0	2	4	0	0	2	0	2	1	1	2	2	0	4.0	1	4	We should avoid unnecessary activities that may distract us from our mission.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your dating life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
12	1	1	1	0	1	1	1	1	0	4	0	0	0	2	1	1	0	5.0	2	2	We had no choices to make in staying or moving forward.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
10	0	1	1	0	0	2	1	2	0	2	0	0	0	1	1	2	0	4.0	1	3	We had no choice but to escape this situation.	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	4	How is your love life?	0
6	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2.0	0	3	How does your love life?	0
13	1	0	1	2	0	2	2	2	0	2	0	1	0	1	1	0	0	4.0	1	4	There is no place I would rather go than to the mountains.	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
31	0	0	2	3	1	8	1	4	0	4	0	2	3	3	1	0	0	5.0	3	14	There is no evidence of a medical examination or blood tests to be taken, suggesting a comprehensive review of medical conditions is not included in this task's scope.	1
13	0	0	1	1	2	4	2	1	0	1	0	0	1	0	0	0	0	4.0	0	5	There is no medical exam or blood test or others like that.	1
16	0	1	1	0	1	4	2	2	0	3	0	0	1	1	1	2	0	5.0	1	5	There is no need for medical professionals to diagnose your ailment or prescribe any tests.	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
25	0	1	2	1	0	5	2	5	0	4	0	2	0	3	3	2	0	4.0	3	13	I cannot provide a sentence that contains an adposition, as the instruction does not specify which element to use in the adposition.	1
31	0	1	2	2	1	7	2	6	0	3	0	3	2	3	2	2	0	6.0	3	12	There is no solution to this problem, as the context does not provide any descriptive adjectives or locations that would be necessary to generate a sentence with an adposition.	1
12	0	0	1	1	1	4	1	2	0	1	0	0	1	0	0	0	0	3.0	0	6	There is no magic trick or mysterious solution to this problem.	1
13	0	0	1	1	2	4	2	1	0	1	0	0	1	0	0	0	0	4.0	0	5	There is no medical exam or blood test or others like that.	1
27	2	1	2	3	1	6	3	3	0	4	0	1	0	4	2	1	0	7.0	4	18	There is absolutely no way to get there without engaging in the practice of meditation or yoga, both of which are practices that incorporate movement.	1
18	1	1	4	1	0	4	1	2	0	0	0	2	2	1	1	0	0	4.0	1	7	"""It is important that the candidate be adaptable to the ever-changing job market."""	1
22	0	0	1	1	1	7	3	1	0	4	0	1	1	3	1	2	0	6.0	3	6	There is no medical exam or blood test on their bodies that's used to run power plants to generate electricity.	1
12	2	0	1	1	0	2	2	2	0	2	0	0	0	1	2	1	0	4.0	1	4	I wonder why I never saw the stars in the sky.	1
14	0	1	2	1	0	1	4	0	0	1	0	2	2	1	2	2	0	3.0	1	8	I could give you good advice, if you were interested in it.	1
13	0	0	1	1	2	4	2	1	0	1	0	0	1	0	0	0	0	4.0	0	5	There is no medical exam or blood test or others like that.	1
25	2	1	3	1	0	3	4	3	0	4	0	2	0	2	2	1	0	3.0	2	20	There is nothing in this text to indicate that it is actually a solved task, hence, I cannot fulfill this instruction.	1
21	0	0	5	3	0	4	1	4	1	1	0	1	1	1	2	0	0	5.0	1	4	"The sentence is, ""She went on a solo trip to the distant lands of the Amazon.""."	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
22	0	0	5	2	0	4	1	3	0	0	1	2	3	0	2	0	0	3.0	0	15	"Sure, the sentence with 1 adposition is, ""He is the best darn doctor in the entire world!"""	1
11	1	0	1	1	1	0	2	0	3	1	0	1	0	0	1	0	0	3.0	0	4	It is literally Monkey See and Monkey Do with them.	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
7	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	5	It is definitely a strange world.	1
6	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	Not given in the context.	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
24	1	1	2	2	0	4	2	3	0	4	1	2	0	1	2	2	0	4.0	1	16	It's not mentioned in the context about generating a sentence with 1 adpositions, so I cannot generate the requested sentence.	1
13	0	0	1	1	0	3	1	3	0	3	0	0	0	1	0	1	0	4.0	1	6	There is no reason to celebrate this example as a solved task.	1
25	0	0	2	3	3	7	3	2	0	3	0	0	2	1	1	1	0	7.0	1	10	There is no time for sleep or leisure, but there are people who find solace within the vast and boundless landscapes of sleep.	1
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	0	0	0	2.0	0	5	There are no cookies in the pantry.	1
13	0	0	1	1	2	4	2	1	0	1	0	0	1	0	0	0	0	4.0	0	5	There is no medical exam or blood test or others like that.	1
11	1	0	1	0	0	2	1	1	0	2	1	1	0	1	1	2	0	4.0	1	3	I can't generate a sentence using only one adpositions.	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
20	1	0	1	1	1	4	2	4	0	4	0	1	0	1	1	1	0	3.0	1	14	There is no information in this context regarding an adposition and therefore I cannot generate the requested sentence.	1
27	1	0	2	2	2	4	4	1	0	4	0	2	2	2	1	1	0	5.0	2	14	There is nothing more to see to be looked at, so we can't have any medical examinations or blood tests or others like that.	1
13	0	0	1	1	2	4	2	1	0	1	0	0	1	0	0	0	0	4.0	0	5	There is no medical exam or blood test or others like that.	1
10	0	1	1	0	0	2	1	2	0	2	0	0	1	1	0	1	0	4.0	1	3	There's no medicine in fixing a bad day!  Please let me know if this is the correct output you are looking for.	1
12	1	0	1	1	0	3	0	3	0	0	0	1	2	0	1	0	0	2.0	0	5	The sky is truly a beautiful tapestry in the blue sky.	1
16	0	1	1	0	0	5	2	2	0	4	0	1	0	3	2	2	0	6.0	3	5	There is no evidence that supports the claim that eating mushrooms can help cure depression.	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
19	2	0	2	1	1	3	2	2	0	2	0	2	0	0	2	1	0	3.0	0	9	I am not feeling well today, and therefore I cannot complete this task at the moment.	1
24	0	0	1	2	2	7	3	3	0	2	0	1	3	1	2	2	0	5.0	1	8	I have a deep love of my home and a rich collection of books and board games that would make a museum jealous.	1
20	1	0	2	1	0	3	1	3	0	2	0	3	2	2	2	1	0	5.0	2	7	I'm not sure, perhaps the question can be rewritten to include an additional aspect of the task.	1
11	1	0	3	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	" ""The rainy dog sat happily by the river."""	1
2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	Sure! Here you go, as promised.	1
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Huh.	1
11	1	0	1	1	1	2	2	0	0	2	0	1	0	0	2	0	0	3.0	0	4	It is literally monkey see and monkey do with them.	1
31	1	1	2	1	3	6	1	5	0	5	0	3	1	3	1	1	0	6.0	3	19	There is no need to perform an ultrasound or mammogram at this moment, as all the required examinations and tests have already been completed and found to be unremarkable.	1
11	1	0	1	1	1	2	2	0	0	2	0	1	0	0	2	0	0	3.0	0	4	It is literally monkey see and monkey do with them.	1
