n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
9	0	0	0	0	0	2	3	0	0	0	1	0	2	3.0	2	1	1	1	1	0	The sun setting causes the day to end.	2
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The ball was thrown by the boy.	2
6	0	0	0	0	0	1	2	0	0	0	1	0	1	3.0	2	0	0	1	0	0	The king's horse jumped.	2
8	0	1	0	0	0	1	2	0	1	0	1	0	2	2.0	4	0	0	1	0	0	The baby smiled at its reflecting image.	2
9	0	0	0	0	0	2	4	0	0	0	1	0	1	3.0	3	0	0	1	1	0	The cat's meowing disturbed the sleeping baby.	2
11	0	0	2	0	0	2	2	0	0	0	3	0	2	3.0	5	1	0	1	1	1	The sun, rising high, illuminates the horizon fully.	2
13	0	1	0	0	0	2	3	0	2	0	2	1	2	3.0	5	1	0	1	2	1	Before starting his car, he inserted the key into the ignition.	2
9	0	1	0	0	0	2	3	0	0	0	1	0	1	3.0	5	0	0	1	0	0	The cat sat on the mat's edge.	2
12	0	1	0	0	0	2	4	0	1	0	2	0	1	3.0	7	0	0	1	1	0	"""The king offered his throne to the queen's nephew."	2
9	0	1	0	0	0	0	3	0	2	0	1	0	2	3.0	4	1	1	1	2	0	Desire for ice cream led her buy it.	2
7	2	0	0	0	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The tall tree casts long shadow.	2
15	0	1	1	0	0	3	3	0	1	0	3	1	2	3.0	6	1	0	2	0	1	"""Although the rain lasted all afternoon, we still went for a picnic."	2
9	0	0	0	0	0	2	2	0	0	0	2	1	2	3.0	4	1	0	2	0	1	If the sun rises, the birds sing.	2
9	0	0	1	0	0	1	2	0	0	0	2	1	2	3.0	4	1	0	2	0	1	Although the sun rises, darkness sometimes prevails.	2
9	1	0	0	1	0	1	1	0	1	0	2	1	1	3.0	4	1	0	2	0	1	Although the sun shines, it is cold.	2
13	0	0	0	0	0	3	3	0	0	0	3	0	3	4.0	6	2	1	1	2	1	The president, seeing the rioters, ordered the soldiers to shoot.	2
12	0	0	0	1	0	1	1	0	2	2	1	0	3	4.0	4	2	2	2	2	0	Sally convinced Tom to eat the cookies that she had baked.	2
9	0	0	0	0	0	3	3	0	0	0	1	0	2	3.0	3	1	1	1	2	0	A boy watched a man kiss a girl.	2
10	0	0	1	0	0	1	2	0	0	1	2	1	2	3.0	4	1	0	2	1	1	Although the sun rose early, John went cycling.	2
9	0	0	0	0	0	0	1	0	3	0	2	1	2	2.0	4	1	0	2	1	1	Though I understand, your argument disappoints me.	2
8	0	0	0	0	0	2	3	0	0	0	1	0	2	2.0	3	1	0	1	1	1	The sun rising makes the birds chirp.	2
4	0	0	0	0	0	0	2	0	0	0	1	0	1	1.0	1	0	0	1	1	0	Dogs chase cats.	2
9	0	0	1	0	0	2	2	0	1	0	1	0	2	4.0	5	1	0	2	0	1	The ball that the boy threw bounced high.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises after the night.	2
11	0	0	1	0	0	2	3	0	0	0	2	1	2	3.0	5	1	0	2	0	1	After the boy sneezed, the candlelit room trembled briefly.	2
8	0	0	0	0	0	1	3	0	1	0	1	0	1	3.0	4	0	0	1	1	0	The king approved his son's request.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises over the mountains.	2
