n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
9	1	0	2	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	Slowly, the cat purred in the sunbeam.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat meowed silently.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
6	0	0	1	0	0	2	0	0	0	2	0	0	1	1	1	1	0	2.0	1	3	Rocks roll red roofs rustling.	0
13	1	1	1	1	0	3	1	3	0	2	0	0	0	1	1	2	0	2.0	1	8	The cat chased the mouse around the house without ever catching it.	0
20	0	0	2	3	1	6	1	3	0	2	0	0	2	1	2	1	0	5.0	1	7	The sun set over the horizon, its rays painting the sky with warm hues of orange and pink.	0
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	The moon wandered lonely amid cosmic voids.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sky laughed at the trees.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	A cat purred contentedly on my lap.	0
6	1	0	0	0	0	1	0	1	0	1	0	0	2	0	1	0	0	2.0	0	3	The quick brown fox laughed quietly	0
8	0	0	0	1	2	1	1	0	0	3	0	0	0	0	1	0	0	3.0	0	4	She smiled and laughed and jumped for joy	0
4	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2.0	0	1	Golden memories flicker. (1 noun: memory)	0
8	1	0	2	1	0	2	0	0	0	2	0	0	0	0	1	0	1	3.0	1	5	Screaming with excitement, colors exploded everywhere.	0
8	0	0	1	1	0	1	2	1	0	1	0	0	1	0	1	1	0	2.0	0	5	I ate the entire pizza by myself.	0
9	1	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	In silence he moved swiftly through the forest. (0 nouns)	0
12	0	0	1	2	0	3	0	3	0	1	0	0	2	0	1	0	0	2.0	0	8	The wind whispered across the barren landscape with an unsettling intensity.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The rain fell softly on the empty streets.	0
13	0	0	2	1	1	3	1	2	0	1	0	0	2	0	2	0	0	3.0	0	7	The orange danced in the kitchen, its movements quick and lively. (0 nouns)	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The car accelerated down the highway.	0
9	2	1	0	0	0	1	2	1	0	2	0	0	0	1	2	1	0	2.0	1	4	This cat purred quietly while I petted it gently	0
8	0	0	1	0	1	3	1	0	0	1	0	0	1	0	1	1	0	3.0	0	5	It rained cats and dogs last night.	0
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Clouds float gently across the sky.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose slowly over the mountain.	0
9	0	0	1	1	0	2	0	2	0	1	0	1	1	0	1	0	0	2.0	0	4	The sun was setting over the calm waters.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
14	1	0	3	1	0	3	0	3	0	2	0	1	0	1	2	0	0	4.0	1	4	"No nouns were found in the sentence ""The cat purred contentedly."""	0
12	1	0	2	1	0	3	0	2	0	1	0	0	2	0	1	0	0	3.0	0	5	The stars twinkled incessantly, a celestial display of unadulterated brilliance.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The cat chased the mouse.	0
