n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
7	0	0	1	0	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	 You'll receive a bulk discount.	0
8	1	0	1	1	0	2	0	1	0	1	0	1	0	0	1	0	0	2.0	0	4	Snow is falling on the roof heavily.	0
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	They have reached a decision.	0
12	1	0	1	2	0	2	1	2	0	1	0	1	1	0	1	0	0	3.0	0	4	You can search for the information on a specific topic online.	0
10	0	0	1	1	0	3	1	1	0	1	1	1	0	0	1	1	0	2.0	0	5	The manager will discuss your performance at 3:00 PM.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	They arrived at the train station.	0
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	The package arrived within three days.	0
11	0	0	1	2	0	4	1	0	0	1	0	1	1	0	1	1	0	3.0	0	7	You can find various types of wood at home depot.	0
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	You have won the game!  The following are sentences without adjectives for your reference.	0
11	0	0	1	2	0	4	1	1	0	1	0	1	0	0	1	1	0	3.0	0	7	You will receive notification of the auction result via email.	0
8	1	0	1	1	0	0	2	0	0	2	0	0	0	1	1	0	0	3.0	1	3	They need to get there before him.	0
10	0	0	1	0	0	2	1	2	0	2	0	1	0	1	1	2	0	3.0	1	4	You may choose any word to begin this sentence.	0
9	0	0	1	1	0	1	3	0	0	2	0	0	0	1	1	1	0	3.0	1	3	They want you to resign from your position.	0
20	0	0	3	4	1	4	1	0	2	1	3	0	0	0	0	1	0	5.0	0	10	Please provide me with four letters, one from columns A through F, and three from column G.	0
7	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	2.0	0	4	Call me after 7pm Friday.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The man walked into the room.	0
8	0	0	1	1	0	2	2	1	0	1	0	0	0	0	1	1	0	2.0	0	5	You left your umbrella at the café.	0
11	0	0	1	1	0	2	1	2	0	2	0	0	1	1	1	1	0	4.0	1	4	We have to build a website for the new product.	0
12	0	0	2	1	0	3	1	2	0	2	1	0	0	0	1	2	0	3.0	0	5	I understand the instructions, create a sentence with zero adjectives.	0
9	2	1	1	0	0	0	2	0	0	1	0	2	0	1	1	1	0	2.0	1	6	Tell him that I'll be there shortly.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	5	The bus arrives at the station every hour.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets in the west.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	2.0	0	4	Send the email to jdoe@example.	0
12	0	0	2	0	1	1	4	0	0	2	0	1	0	0	2	2	0	3.0	0	5	You cannot see me, but you feel my presence.	0
7	0	0	1	1	0	2	1	0	0	1	0	1	0	0	1	1	0	2.0	0	3	We're making sandwiches for lunch.	0
8	0	0	1	1	0	0	1	0	0	3	0	0	0	2	1	0	0	3.0	2	3	They refused to give in to fear.	0
11	0	1	1	0	0	1	2	1	0	2	0	1	1	2	2	1	0	3.0	2	6	You need to sign this document before it's valid.	0
8	1	0	1	1	0	3	1	0	0	1	0	0	0	0	1	0	0	2.0	0	4	People often ask for my email address.	0
9	0	0	1	1	0	4	0	1	0	1	0	0	1	0	0	1	0	3.0	0	7	Call the customer service hotline for additional information.	0
8	0	0	1	0	0	2	0	1	0	2	0	0	1	1	0	2	0	3.0	1	4	Call the hotline to report illegal dumping.	0
9	0	0	1	1	0	1	2	1	0	2	0	0	0	1	1	2	0	3.0	1	3	I need you to write down some instructions.	0
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	4	They are playing football in the park.	0
9	0	0	1	2	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	3	People argue about the outcome of a game.	0
8	0	0	1	0	0	3	0	2	0	1	0	0	0	0	1	1	0	3.0	0	4	The teacher corrected the student's essay.	0
8	0	0	1	1	0	1	2	1	0	2	0	0	0	1	1	1	0	4.0	1	2	They denied the allegations made against them.	0
11	0	0	1	1	0	1	2	1	0	2	0	1	0	1	1	1	0	4.0	1	3	I don't know what to wear for the interview.	0
5	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Bring your hiking boots.	0
11	0	0	1	0	0	3	1	2	0	2	0	1	0	1	1	2	0	3.0	1	5	You should call the insurance company to file a claim.	0
7	0	0	1	0	0	1	1	1	0	2	0	0	0	1	1	1	0	3.0	1	2	They refused to sign the agreement.	0
12	1	0	1	1	0	2	2	1	0	2	0	1	0	2	1	2	0	4.0	2	4	I'm here to help you write sentences with no adjectives.	0
