n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
18	0	1	2	2	0	4	2	1	0	3	1	1	0	1	1	1	1	4.0	2	8	The sentence generated with 0 punctuations is: Please call me at x36709 if there are questions.	0
15	0	1	2	1	0	3	2	1	0	3	0	1	0	1	1	1	1	2.0	2	6	The sentence generated is: Please call me at x36709 if there are questions.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
12	0	0	1	2	0	3	0	2	0	1	0	2	0	0	1	0	0	3.0	0	6	The dress code for this event can be viewed at dresscod.com.	0
23	1	0	2	1	1	4	1	4	1	3	0	2	1	0	2	2	1	4.0	1	11	The text provided in this prompt does not specify which royal or carnival ship, therefore I cannot complete the task.	0
16	0	1	2	1	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	6	 This is a Ralph's, please call me at x36709 if there are questions.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
43	1	0	7	3	2	7	3	5	2	5	0	3	3	1	4	2	1	7.0	2	20	"The text ""please specify which royal or carnival ship"" is present in the provided text, therefore I have generated the sentence ""Keep track of all your royal or carnival ship information, you can view at dresscod.com."""	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
21	1	0	2	0	1	3	1	3	1	4	0	2	1	0	2	2	0	4.0	0	11	The provided text does not specify which royal or carnival ship, therefore I cannot generate the requested sentence.	0
23	1	0	2	3	0	5	1	2	1	3	0	3	2	1	2	1	1	5.0	2	6	The royal ship depicted on dresscod.com can be viewed at this location, where many people have kept track of their experiences.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
18	0	1	2	2	0	4	2	1	0	3	1	1	0	1	1	1	1	4.0	2	8	The sentence generated with 0 punctuations is: Please call me at x36709 if there are questions.	0
19	1	0	2	0	1	3	1	3	1	2	0	2	1	0	2	2	0	4.0	0	11	The text does not specify which royal or carnival ship, therefore I cannot complete the task.	0
15	0	1	2	1	0	3	2	1	0	3	0	1	0	1	1	1	1	2.0	2	6	The sentence generated is: Please call me at x36709 if there are questions.	0
13	0	0	1	1	1	1	1	1	1	2	0	1	1	1	1	0	0	5.0	1	8	Please specify which royal or carnival ship you can view at dresscod.com.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
6	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1.0	0	3	This is a Ralph's.	0
13	0	0	1	1	1	1	1	1	1	2	0	1	1	1	1	0	0	5.0	1	8	 Please specify which royal or carnival ship you can view at dresscod.com.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
18	0	0	2	1	1	2	2	2	1	3	0	0	1	2	1	2	0	5.0	2	7	Sure, please specify which royal or carnival ship you want me to write a sentence about.	0
8	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	4.0	0	5	Please specify which royal or carnival ship.	0
13	0	0	1	1	1	1	1	1	1	2	0	1	1	1	1	0	0	5.0	1	8	Please specify which royal or carnival ship you can view at dresscod.com.	0
22	0	0	1	1	3	6	0	4	0	3	0	1	2	0	1	2	0	6.0	0	7	The provided text does not describe a royal or carnival ship or contain any information about a royal or carnival ship.	0
10	0	1	1	1	0	2	2	0	0	2	0	0	0	1	0	1	0	2.0	1	6	Please call me at x36709 if there are questions.	0
22	1	0	1	2	0	4	1	4	0	4	0	2	1	2	2	1	0	4.0	2	8	The content of the requested sentence is not included in the provided text therefore I am unable to complete the task.	0
15	0	1	2	1	0	3	2	1	0	3	0	1	0	1	1	1	1	2.0	2	6	The sentence generated is: Please call me at x36709 if there are questions.	0
24	0	0	3	1	2	4	0	3	2	3	0	2	2	1	1	1	0	5.0	1	7	"A royal or carnival ship's name can be specified in the text following ""please specify which royal or carnival ship :""."	0
