n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
10	0	0	0	0	0	2	4	0	0	0	1	0	3	3.0	5	2	2	0	2	0	Bake the chocolate chips cookies using the recipe provided.	0
13	0	2	1	0	0	3	3	0	0	0	2	0	1	3.0	7	0	0	0	1	0	Please place the book on the table, next to the laptop.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun slowly sets behind the hills.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sleeps on the mat.	0
11	0	1	0	0	1	2	4	0	0	0	2	0	1	3.0	9	0	0	0	1	0	Put the apples, pears and bananas in a basket.	0
5	0	0	0	0	0	1	1	0	0	1	1	0	1	2.0	2	0	0	1	1	0	John ate an apple.	0
20	0	1	0	1	1	2	8	0	0	0	6	0	1	3.0	15	0	0	1	1	0	The chef will mix rice, chicken, onions, garlic, ginger, and pepper into a pot.	0
7	0	1	0	0	0	1	3	0	0	0	1	0	1	2.0	5	0	0	0	1	0	Cut the carrots into round slices.	0
9	0	1	0	0	0	2	3	0	0	0	1	0	2	2.0	7	0	0	0	1	0	Transfer the cooked rice to a serving dish.	0
7	0	1	0	0	0	1	1	0	1	0	1	0	1	2.0	4	0	0	0	1	0	Please pass the saltshaker to me.	0
17	0	1	0	0	1	2	8	0	0	0	4	0	1	3.0	15	0	0	0	1	0	Put the chicken breasts, salt, garlic, pepper and lemon juice in the bag.	0
17	0	2	0	1	1	0	7	0	1	0	3	0	2	4.0	13	0	0	1	1	0	We are making grilled sandwitches with ham, cheese, tomatoes and lettuce for lunch today.	0
19	3	2	0	1	1	3	4	0	2	0	1	0	2	4.0	10	1	1	1	1	0	I would suggest creating a new account for your business with a memorable username and a strong password.	0
8	0	0	0	0	1	0	4	0	1	0	1	0	1	3.0	3	0	0	1	1	0	He ate peanut butter and jelly sandwiches.	0
8	0	0	1	0	0	1	1	0	1	0	1	1	2	2.0	5	1	1	0	2	0	Serve the salad immediately after dressing it.	0
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The cat is in the basket.	0
14	1	1	1	2	1	1	5	0	0	0	1	0	1	3.0	6	0	0	1	0	0	Ice cold water and lemon juice should be mixed together in a jug.	0
12	1	2	0	0	0	1	4	0	0	0	1	0	2	4.0	7	1	1	0	2	0	Serve the chili in shallow dishes to maximize exposure for toppings.	0
16	0	2	0	0	1	3	5	0	1	0	3	0	1	4.0	9	0	0	1	1	0	He brought the cake, a bottle of wine, and a bouquet of flowers.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped on the mat.	0
7	1	1	0	0	0	1	2	0	0	0	1	0	1	2.0	5	0	0	0	1	0	Water the plants with tepid water.	0
13	1	1	0	0	0	1	2	0	0	2	3	0	2	4.0	7	1	1	1	1	0	John, a resident of Boston, loves to cook Italian food.	0
6	0	0	0	1	0	0	1	0	2	0	1	0	1	2.0	2	0	0	1	1	0	You have reached your destination.	0
11	0	1	0	1	0	3	4	0	0	0	1	0	1	3.0	4	0	0	1	1	0	The group is planning a protest at the town center.	0
10	0	1	0	0	1	2	4	0	0	0	1	0	1	3.0	4	0	0	1	0	0	The team agreed on a meeting place and time.	0
13	0	1	0	1	0	3	5	0	1	0	1	0	1	2.0	9	0	0	1	1	0	I will plant the tulip bulbs in the flower beds this week.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sleeps on the mat.	0
10	1	1	0	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The manager added the missing ingredient to the recipe.	0
12	0	0	0	1	1	1	1	0	0	4	3	0	1	3.0	8	0	0	1	1	0	John, Mark, Sarah and Sam will attend the meeting.	0
15	0	2	0	0	1	2	3	1	0	0	1	1	4	4.0	5	1	1	0	2	0	Turn off the stove and wait for ten minutes before serving the baked potatoes.	0
9	0	0	0	0	1	2	2	0	0	1	1	0	2	3.0	4	0	0	1	2	0	John ate the apple and drank the water.	0
