n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
16	2	0	3	1	0	2	1	1	1	2	1	1	0	0	2	1	0	3.0	0	6	Ok, I will only write one sentence below:  Jane went to the store.	0
10	0	0	3	1	0	2	1	1	0	1	0	1	0	0	1	0	0	2.0	0	4	" ""I will go to the store today."""	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She ordered a hamburger. 	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The sun was setting over the horizon.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The cat slept.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She ate a sandwich.	0
8	0	0	0	1	0	2	0	2	0	2	0	0	0	0	0	1	0	2.0	0	6	 Please generate a sentence with the following requirements	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog ran quickly through the forest.	0
15	1	0	3	1	0	2	1	2	1	2	0	1	0	1	2	0	0	3.0	1	8	Okay, here is the sentence you requested:  Aleksandar went to the bank. 	0
12	0	0	1	2	1	2	1	2	1	2	0	0	0	0	1	2	0	3.0	0	5	Albert picked up the ball and threw it to the dog.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
7	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	1	0	2.0	0	4	Sarah ate breakfast on the couch. 	0
4	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	1	  Jill bought milk.	0
3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	 She walked.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The big red ball bounced slowly across the yard.	0
22	1	0	3	3	1	4	1	2	1	2	0	1	2	0	1	0	0	4.0	0	7	Okay, here is the sentence: Ramona got into her green sports car and headed out for an exciting drive.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the windowsill.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat sat silently on the mat.	0
6	2	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The dog ran quickly away.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
11	1	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	5	The big red barn stood alone in the green field.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	"Okay! How does this sentence look: ""The cat jumped onto the table.""? "	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	John walked to the store.	0
19	0	1	2	2	0	4	3	1	2	2	0	0	2	1	2	2	0	4.0	1	9	 Frodo wore his cloak as he made his way up the dark, treacherous mountain path towards Mordor.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I ran to the store.	0
10	0	0	0	2	0	3	1	1	2	1	0	0	0	0	1	1	0	2.0	0	7	Mrs Brown brought her dog to the park for exercise	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
9	1	0	1	0	0	2	0	2	0	1	0	0	2	0	1	1	0	2.0	0	3	The big brown bear climbed the mountain quickly.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog ran quickly.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
5	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2.0	0	3	 Here is the response.	0
6	0	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	  The cat purred on my lap	0
12	0	0	1	0	0	3	1	1	0	1	0	2	1	1	1	1	0	3.0	1	4	I will not be able to attend the event tomorrow evening.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred softly on my lap.	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	3	   Joe picked up a pencil.	0
8	0	0	1	0	1	1	1	1	1	2	0	0	0	0	1	2	0	2.0	0	4	Muriel took the cookie and ate it. 	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	  The dog ran.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	 I went to the grocery store.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the windowsill.	0
7	0	0	0	2	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	3	Rainier pecked at a pile of crumbs	0
12	0	0	0	1	0	3	0	3	0	2	0	0	3	0	1	1	0	2.0	0	7	The majestic purple elephant wandered the golden savannah beneath the blazing sun	1
35	2	0	5	2	0	8	1	5	0	3	1	1	7	2	2	3	0	7.0	2	10	Certainly, here is a sentence with 1 adjective: Warm sunbeams brightened the cool forest shade, highlighting the delicate, velvety petals on the vibrant purple flowers that dotted the grassy clearing. 	1
15	0	0	3	1	0	3	0	3	0	1	0	0	4	0	1	1	0	2.0	0	8	The delicious, fluffy cake filled the room with a sweet, tantalizing aroma.	1
12	1	0	1	2	0	3	0	2	0	2	0	0	1	0	1	0	0	2.0	0	8	Witty elephants danced gracefully in the circus under the twirling spotlights.	1
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The purple sunset slowly dipped into the horizon. 	1
7	0	0	1	0	0	1	0	1	0	0	0	1	3	0	1	0	0	2.0	0	3	  The bright red apple was irresistible. 	1
10	0	0	2	1	0	2	0	2	0	1	0	1	1	0	1	0	0	2.0	0	6	The sunflowers were bright, towering, over the fields	1
11	2	0	2	0	0	2	1	0	0	1	0	1	1	0	2	0	0	2.0	0	4	Goldy locks were not just beautiful, they gleamed majestically. 	1
32	3	0	1	4	0	7	2	3	0	6	0	1	4	2	1	1	2	7.0	4	13	The majestic peacock slowly strutting through the wet grass glistening in the early dawn light seemed to radiate its vibrant hues like glories being cast outward from its sumptuously draped plumes. 	1
10	0	0	1	1	0	3	1	0	0	1	0	0	2	1	0	0	0	4.0	1	5	Eager-eyed dog waiting for its owner's return 	1
6	0	0	1	0	0	2	0	0	0	1	0	0	2	0	1	1	0	2.0	0	2	Witty puppets wove whimsical wisdom.	1
7	0	0	0	1	0	3	1	1	0	1	0	0	0	0	0	1	0	3.0	0	3	 Writing a book review in my pajamas	1
13	0	0	1	2	1	6	0	1	0	1	0	0	1	0	1	0	0	3.0	0	6	Shiny, silver pots and pans dangled from hooks in the kitchen ceiling	1
10	0	0	0	1	0	4	0	0	0	1	0	1	3	0	1	1	0	2.0	0	5	 Exquisite silver earrings will add sophisticated touch to simple outfits	1
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	 blue	1
11	1	0	2	1	0	2	1	1	0	1	0	0	2	0	1	0	0	2.0	0	4	The fluffy, purple cat purrs contentedly on my lap.	1
11	1	0	2	1	0	2	1	1	0	1	0	0	2	0	1	0	0	2.0	0	4	  The beautiful, pink cat purred soothingly on my lap. 	1
11	0	0	2	1	0	3	1	1	0	2	0	0	1	0	1	1	0	2.0	0	4	The gleaming, golden retriever wagged his tail with excitement.	1
14	0	0	1	2	1	4	0	1	0	1	0	0	4	0	1	1	0	4.0	0	6	Splendid sunsets decorate the western horizon with vibrant hues of orange and red.	1
10	1	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	 The delicate flower petals swayed gently in the breeze.	1
8	0	0	0	1	0	2	0	2	0	1	0	1	1	0	1	0	0	2.0	0	3	The delicious cake was devoured in no time	1
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The delightful sunset glowed vividly across the horizon. 	1
11	1	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	 A beautiful yellow butterfly gracefully soared above the colorful flowers. 	1
15	0	0	1	2	1	3	0	3	0	1	0	0	4	0	1	0	0	3.0	0	8	The sunflowers in the garden stood tall and stately under the bright blue sky.	1
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The purple butterfly danced gracefully above the colorful flowers.	1
23	2	0	3	1	0	5	1	2	0	3	0	1	4	2	2	1	1	4.0	3	12	Carefully crafted in rich, luxurious leather, the stylish tote handbag is sure to make a chic statement wherever you go.	1
11	2	0	2	1	0	2	0	1	0	1	1	1	0	0	0	0	0	3.0	0	4	Certainly; below is the requested sentence with one adjective:  The sparkling clean diamond glistened in the light.	1
15	0	0	2	2	0	5	0	0	1	4	0	0	1	2	1	1	0	5.0	2	5	Goldenrod sunlit meadows spread across rolling hills, creating idyllic pastures dotted with wildflowers. 	1
29	1	0	7	1	0	7	3	2	0	4	0	1	3	4	3	1	0	8.0	4	15	"My pleasure, here is the response you requested:  ""The delectable golden-brown chicken drenched in mouth-watering gravy made our senses swoon!""     "	1
13	0	0	2	1	0	3	0	2	0	2	0	0	3	1	1	1	0	3.0	1	5	Bright blue skies stretched over the horizon, casting a warm glow. 	1
19	1	0	1	3	0	4	1	3	0	3	0	0	3	1	1	0	1	4.0	2	8	Soaring across the sky, the aerodynamic condor soared effortlessly with its shimmering feathers reflected in the sparkling sunlight	1
7	1	0	2	0	0	1	0	1	0	2	0	0	0	0	1	0	1	2.0	1	4	Warmly illuminated, the sunset glowed. 	1
8	0	0	2	1	0	2	0	0	0	1	0	0	2	0	1	0	0	3.0	0	6	Soft as silk, little kitty purred. 	1
11	0	0	1	1	1	3	0	1	0	2	0	0	2	0	1	0	0	3.0	0	8	 Warm and inviting, the cozy living room beckons to visitors	1
15	0	0	1	2	0	3	0	3	1	1	0	1	2	1	1	1	0	4.0	1	5	Riccardo is thrilled to present this excellent idea to all of the department chairs. E  Did I meet your expectations? 	1
10	1	0	1	1	0	2	0	1	0	1	0	1	2	0	1	0	0	2.0	0	3	  The delicate vase was exquisitely painted with vibrant colors.	1
11	1	0	2	1	0	2	1	1	0	1	0	0	2	0	1	0	0	2.0	0	4	The large, fluffy kitten purred contentedly on my lap. 	1
6	0	0	1	0	0	2	0	0	0	1	0	0	2	0	1	1	0	2.0	0	2	Witty cat purred sweet symphonies.	1
15	1	0	1	3	0	5	0	3	0	1	0	0	1	0	1	0	0	3.0	0	6	The venerable elder serenely meditated in lotus position on the peak of the mountain. 	1
11	1	0	0	2	0	3	0	2	0	1	0	1	1	0	1	0	0	2.0	0	6	The shimmering star was sparkling brightly in the sky at night	1
9	1	0	2	0	0	2	0	1	0	0	0	1	0	0	0	0	0	3.0	0	5	Sure, here's the instruction's response:  The golden apple shone vibrantly against the lush green foliage.	1
8	1	0	1	1	0	2	0	0	0	1	0	0	2	0	1	0	0	2.0	0	4	Witty cat purred contentedly on soft cushions. 	1
13	0	0	3	0	0	2	0	2	0	1	0	0	5	0	1	1	0	3.0	0	6	The colorful, velvety-soft pillow complemented the plush, striped blanket	1
10	0	0	2	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The beautiful, vibrant sunset faded into the night.	1
18	0	0	3	1	1	4	1	2	0	3	1	0	0	1	0	3	0	5.0	1	7	  (Note: Please choose one adjective from the list and use it to generate a sentence. Please do not write any additional text.)  Five 	1
9	0	0	1	0	0	1	3	0	0	1	0	1	2	1	2	1	0	3.0	1	3	 I'm glad you recognized my extra effort! I apologize for my noncompliance, especially if it resulted in undue delay. Let me generate the requested one-sentence response, using 2 adjectives (instead of 3 adjectives and an adverb). The revised sentence should read like a professional, respectful email addressing an unexpected outcome with appropriate apologies and willingness to remediate	1
