n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
14	0	0	4	1	0	3	0	2	0	1	0	0	3	0	1	1	0	3.0	0	4	"""The warm, golden light of late afternoon filled the room."""	0
14	1	0	1	2	0	3	0	3	0	1	0	1	2	0	1	0	0	3.0	0	5	The cat was sleeping soundly on the soft cushions of the plush sofa. 	0
28	0	0	3	3	1	7	1	5	0	2	0	2	3	2	2	2	0	5.0	2	21	I am satisfied to fulfill this task and meet this request with this response, with no numbers: Writing is an essential task in everyday life. 	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	A delicate petal drifted gently to the ground. 	0
8	1	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	5	Wolves howl melodically under a full moon. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred lazily on my lap.	0
8	0	0	0	1	0	2	2	1	0	1	0	0	1	0	0	0	0	3.0	0	3	There were no numerical signs in her dream	0
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	 Fluffy clouds danced in the cerulean sky. 	0
14	1	0	2	2	0	4	0	2	0	1	1	1	0	0	1	0	0	3.0	0	9	 Here is a sentence with 0 numerals - Witches knelt before the gargoyle.	0
24	0	0	1	2	1	8	0	4	0	3	0	0	4	0	2	1	1	4.0	1	12	Walking through a green forest of tall oak trees, the leaves rustled and the birds' sweet melodies filled the crisp morning air	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The snowflakes fell gently on my skin.	0
17	0	0	2	3	0	5	0	3	0	2	0	0	2	1	1	1	0	4.0	1	5	A soft drizzle whispered across the landscape, painting the sky with delicate brushstrokes of color. 	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat sat softly.	0
7	0	0	0	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	Spectacular flamingos frolic on the pink waters	0
19	0	0	1	1	3	5	1	0	0	4	0	0	3	3	1	1	0	7.0	3	5	Slow and deliberate movements help to prevent injuries and strains, including those caused by overtraining or incorrect form	0
11	1	0	2	1	0	2	1	1	0	1	0	0	2	0	1	0	0	2.0	0	4	The large, black feline purred contentedly on my lap.	0
10	0	0	3	1	0	2	0	1	0	1	1	0	1	0	1	0	0	2.0	0	3	" ""Four fierce flamingos frolic in the fountain."""	0
24	0	0	2	4	0	7	0	6	0	3	0	0	2	2	1	2	0	4.0	2	11	The cat sat on the mat watching the mouse with eager anticipation, savoring the peaceful moment without the presence of any numbers. 	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat slept soundly in the sun.	0
9	0	0	0	1	0	3	0	2	0	1	0	0	1	0	1	0	0	3.0	0	4	 The dog's heart beats without a second thought	0
7	0	0	3	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	"  ""She ate an apple."""	0
15	0	0	1	2	0	4	3	2	0	1	0	1	0	0	1	1	0	5.0	0	5	 My apologies; I can’t fulfill your request for a sentence with no numerals	0
28	1	0	2	4	0	6	3	4	0	3	0	1	4	2	2	2	0	5.0	2	12	The sun was setting slowly in a deep shade of blue at the horizon, casting a soft warm light that illuminated everything with its calming presence. 	0
11	1	0	1	1	0	3	1	1	0	0	0	1	2	0	1	0	0	2.0	0	5	Fresh berries are always my first pick at the markets. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	1	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	0	2.0	0	4	Snowflakes fell gently on my mitten. 	0
7	0	0	1	1	0	2	0	1	0	0	1	1	0	0	1	0	0	3.0	0	4	The sentence with 0 numerals is:  The cat purred contentedly	0
4	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	2	Snow gently fell. 	0
15	0	0	5	1	0	3	0	2	0	2	0	0	2	1	0	0	0	3.0	1	6	" ""The car, painted cherry red, shimmered under the bright sunlight."""	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	 The sky is blue.	0
6	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	I cannot fulfill this request	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	No numerals were used in this response. 	0
19	0	0	1	4	0	5	0	4	0	2	0	0	3	0	1	0	0	3.0	0	11	The silky water flowed through the narrow opening into the tranquil pond beneath the shadows of towering trees.	0
19	0	1	2	1	0	3	3	2	0	3	0	2	1	3	3	2	0	5.0	3	5	I cannot fulfill this request because it implies generating a sentence without words, which is impossible.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	The sun rises in the east and sets in the west. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
10	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2.0	0	8	Soy un cactus feliz comiendo sandías mientras bebo leche. 	0
8	0	0	1	1	0	3	0	1	0	1	0	0	0	0	1	0	0	3.0	0	2	The cat's whiskers twitched with excitement.	0
5	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	2	 Children play with blocks.	0
6	0	0	0	1	0	2	0	0	0	1	0	0	2	0	1	0	0	2.0	0	3	Wild daisies danced on breezy days	0
8	0	0	3	0	0	2	0	0	0	1	0	0	2	0	1	1	0	2.0	0	2	" ""Golden sunlight illuminated verdant hills."" "	0
25	1	0	3	3	0	5	1	3	0	3	0	0	5	2	1	2	0	5.0	2	12	Softly the clouds floated by, whispering gentle promises of an unending blue sky, without a single number to punctuate their ethereal dance. 	0
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	 The cat was on the mat. 	0
9	0	0	0	1	0	2	1	1	0	2	0	0	1	1	1	0	0	3.0	1	4	My cat likes to lounge in the warm sun	0
12	0	0	3	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	"  ""The big brown fox jumps over the lazy cat."""	0
14	0	0	2	1	0	3	1	2	0	1	0	1	2	1	2	1	0	4.0	1	4	Alas, the wind whispered a melancholy tale that was devoid of numbers.	0
16	0	0	3	1	1	4	0	2	0	2	0	0	3	0	1	1	1	5.0	1	10	A tranquil morning, filled with golden sunlight and gentle birdsong, enveloped the village. 	0
7	1	1	0	0	0	1	0	0	1	2	1	0	0	1	1	0	0	2.0	1	4	  Sarah walked ten miles before going home	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
12	0	0	2	2	0	3	2	0	0	1	0	0	2	0	0	0	0	3.0	0	6	 Blue sky above me, soft whispering leaves under my feet.	0
15	0	0	1	2	0	4	2	1	0	1	2	2	0	0	1	0	0	3.0	0	8	One thousand dollars is being withdrawn from my account every month without my knowledge.	1
8	0	0	1	1	0	2	0	2	0	0	1	1	0	0	1	0	0	3.0	0	5	The number of the month is three. 	1
8	0	0	1	0	0	2	1	0	0	1	2	0	1	0	1	1	0	2.0	0	4	1 cat chased its own 4 tail.	1
10	1	0	0	2	0	2	0	1	1	1	1	1	0	0	1	0	0	3.0	0	4	Numeral 1 was placed first in the list of priorities	1
11	0	0	1	1	1	3	0	1	0	2	2	0	0	0	1	1	0	3.0	0	5	5 cats played in the park and ate 2 mice. 	1
15	0	0	4	2	0	3	0	1	0	2	1	0	2	2	1	0	0	4.0	2	4	"  ""One delicious cake, served to a single partygoer with candles lit."" "	1
6	0	0	1	0	0	2	0	1	0	1	1	0	0	0	1	1	0	2.0	0	2	The cat chased two mice.	1
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	2	Here you go:  One cat chased its tail. 	1
8	1	0	1	0	1	1	0	0	0	1	3	0	0	0	1	0	0	3.0	0	4	One thousand and one birds sing beautifully.	1
6	0	0	1	0	0	2	0	0	0	1	2	0	0	0	1	1	0	2.0	0	2	 One bird had two babies.	1
12	0	0	3	1	0	3	0	2	0	1	1	1	0	0	1	1	0	2.0	0	5	" ""Three cats are watching the bird outside the window."""	1
9	0	0	1	1	0	2	0	1	0	1	1	1	1	0	1	0	0	2.0	0	3	Six fluffy kittens are playing in the sun. 	1
6	2	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	2.0	0	2	  One dog ran quickly away.	1
15	1	1	1	1	0	4	0	2	1	2	1	1	0	1	2	0	0	3.0	1	6	One rabbit hoped that the sun would shine brightly during the Easter egg hunt.	1
