n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	  And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	 And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
9	2	0	1	1	0	1	2	0	0	2	0	0	0	0	0	1	0	2.0	0	6	Lied right to my face then denied it.	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
9	2	0	1	1	0	1	2	0	0	2	0	0	0	0	0	1	0	2.0	0	6	Lied right to my face then denied it.	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
48	3	2	6	4	2	7	5	2	3	6	0	3	4	2	4	4	1	7.0	3	26	The sentence generated is: And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	 And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	 And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
44	3	2	6	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	**And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?**	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
9	2	0	1	1	0	1	2	0	0	2	0	0	0	0	0	1	0	2.0	0	6	Lied right to my face then denied it.	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
9	2	0	1	1	0	1	2	0	0	2	0	0	0	0	0	1	0	2.0	0	6	Lied right to my face then denied it.	0
53	3	2	8	5	2	8	5	2	3	6	1	3	4	2	5	4	1	7.0	3	27	"The sentence generated with 0 determiners is: ""And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?"""	0
9	2	0	1	1	0	1	2	0	0	2	0	0	0	0	0	1	0	2.0	0	6	 Lied right to my face then denied it.	0
43	3	2	5	4	2	6	5	1	3	5	0	2	4	0	3	4	2	6.0	2	24	And if Steven didn’t see it as weird, or no weirder than Andy showing us his Eastern-Block beer caps all laid out neatly on cork boards with little hand-written labels, why should it bother us?	0
