n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
15	1	0	1	2	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enron building in your call.	0
15	1	0	1	2	0	1	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the McDonald's in your call.	0
14	0	0	1	2	0	3	2	2	0	2	0	1	0	1	1	1	0	3.0	1	6	The tiger was coming towards my direction with an intent to attack me.	0
22	1	0	2	3	2	2	1	0	5	2	2	0	0	1	0	2	0	4.0	1	15	Call us to order food at Pancho's Bar and Grill on Tuesday, December 26 at 8:45am or later.	0
15	1	0	1	2	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enron building in your call.	0
12	1	0	1	0	0	2	2	1	0	3	0	1	0	2	1	2	0	4.0	2	5	Please let us know when the meeting has reached its end.	0
8	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	2.0	0	3	The meeting is scheduled for next Friday.	0
12	1	0	0	2	0	1	2	1	1	2	0	1	0	1	1	1	0	3.0	1	6	Do you want us to come over to the Enron building in	0
15	1	0	1	2	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enron building in your call. 	0
10	1	1	1	0	0	2	2	1	0	2	0	0	0	1	1	2	0	3.0	1	4	Call us if you have a rodent infestation soon.	0
19	1	1	1	2	0	3	3	2	2	3	0	1	0	2	3	2	0	4.0	2	7	The manager told Mark he could go to the party early as he completed his work on Friday. 	0
8	1	0	1	0	0	1	1	0	0	2	0	1	0	1	1	1	0	2.0	1	3	I'm coming over to watch movies. 	0
12	1	0	1	1	0	3	1	2	0	2	0	0	1	1	2	0	0	3.0	1	5	The sky turned pink when the aliens arrived in their spaceship.	0
15	0	0	1	3	0	3	2	2	0	2	1	0	0	1	1	1	0	4.0	1	10	We need to schedule an meeting with you at the bank tomorrow at 2.	0
15	1	0	1	2	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enron building in your call.	0
5	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1.0	0	2	John is coming tomorrow.	0
16	1	0	1	2	0	3	4	1	0	1	0	2	1	0	1	2	0	3.0	0	10	We should have never given you the keys to his vehicle after your last DUI.	0
20	1	0	2	3	0	6	2	3	0	1	0	0	2	0	2	0	0	4.0	0	11	The cat purred contentedly on my lap, its soft fur a gentle reminder of the warmth of home.	0
15	1	0	1	1	0	2	3	1	0	3	0	1	0	2	1	2	0	4.0	2	6	Do you want us to come over to your house to wash the dishes?	0
9	0	0	1	0	0	1	1	1	1	2	0	1	1	1	1	1	0	3.0	1	4	I'll go see the dentist next Tuesday.	0
15	1	0	1	2	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enron building in your call.	0
14	1	0	1	2	0	2	3	1	0	2	0	1	0	1	1	1	0	3.0	1	7	Do you want us to come over to your home in the afternoon?	0
15	1	0	1	2	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enron building in your call.	0
14	1	0	0	2	1	3	2	1	0	3	0	0	0	1	0	2	0	4.0	1	6	Please come over to my place and help me move stuff around the couch	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	5	The sky turned orange for no apparent reason.	0
12	2	1	1	1	0	2	1	1	0	1	0	1	1	0	1	0	0	3.0	0	6	I am coming to the coffee shop as soon as possible!	0
10	0	0	1	0	0	2	1	2	1	2	0	0	0	1	1	2	0	3.0	1	3	The boss wants you to work overtime this Friday.	0
12	1	0	1	0	1	1	3	0	0	3	0	1	0	1	1	2	0	4.0	1	3	Do you want us to come over and eat your muffin?	0
20	0	0	1	3	0	5	2	3	0	1	1	2	1	1	1	1	0	3.0	1	8	I will be at your house in ten minutes to mow the lawn for the third time this month.	0
9	0	0	1	1	0	2	1	0	1	2	0	0	0	1	1	1	0	3.0	1	4	I want to eat lunch today with John.	0
15	1	0	1	3	0	2	3	1	0	2	0	1	0	1	1	1	0	4.0	1	4	Do you want us to come over to the bank of in your call.	0
10	1	1	1	0	0	0	2	0	0	1	0	2	1	1	2	0	0	2.0	1	5	I am very upset that he did not call.	0
13	1	0	1	1	0	1	2	1	1	2	0	1	0	1	1	2	0	3.0	1	5	I don't want him to bring home a cat on Thursday.	0
9	0	0	1	1	0	3	0	2	0	0	1	1	0	0	1	0	0	3.0	0	5	The clock on the mantle was 4:20 PM.,Do you want us to come over to th in your call.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
7	0	0	0	1	0	3	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	The bear chased his tail with excitement	0
9	0	0	1	1	0	2	1	0	2	1	0	1	0	0	1	1	0	2.0	0	5	We will eat lunch at Shakes Burgers tomorrow.	0
7	0	0	1	0	0	1	0	0	1	2	0	0	1	1	1	1	0	2.0	1	4	John needs more cash to survive.	0
15	1	0	1	2	0	2	3	1	0	3	0	1	0	1	1	1	0	4.0	1	5	Do you want us to come over to the enclosed room in your home?	0
10	0	0	1	1	0	3	0	3	0	1	0	1	0	0	1	1	0	2.0	0	5	The gorilla will destroy the tree at the intersection.	0
19	2	0	1	1	1	2	3	1	0	3	1	1	1	2	1	2	0	5.0	2	6	Do you want us to come over to fix your roof immediately or in the next 24 hours? 	0
11	2	0	1	1	0	2	2	1	0	1	0	1	0	0	1	1	0	2.0	0	6	I will never eat a sandwich again in my life.	0
11	0	0	1	2	0	2	1	1	1	1	0	0	1	0	0	1	0	2.0	0	8	Please pick the package up at your local FedEx location.	0
10	0	0	1	2	0	2	2	1	1	1	0	0	0	0	1	0	0	2.0	0	7	We went to the Enron building in your call. 	0
15	1	0	2	2	0	1	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enrons' in your call.	0
12	0	0	0	2	0	3	0	3	0	2	0	1	1	1	1	0	0	3.0	1	7	The cat was seen strolling past the library in an elegant gait	0
11	0	0	1	1	0	3	1	2	0	1	0	1	1	0	1	1	0	3.0	0	4	Did you have a nice time at the amusement park?	0
14	0	0	1	2	0	2	3	0	0	2	0	1	2	1	1	1	0	4.0	1	7	Do you want them to get rid of their pest problem for good?	0
15	1	0	1	2	0	2	3	1	1	2	0	1	0	1	1	1	0	3.0	1	8	Do you want us to come over to the Enron building in your call. 	0
14	1	0	1	2	0	2	3	1	0	2	0	1	0	1	1	1	0	3.0	1	7	Do you want us to come over to the hospital in your call.	0
7	0	0	1	1	0	2	0	0	1	1	0	0	0	0	1	0	0	3.0	0	2	Jake's face contorted in frustration.	1
8	0	0	1	1	0	1	1	1	0	1	0	2	0	0	1	0	0	2.0	0	3	You will be impressed with the results.	1
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The dog ran swiftly across the sunny field.	1
20	1	0	2	3	1	3	0	1	3	2	0	2	2	0	2	0	0	4.0	0	14	Hundreds of people are feared dead in Florida, and the Louisiana city of New Orleans is badly flooded.	1
13	1	0	1	1	0	3	1	2	0	2	0	0	2	1	2	2	0	4.0	1	5	Little by little the wolf devoured the goose that laid golden eggs.	1
13	1	0	2	1	0	4	0	2	0	0	0	1	2	0	1	0	0	3.0	0	6	The airfare was incredibly cheap for the last-minute booking.</response	1
18	1	0	1	3	0	4	0	3	0	3	0	0	2	1	1	1	0	4.0	1	5	A group of brave explorers set out to discover an ancient lost city deep in the jungle.	1
