n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Beautiful sunset.	0
4	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2.0	0	1	Infinity Mirror Room.	0
2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	I.	0
9	0	0	1	1	0	1	0	1	3	0	0	1	1	0	1	0	0	3.0	0	5	The tallest building in Chicago is Sears Tower.	0
2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	I.	0
13	0	0	1	2	0	2	0	2	3	0	0	1	2	0	1	0	0	3.0	0	9	The monarch of England during the early 17th century was James I.	0
6	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	2.0	0	4	An hour-long infomercial.	0
6	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	2.0	0	3	Intricately carved ivory chess set.	0
9	0	0	2	1	0	3	0	1	0	1	0	0	1	1	0	0	0	3.0	1	3	A peaceful mountain lake, surrounded by trees.	0
7	0	0	2	1	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	2	"""I'm allergic to peas."	0
4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2	Silence, stillness.	0
10	0	0	1	1	0	1	0	2	4	1	0	0	0	0	1	0	0	3.0	0	4	The Mona Lisa painting hangs in the Louvre Museum.	0
6	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	2.0	0	2	The Grand Canyon at sunset.	0
4	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1.0	0	2	Beautiful autumn foliage.	0
6	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	2.0	0	2	The Grand Canyon at sunrise.	0
7	0	0	1	0	0	1	0	1	1	0	0	0	2	0	0	0	0	2.0	0	3	The Grand Canyon's breathtaking beauty.	0
