n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
8	1	0	1	1	0	2	1	1	0	0	0	0	1	0	0	0	0	2.0	0	4	  The big cat purredcontentedly on my lap.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The teacher smiled.	0
12	1	0	2	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	7	The delicate snowflakes fell silently onto the soft, white blanket. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	She gracefully danced across the stage.	0
17	0	0	0	3	0	6	0	4	0	1	0	0	2	0	1	1	0	4.0	0	8	 The teacher handed the books to the students with careful attention to each student's outstretched hands	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	 The cat purred contentedly on my lap.	0
6	0	0	1	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog chased its tail.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
18	0	1	2	1	0	4	1	3	0	3	0	1	0	2	1	2	0	3.0	2	9	Please provide the instruction text, as I cannot generate a response without the task provided. Please do not modify the prompt or provide additional text.	0
19	2	2	1	0	0	2	3	1	0	3	0	2	1	1	3	1	2	4.0	3	11	Although she knew that the task would not be easy, she still made her mind to work hard	0
10	1	0	1	1	1	2	0	2	0	2	0	0	0	0	1	0	0	2.0	0	5	 The cat sat on the mat and purred contentedly. 	0
5	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	Sheila rapidly ate the breakfast	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
6	1	0	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2.0	1	2	Okay, here you go: The cat purred contentedly on my lap. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
16	2	0	0	1	1	3	1	3	0	2	0	0	3	0	1	2	0	2.0	0	9	The big brown dog chased the white cat quickly through the meadow but caught it slowly	0
14	2	0	2	2	0	3	1	1	1	2	0	0	0	1	2	0	0	3.0	1	7	Sara swiftly sprinted across the field, her heart beating quickly with excitement. 	0
8	1	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	0	3.0	0	5	 They walked quickly to grandma's house.	0
9	1	0	1	1	0	2	0	1	0	1	1	0	0	0	0	1	0	2.0	0	5	Please find a sentence with 0 adverbs below. 	0
19	0	0	3	3	1	4	0	1	3	4	0	0	0	1	1	0	0	5.0	1	6	Mario raced through the Mushroom Kingdom, dashing under brick archways and leaping over mushroom-shaped obstacles.	0
14	0	0	3	0	0	6	0	2	0	2	0	0	1	0	1	1	0	3.0	0	9	The sky-blue, snow-covered mountain peaks pierced the morning sun	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept peacefully. 	0
22	2	0	2	3	1	5	0	5	0	3	0	0	1	1	1	2	0	5.0	1	6	The cat sat motionless on the windowsill, soaking up the warm sunshine and savoring the view of the garden below.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	  The cat slept soundly.	0
16	0	1	0	3	1	6	0	1	0	2	0	1	1	1	2	1	0	4.0	1	9	The sky was painted with hues of purple and orange as day gave way to night	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	  The cat purred contentedly on my lap.	0
6	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She carefully opened the door.	0
8	0	0	1	0	1	1	0	0	1	0	0	1	2	0	1	0	0	3.0	0	2	  Stanford's defense was formidable and stifling.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	  The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat padded silently across the floor.	0
8	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	2.0	0	5	  Sharon walked to the grocery store quickly.	0
9	1	0	0	1	0	2	0	1	1	2	0	0	0	1	1	1	0	2.0	1	6	  Jessica walked calmly to the kitchen to make breakfast	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The ball rolled quickly under the table.	0
9	1	0	1	1	0	2	1	1	0	1	0	0	1	0	1	0	0	2.0	0	4	The delicate snowflakes fell quietly on my mitten.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	  The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	 The cat pounced silently on its prey.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	  The cat purred contentedly on my lap.	0
13	1	0	1	1	0	3	0	3	0	3	0	0	0	1	1	1	0	3.0	1	6	The team worked collaboratively to finish the report before the looming deadline.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	  The cat purred contentedly on my lap.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	3.0	0	3	The tree's bare branches creaked in the wind.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat sat quietly on the windowsill.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
7	0	0	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	2.0	0	4	Jane will meet you at three o'clock	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	   The cat purred contentedly on my lap.	0
17	4	1	1	2	0	3	0	3	0	2	0	0	1	1	1	0	0	3.0	1	7	The purple ball soared high into the sky before gracefully descending back to the grass below.	0
21	0	0	2	4	1	6	0	4	0	2	0	0	2	1	1	0	0	4.0	1	8	The teacher lectured on the history of European exploration, focusing on the motivations and discoveries of the major voyagers.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The blue bird perched gently on a slender branch.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
36	1	1	3	3	2	6	4	5	0	5	0	4	1	3	4	2	0	8.0	3	10	I can generate this sentence for you, but first I would like to point out that the instruction is missing some details, such as the noun or verb that the adverb should modify. To generate a complete sentence, could you please provide me with more information?	1
7	1	0	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	 The teacher spoke loudly to the students	1
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	 The big red sports car sped speedily down the highway.	1
17	2	0	2	3	0	3	0	3	0	2	2	0	0	1	1	1	0	5.0	1	5	The team played remarkably well, winning the championship with a score of 5 to 1. 	1
17	2	0	1	2	0	3	0	3	0	2	0	0	4	0	1	0	1	3.0	1	9	Softly floating in the calm oceanic waves, the seagull glided effortlessly through the crystal blue water	1
