n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
24	3	3	1	1	0	3	5	1	2	0	1	0	3	6.0	9	2	2	1	1	0	1	1	There is too much variation in the given description to yield a sentence with 0 postverbal objects that is appropriate to the task.	0
23	1	2	0	1	0	3	6	0	0	1	8	0	1	4.0	9	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency) per US Dollar (the 'Base Currency').	0
23	1	2	0	1	0	3	6	0	0	0	9	0	1	4.0	9	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per USD (the 'Base Currency').	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
22	0	4	1	1	1	3	7	0	1	0	2	0	2	3.0	17	0	0	1	0	0	0	1	There are a lot of genetics at play between a Sussex and Silkie, so the offspring would vary in appearance.	0
16	1	2	0	1	1	3	2	0	1	1	2	0	1	3.0	10	0	0	2	0	0	0	2	The sun rose in the East, but the sky was not ready for it.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
24	2	2	3	0	0	5	6	0	0	0	2	0	4	6.0	9	3	3	2	1	0	1	2	 The news broke unexpectedly when an unforeseen weather event struck, shattering the fragile record set by the athletes earlier in the day.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
23	1	2	0	1	0	3	5	0	0	1	9	0	1	4.0	9	0	0	1	0	0	0	1	The price is quoted in USD (the 'Base Currency') per JPY (the 'Foreign Currency').	0
13	1	2	0	1	0	2	3	0	1	0	1	0	1	3.0	7	0	0	1	0	0	0	1	The information about the specific situation is not mentioned in your context.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
15	0	1	0	1	0	3	3	0	0	0	4	0	2	3.0	6	1	1	1	0	0	0	1	"""The market was booming on that day, a sight to behold."""	0
20	1	3	0	0	1	3	6	0	2	0	2	0	2	4.0	14	1	1	0	1	0	1	0	There are a lot of factors at play between a horse and a goat, influencing their overall appearance.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
18	3	3	0	0	1	3	4	0	2	0	1	0	1	5.0	6	0	0	0	0	0	0	0	There is a significant difference between the political and social stances of an individual versus their family.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
20	2	1	1	1	1	3	4	0	2	0	2	1	2	4.0	15	1	1	1	1	0	1	1	There is no genetic variation between a Sussex and Silkie, so their offspring would always resemble the same.	0
12	0	0	0	0	0	2	2	0	3	0	1	0	4	5.0	3	3	3	2	1	0	1	2	There is no example given that fits the criteria you provided.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
24	1	2	0	1	0	3	5	0	0	2	9	0	1	4.0	10	0	0	1	0	0	0	1	"The price is quoted in JPY (the ""Foreign Currency"") per US Dollar (the ""Base Currency"")."	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
17	2	3	0	0	0	1	6	0	1	0	2	0	2	3.0	11	1	1	0	1	0	1	0	There was a significant decline in production due to weather conditions, impacting overall farm efficiency.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
22	0	4	1	1	1	3	7	0	1	0	2	0	2	3.0	17	0	0	1	0	0	0	1	There are a lot of genetics at play between a Sussex and Silkie, so the offspring would vary in appearance.	0
37	4	4	2	2	0	5	10	0	3	0	2	0	4	10.0	9	3	3	3	4	0	4	3	The market analysts will use their expertise to assess the potential impact on the share price of a large corporation, which would then have consequences that span far more than this singular moment in history.	0
10	0	1	0	0	0	2	3	0	1	0	1	0	2	3.0	3	1	1	0	0	0	0	0	There is no task information in the context provided.	0
16	1	2	0	0	0	3	4	1	2	0	1	0	2	6.0	4	1	1	1	1	0	1	1	There is no sentence with 0 postverbal objects that fits the criteria of the prompt.	0
20	1	3	1	0	1	2	8	0	0	0	2	0	2	4.0	11	0	0	1	1	0	1	1	 The stock market has a lot of genetics at play between high-growth companies and more established firms.	0
24	1	2	0	1	0	3	6	0	0	1	9	0	1	4.0	10	0	0	1	0	0	0	1	The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').	0
