n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
7	0	0	1	1	0	0	1	1	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I can speak seven languages fluently.	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	I can see a dog.	0
6	0	1	0	0	0	0	1	0	1	0	1	0	2	3.0	2	1	1	1	0	0	0	1	You enjoy listening to music.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The dog barks.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The bird sings beautifully.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun sets.	0
6	0	0	0	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I drink tea every day.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun sets.	0
5	0	0	0	0	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	I read a book.	0
6	1	0	0	0	0	0	1	0	1	0	1	0	2	3.0	2	1	1	1	1	0	1	1	I love cooking delicious meals.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rises in the east.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat sits.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun rises.	0
6	1	0	0	0	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I see the red ball.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun sets.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rises over the horizon.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun sets.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun sets in the west.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun shines.	0
6	0	0	0	0	0	1	1	0	1	0	1	0	2	3.0	2	1	1	1	1	0	1	1	I love playing the piano.	0
4	0	0	1	0	0	0	0	0	1	0	1	0	1	1.0	1	0	0	1	0	0	0	1	She smiles warmly.	0
6	0	0	0	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I drink water every day.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun sets over the horizon.	0
9	0	1	1	1	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The sun is shining brightly in the sky.	0
4	0	0	0	0	0	0	1	0	1	0	1	0	1	1.0	1	0	0	1	1	0	1	1	I ate breakfast.	0
5	0	0	0	0	0	0	1	0	1	0	1	0	2	2.0	1	1	1	1	1	0	1	1	I love playing guitar.	0
6	0	0	1	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	The sun is shining brightly.	0
6	1	0	0	0	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I see a beautiful garden.	0
5	0	0	0	0	0	0	1	0	1	0	1	0	2	2.0	1	1	1	1	1	0	1	1	I like eating apples.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat sits.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun sets in the west.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun rises.	0
7	0	0	1	1	0	0	1	0	2	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I can understand your instructions clearly.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rises in the east.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun sets.	0
7	0	0	1	1	0	0	1	1	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I can speak five languages fluently.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rises over the horizon.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun rises.	0
4	0	0	0	0	0	0	1	0	0	1	1	0	1	1.0	1	0	0	1	1	0	1	1	John ate breakfast.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rises over the horizon.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun sets.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The dog barks.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rose over the horizon.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun sets over the horizon.	0
7	0	0	0	1	0	1	1	0	1	0	1	0	2	3.0	2	1	1	1	1	0	1	1	I have finished eating the apple.	0
7	0	1	0	0	0	1	2	0	1	0	1	0	1	3.0	2	0	0	1	1	0	1	1	I drink a glass of water.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The sun rises.	0
11	1	0	1	0	0	1	2	0	1	0	4	0	1	2.0	7	0	0	1	1	0	1	1	"""I understand directions well""  (No postverbal object)    "	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rises in the east.	0
6	0	1	0	0	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	0	0	0	1	She smiles at the flowers.	0
12	0	1	1	0	1	2	3	0	1	0	1	0	2	3.0	5	0	0	1	2	0	2	1	I usually drink coffee and read the newspaper in the morning.	1
