n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy reads a book.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
8	1	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The red ball is on the table.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
6	0	0	0	0	0	1	1	0	0	2	1	0	1	2.0	3	0	0	1	2	0	John gave Mary an apple.	2
6	1	0	0	1	0	1	1	0	0	0	2	0	0	2.0	2	0	0	1	0	0	"""The ball is red."	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The dog chased the cat.	2
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The small boy picked up a ball.	2
3	0	0	0	0	0	0	1	0	0	0	1	0	1	1.0	1	0	0	1	0	0	Dogs bark.	2
8	0	0	0	1	0	2	2	0	0	0	2	0	1	2.0	2	0	0	1	1	0	"""The child is eating an apple."	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
10	1	1	0	0	0	2	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	A young boy throws a ball to his sister.	2
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barked.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The child holds an apple.	2
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The ball is on the ground.	2
5	0	0	0	0	0	1	2	0	0	0	1	0	1	2.0	1	0	0	1	1	0	The boy plays ball.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The apple is red.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The child feeds the bird.	2
5	0	1	0	0	0	0	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	Birds sit in trees.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The child picks up an apple.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy eats an apple.	2
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The apple is red.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy kicks the ball.	2
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The apple is red.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sits on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy kissed the girl.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The child loves the puppy.	2
9	0	0	0	0	1	2	4	0	0	0	1	0	1	3.0	4	0	0	1	1	0	The child loves apples and the dog barks.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The girl ate an apple.	2
5	0	0	0	0	0	1	2	0	0	0	1	0	1	2.0	1	0	0	1	1	0	The child loves apples.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The child picked up the ball.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sits on the mat.	2
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barks.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barked.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
13	3	1	0	0	0	2	2	0	1	0	2	0	2	4.0	5	1	1	1	1	0	I saw a short, small bird sitting on a thin branch.	2
9	2	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The small bird sits on the low branch.	2
10	0	2	0	0	0	3	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The child plays with a ball under the tree.	3
10	2	0	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	2	0	The old man gave the little boy an apple.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	3
12	0	2	0	1	0	3	4	0	0	0	1	0	1	2.0	7	0	0	1	0	0	A boy is playing with a toy car under the tree.	3
9	1	1	0	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The child read the book with great interest.	3
12	0	2	0	0	0	3	3	0	1	0	1	0	2	3.0	6	1	1	2	1	0	I saw a child pick up an apple from the ground.	3
9	0	1	0	0	0	2	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	The child threw the ball to his brother.	3
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	A small bird sits in a tree.	3
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The girl handed the ball to the boy.	3
9	0	1	0	0	0	2	3	0	0	0	2	0	1	2.0	4	0	0	1	1	0	"""The baby kissed the ballon with delight."	3
12	1	2	0	0	0	3	4	0	0	0	1	0	1	3.0	5	0	0	1	0	0	The cat slept in the shade of a small oak tree.	3
11	1	1	0	0	1	1	3	0	1	2	1	0	0	4.0	3	0	0	0	0	0	The tallest child isolder than his siblings John and Mary.	3
12	0	2	0	0	0	3	4	0	1	0	1	0	1	3.0	8	0	0	2	1	0	The child fed the bird with a peanut in his hand.	3
10	1	0	0	0	0	3	3	0	0	0	1	0	2	4.0	2	1	1	1	2	0	The old fox saw the squirrel burying a nut.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	3
12	2	2	0	0	0	2	3	1	0	0	1	0	1	2.0	7	0	0	1	1	0	The small boy picked up three red apples from the ground.	3
10	2	0	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	2	0	The small boy gave the big boy an apple.	3
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The boy threw a ball to the girl.	3
9	1	1	0	0	0	2	2	0	0	1	1	0	1	2.0	5	0	0	1	0	0	The cat sat under the tiny Apple tree.	3
10	2	0	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	2	0	The old man gave the small boy an apple.	3
9	0	1	0	1	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The squirrel is climbing up the oak tree.	3
10	2	0	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	2	0	A tall man gave a small child an apple.	3
11	2	1	0	0	0	2	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	The tall child gave the small ball to his brother.	3
7	1	0	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The boy opened the blue door.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	3
12	1	1	0	0	0	2	4	0	1	0	1	0	2	3.0	5	1	1	1	2	0	The child helped his mother pick ripe apples from the tree.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sits on the mat.	3
11	0	2	0	0	0	3	4	0	0	0	1	0	1	3.0	5	0	0	1	1	0	The child feeds the bird with a piece of bread.	3
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy ate an apple.	3
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The boy gives the ball to the girl.	3
10	0	1	1	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The boy threw the ball high into the air.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	3
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy ate an apple.	3
7	1	0	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The boy opened the red box.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	3
10	1	1	0	0	0	2	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	The girl gives the apple to her younger brother.	3
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The child hugged the tree.	3
13	1	2	0	0	0	4	4	0	0	0	1	0	1	3.0	9	0	0	1	1	0	The boy saw a bird with a red wing in the garden.	3
8	0	1	0	0	0	1	3	0	1	0	1	0	1	2.0	4	0	0	1	1	0	The boy plays ball with his sister.	3
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy bit the apple.	3
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	3
10	0	1	0	1	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The boy is reading a book under the tree.	3
9	2	0	0	0	0	2	2	0	0	0	2	0	1	2.0	3	0	0	1	1	0	"""The big dog bit the red ball."	3
7	0	0	0	1	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The girl is reading a book.	3
13	1	2	0	0	0	4	4	0	0	0	1	0	1	2.0	8	0	0	1	1	0	The little boy threw a ball to the girl in the field.	3
9	2	1	0	1	0	1	2	0	1	0	1	0	0	2.0	3	0	0	1	0	0	The tallest boy is younger than his grandfather.	3
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The child fed the cat with a stick.	3
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The child fed the bird with a stick.	3
12	2	1	0	0	0	2	4	0	1	0	1	0	1	2.0	7	0	0	1	1	0	The little boy put his toy car on the red block.	3
