n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
13	0	0	0	3	0	5	1	1	0	3	0	0	0	0	1	1	1	4.0	1	7	Raindrops falling against my windowpane wept tears of blessed solitude on that morning	0
8	1	0	0	0	0	1	0	0	3	1	1	0	1	0	1	1	0	3.0	0	3	Mt Rainer National Park covers over 236,000 acre	0
4	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue	0
22	0	0	2	6	0	6	0	2	2	0	0	0	4	0	0	0	0	4.0	0	11	The predominance of discrimination throughout racial clusters in fashionable America:  The predominance of discrimination throughout racial clusters in fashionable America:	0
4	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue	0
3	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1.0	0	2	Mars is red	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun setting behind the mountains tonight.	0
9	0	0	1	1	1	2	0	0	0	0	0	0	4	0	0	0	0	3.0	0	5	Pink lemonade with sparkling water: refreshing and tangy	0
10	0	0	1	1	0	3	0	2	0	0	0	1	2	0	1	0	0	2.0	0	5	The sky was pale blue on that spring morning. 	0
9	0	0	1	1	0	2	0	2	1	0	0	0	2	0	0	0	0	3.0	0	6	The serene majesty of the snow-clad Himalayas	0
12	0	0	2	1	0	2	0	2	3	1	0	0	1	0	1	1	0	4.0	0	3	Mars has the tallest mountain between the stars: Olympus Mons.	0
7	1	0	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The clouds floated lazily across the sky	0
18	0	1	1	4	0	4	0	3	2	1	0	0	2	1	1	0	0	4.0	1	8	Early sunset over the Pacific Ocean, with clouds drifting across the sky like a painting by Monet	0
11	0	0	0	2	0	5	0	3	0	0	0	0	1	0	0	0	0	2.0	0	9	The serenity of the forest floor in the early morning hours	0
13	0	0	2	3	0	4	0	1	0	2	0	0	1	0	1	0	0	3.0	0	8	Glaciers move through the centuries as slow-flowing rivers of ice. 	0
10	1	1	1	0	0	2	0	2	0	1	0	1	1	1	2	0	0	3.0	1	4	The sky was cloudy with the sun peeking through.	0
20	0	1	2	1	0	6	1	2	1	2	0	0	4	1	2	2	0	4.0	1	9	March sunshine warms the uptown plaza as young lovers take their first steps towards a life-long romance.	0
8	2	0	1	1	0	1	0	0	0	0	0	1	2	0	1	0	0	2.0	0	3	Silent protests are more prevalent than ever.	0
8	0	0	0	2	0	3	0	2	0	0	0	0	1	0	0	0	0	3.0	0	3	The serene silence of the forest at dawn	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Sunny skies.	0
18	2	0	1	2	0	4	1	2	2	1	0	0	3	0	1	0	0	4.0	0	8	Golden Gate Bridge hangs motionless in the fog, its orange towers starkly defiant against the monochrome landscape	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rises slowly in the morning.	0
12	2	0	1	1	1	2	0	1	0	2	1	0	0	0	0	1	0	3.0	0	6	  Please try again, and give only a sentence with 0 verbs	0
4	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1.0	0	2	Elephants are gray.	0
21	0	0	0	3	0	3	1	0	9	1	0	1	2	0	1	1	0	4.0	0	13	Senate Democrats have released new details of former FBI Director James Comey's notes from his meetings with President Donald Trump	0
9	0	0	1	0	1	2	0	2	0	1	0	0	2	0	1	0	0	3.0	0	5	The sky appeared grey and overcast this morning.	0
7	0	0	1	0	0	5	0	0	0	1	0	0	0	0	1	1	0	3.0	0	3	Spring breeze caressed cherry blossom petals.	0
12	1	0	1	1	0	4	0	2	0	2	0	0	1	0	1	1	0	4.0	0	5	The delicate aroma of freshly brewed coffee fills the morning air.	0
19	0	0	1	3	1	6	0	3	1	0	0	1	3	0	1	0	0	4.0	0	6	The sky on Sunday morning was clear and serene; the air crisp with the slightest hint of winter	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	The snowflakes delicately fell upon my mittens	0
21	3	0	1	0	0	5	2	4	0	4	1	1	0	3	2	4	0	8.0	3	9	Below is an instruction that describes a task:  Write a response that appropriately completes the request generating only one sentence	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred quietly on my lap.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Austerity.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose slowly over the horizon.	0
9	1	0	1	0	0	3	0	1	1	0	1	1	0	0	1	0	0	2.0	0	5	The temperature outside today is 72 degrees Fahrenheit.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
10	0	1	1	0	0	0	3	0	0	3	0	1	0	2	1	2	0	3.0	2	4	Please let me know if I should change anything.	0
11	0	0	2	1	0	6	0	0	0	2	0	0	0	0	1	0	0	3.0	0	6	Spring morning mist rises from dew-pearled grass blades.	0
5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Yesterday, the rain fell	0
7	1	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	0	2.0	0	4	Snowflakes fell gently onto my mittens.	0
15	0	0	0	2	1	5	1	2	1	1	0	1	1	0	1	1	0	4.0	0	6	The color scheme at our local Starbucks can evoke a sense of calm and serenity	0
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	Yellow	0
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	6	The colorful tulips swayed gently in the warm spring breeze.	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Frosty weather.	0
7	1	0	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The snowflakes danced gently on the breeze	0
9	0	0	1	2	0	2	0	2	1	1	0	0	0	0	1	0	0	3.0	0	3	The ethos of Starbucks resonates through the globe. 	0
13	0	0	1	3	0	3	0	1	1	0	0	1	3	0	1	0	0	4.0	0	10	The prevalence of discrimination on racial grounds in contemporary America is noteworthy.	0
10	1	0	1	1	0	3	0	2	0	1	0	1	0	0	1	0	0	2.0	0	5	The snow was piled high against the garden fence.	0
21	0	0	3	2	0	6	1	4	0	2	0	0	3	1	2	1	0	3.0	1	9	The moon glowed in the night sky, its silvery light illuminating the landscape with a soft, serene beauty.	0
6	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	The full moon rises slowly. 	0
11	0	0	0	1	0	2	1	2	0	1	0	1	1	1	1	1	0	4.0	1	3	I am not able to perform any tasks beyond this conversation	1
6	1	0	1	0	0	0	1	0	0	1	0	2	0	0	1	0	0	1.0	0	3	They will be distributed accordingly.	1
8	0	0	0	1	0	2	1	2	0	1	0	0	1	0	1	1	0	4.0	0	3	I approve the proposal subject to some modifications	1
10	0	0	0	2	0	1	0	0	2	1	1	0	2	0	0	0	0	3.0	0	5	Please respond by Friday at Five pm Pacific Standard Time	1
4	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2.0	0	2	Sent in batches.	1
16	0	0	0	2	1	3	1	3	0	2	0	1	2	1	1	1	0	4.0	1	6	I apologize for the error and am willing to redo the distribution on a personal basis	1
7	0	0	1	2	0	1	2	0	0	1	0	0	0	0	1	0	0	2.0	0	3	You mean besides me of course.	1
8	1	0	1	0	0	1	0	2	0	1	0	2	0	0	1	0	0	2.0	0	3	All the documents have been routed accordingly.	1
12	1	1	1	1	1	3	0	1	0	2	0	0	1	1	0	2	0	4.0	1	6	 Write only the sentence, without adding further text and without explanations	1
15	1	0	2	0	1	3	2	1	0	3	0	0	2	2	2	2	0	6.0	2	5	They distribute their duties accordingly, ensuring every responsibility has proper and suitable distribution.	1
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	0	1	0	2.0	0	5	Generate a sentence with 1 verbs. Write only the sentence, without adding further text and without explanations	1
11	1	0	1	0	1	2	2	0	0	2	0	1	1	0	1	2	0	3.0	0	5	I will handle your requests personally and provide technical assistance.	1
10	0	0	1	1	0	3	0	2	0	2	1	0	0	0	1	1	0	2.0	0	5	 The provided instruction requests a sentence with one verb. The sentence should be written without additional text or explanations. Based on the given examples, the task seems to be related to generating a sentence using a specific language style	1
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	0	1	0	2.0	0	5	Write a sentence with 1 verb. (Remember, only one sentence)	1
10	0	0	0	1	0	3	0	2	0	2	0	0	1	1	0	2	0	3.0	1	7	Insert verbs into this pre-written sentence to complete the request	1
11	0	0	1	3	0	1	4	0	0	2	0	0	0	1	2	1	0	3.0	1	8	I learned everything I know besides of course from him. 	1
11	1	0	2	0	0	2	1	1	0	0	0	2	2	1	1	0	0	3.0	1	4	Your responses are correct, here is the next one:  	1
17	0	1	1	2	0	3	1	3	0	4	0	0	1	2	1	2	0	5.0	2	8	Please check the attached document that includes the new rates for this year before signing off.	1
11	1	2	1	2	0	2	1	0	0	2	0	0	0	1	1	0	0	3.0	1	6	Eagerly participate in meetings as if life depends on it. 	1
9	0	1	0	0	0	1	1	1	0	2	0	1	1	2	1	1	0	4.0	2	5	Please let me know if the instructions are clear	1
