n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
7	1	1	0	0	0	0	1	2	0	0	1	0	1	3.0	3	0	0	1	0	0	Square root of 25 equals five.	0
7	1	0	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The car has a red engine.	0
6	0	0	0	0	0	2	0	0	0	2	1	0	1	2.0	2	0	0	1	1	0	The Earth orbits the Sun.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat slept next to the fire.	0
8	0	2	0	0	0	1	1	0	1	1	1	0	1	2.0	5	0	0	1	0	0	We went to the beach on Sundays.	0
9	1	1	0	0	0	1	2	1	1	0	1	0	1	3.0	3	0	0	0	0	0	There are five different colors in the rainbow.	0
5	0	0	0	0	0	1	2	0	0	0	1	0	1	2.0	1	0	0	1	1	0	Every apple has seeds.	0
8	0	1	0	0	0	2	2	0	1	0	1	0	1	2.0	4	0	0	1	1	0	The dog bit me in the park.	0
23	4	1	0	2	2	3	5	0	2	0	1	0	2	5.0	7	2	2	2	1	0	I'm a large language model and I'm unable to generate a new sentence with no prior context or information given.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The balloon ascended rapidly.	0
9	0	1	0	0	0	1	4	0	1	0	1	0	1	3.0	3	0	0	1	1	0	Our budget includes an allocation for advertising expenses.	0
11	0	2	0	1	0	1	4	1	0	0	1	0	0	3.0	4	0	0	1	0	0	The market price for gold is $1,250 per ounce.	0
7	0	0	1	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	I have read the document thoroughly.	0
10	2	1	0	1	0	1	1	0	1	0	2	0	1	2.0	6	0	0	1	0	0	You are looking at a unique, beautiful painting.	0
10	0	1	0	1	0	1	3	1	1	0	1	0	1	2.0	6	0	0	1	1	0	We will attend the meeting tomorrow at nine o'clock.	0
7	1	0	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	Each question has a unique answer.	0
8	1	0	0	0	0	1	1	1	0	2	1	0	1	3.0	3	0	0	1	0	0	The Eiffel Tower measures 1,063 feet tall.	0
8	1	0	0	0	0	1	2	0	1	0	1	0	2	3.0	3	1	1	1	1	0	We have a new employee starting today.	0
14	2	2	0	1	0	2	3	0	1	1	1	0	1	3.0	8	0	0	1	1	0	We have scheduled the annual sales meeting for the third week of May.	0
14	0	1	1	1	1	2	4	0	1	0	1	0	2	4.0	4	0	0	1	2	0	You are currently reading the instruction and generated responses for a writing program.	0
17	1	1	1	0	0	3	5	0	0	0	3	0	2	4.0	10	1	1	1	2	0	"People often use the phrase ""a piece of cake"" to indicate an easy task."	0
6	1	0	0	0	0	0	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	She cooked dinner last night.	0
12	2	1	0	0	0	1	3	0	1	1	1	0	1	3.0	9	0	0	1	1	0	We celebrated New Year's Eve on a beautiful cruise ship.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	1	0	1	0	1	1	1	0	0	1	0	1	2.0	2	0	0	1	0	0	The book was published in 1998.	0
8	0	1	0	1	0	1	1	0	1	1	1	0	1	2.0	4	0	0	1	1	0	I will finish the report by Friday.	0
7	0	0	0	0	0	0	2	0	1	0	1	0	2	2.0	2	1	1	1	1	0	My dog likes to chase balls.	0
11	0	2	0	2	0	2	3	0	0	0	1	0	1	3.0	6	0	0	1	0	0	Every book in the library must be returned on time.	0
7	0	1	0	0	0	0	2	1	1	0	1	0	1	3.0	2	0	0	1	1	0	We have 200 units in stock.	0
17	0	1	1	1	0	1	2	0	4	0	2	0	4	4.0	7	3	3	1	3	0	I'm here to help answer your query, let me generate a sentence for you: The sun rises in the east.	0
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The dog is old.	0
9	1	0	0	0	0	2	4	0	0	0	1	0	1	2.0	4	0	0	1	1	0	The city council approved the new construction proposal.	0
16	4	1	0	1	0	3	3	0	1	0	1	0	2	5.0	4	1	1	1	2	0	I can write a simple declarative sentence with no subordinate propositions preceding the main clause: The sun rises in the east.	0
5	0	0	1	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The moon is round.	0
37	3	3	0	1	1	6	8	1	2	0	2	1	7	7.0	18	5	5	1	3	0	I'm unable to create a sentence with zero subordinate propositions preceding the main clause for the given instruction, as there is no provided context or information presented to craft a sentence with that requirement.	0
7	0	0	0	1	1	0	2	0	1	0	1	0	1	3.0	2	0	0	1	1	0	It is raining cats and dogs.	0
8	1	1	0	1	0	2	2	0	0	0	1	0	0	3.0	5	0	0	1	0	0	The theme of each section is clear.	0
11	1	0	0	1	0	2	2	0	1	0	1	1	2	3.0	7	1	1	2	1	0	She will sing the national anthem before the game starts.	0
9	1	1	0	1	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The moon is not made of green cheese.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	Every book comes with a complimentary notebook.	0
6	1	0	0	1	0	1	1	0	1	0	1	0	0	1.0	4	0	0	1	0	0	It is a hot day.	0
8	0	0	0	0	0	3	3	0	0	0	1	0	1	2.0	4	0	0	1	1	0	The company made a profit this quarter.	0
10	1	3	0	0	0	0	2	0	1	1	1	0	1	2.0	7	0	0	1	0	0	We arrived at noon on Sunday despite heavy traffic.	0
8	0	1	0	0	0	1	2	1	1	0	1	0	1	3.0	3	0	0	0	0	0	There are 15 students in the class.	0
5	0	0	0	1	0	0	0	0	1	1	1	0	1	1.0	2	0	0	1	1	0	She has visited France.	0
7	0	0	0	0	0	2	1	0	0	0	2	0	1	2.0	3	0	0	0	1	0	A: Please pass the peas.	0
7	0	0	0	1	0	0	1	0	2	0	1	0	2	3.0	2	1	1	1	1	0	I have finished reading your email.	0
11	0	0	0	0	0	1	2	0	2	0	2	1	3	3.0	7	2	0	2	1	2	Every morning before I start working, I practice yoga.	0
8	1	0	0	1	0	1	2	0	1	0	1	0	0	2.0	6	0	0	1	0	0	It is the moon's fourth quartile.	0
13	0	2	0	1	0	3	4	0	1	0	1	0	1	4.0	3	0	0	1	1	0	We're having a summer sale on all items in the store.	0
23	2	2	2	2	2	1	3	0	1	0	2	0	5	5.0	6	3	2	0	1	1	When hiking in the desert, always carry ample water and be aware of your surroundings to avoid getting lost or dehydrated.	1
14	0	0	3	1	0	1	1	0	2	0	2	1	3	2.0	5	2	1	2	1	1	If it's raining heavily, carry an umbrella when you go outside.	1
18	1	2	0	2	0	1	2	0	4	0	2	1	2	3.0	9	2	1	2	2	1	If she finishes the report by tomorrow, I'll be happy to proofread it for her.	1
16	0	0	0	2	1	1	4	0	1	0	2	2	3	4.0	12	2	0	2	2	2	If you add salt and pepper before cooking vegetables, the flavor will be enhanced.	1
19	0	1	2	0	0	2	3	0	2	0	2	0	4	5.0	4	3	2	1	2	1	When you arrive home, please remember to remove your shoes to maintain the cleanliness of the floor.	1
17	1	1	0	0	1	2	3	0	1	0	2	1	4	5.0	4	2	1	0	3	1	Before leaving the park, make sure to secure all belongings and lock up your bicycle.	1
27	2	4	1	2	1	1	9	0	1	0	2	1	3	5.0	15	3	0	2	1	3	Although water is the most common liquid used in cooking, experimenting with other types like chicken or vegetable stock will deepen flavors in your dishes.	1
23	0	2	1	1	1	3	7	1	2	0	2	0	3	4.0	6	1	0	2	3	1	When the water in the kettle reaches boiling point, I will add the tea leaves and steep them for three minutes.	1
10	0	0	0	0	0	1	2	0	2	0	2	1	2	3.0	5	1	0	1	2	1	After finishing her homework, she watched a movie.	1
20	3	2	2	1	0	1	4	0	1	0	3	0	3	4.0	9	2	2	1	1	0	Always keep a first-aid kit handy when going on long hikes, in case someone gets injured.	1
16	3	1	1	0	0	0	3	0	3	0	2	1	2	3.0	6	1	0	2	2	1	Although I prefer black tea, I sometimes drink green tea for its healthful properties.	1
15	0	1	0	2	0	2	2	0	2	0	2	1	2	3.0	6	1	0	2	1	1	If she didn't have a headache, she would go to the party.	1
22	1	3	2	0	0	1	7	0	2	0	2	1	3	4.0	7	2	1	1	3	1	If you prefer baking with coconut oil, use it instead of olive oil when making the same batter for muffins.	1
19	1	1	3	1	0	1	1	0	3	0	2	1	4	4.0	8	3	2	2	1	1	If it is raining, make sure to bring an umbrella along with you when you go outside.	1
20	3	1	0	1	1	2	5	0	1	0	2	1	2	4.0	9	2	1	0	1	1	Before embarking on a new business venture, it's advisable to conduct a thorough market research and analysis.	1
25	1	0	2	1	1	1	8	0	2	1	4	1	3	4.0	11	3	1	2	2	2	If you prefer a salad dressing that is less acidic, try mixing lemon juice, honey, Dijon mustard and olive oil together.	1
16	1	0	0	0	0	2	3	0	1	0	2	1	4	5.0	4	3	2	0	3	1	Before drinking the wine, make sure to swirl the glass to release its aroma.	1
21	1	3	2	1	0	2	3	0	2	0	2	1	3	5.0	10	2	2	2	0	0	Provided that it's not too cold outside, I suggest going for a walk in the park before dinner.	1
16	0	1	1	2	0	1	1	0	3	0	2	1	3	3.0	5	2	1	2	1	1	If it's raining heavily, you might want to take an umbrella with you.	1
16	2	1	0	0	0	1	4	0	1	0	2	1	3	3.0	7	2	1	0	3	1	Before eating a fresh peach, feel its texture with gentle pressure to ensure ripeness.	1
24	0	1	4	0	1	3	5	0	2	0	2	1	4	4.0	9	2	1	2	2	1	Even if the sun rises early on a summer day, I still prefer to sip my coffee slowly and enjoy the morning.	1
20	1	4	1	0	1	1	6	0	1	0	2	0	3	4.0	8	2	1	0	1	1	When choosing between chocolate and fruits for dessert, consider eating the fruits due to their healthier sugar content.	1
11	0	1	0	1	0	0	2	0	2	0	2	1	2	2.0	5	1	0	2	0	1	If it rains tomorrow, we will stay at home.	1
14	0	1	1	1	0	1	1	0	2	0	2	1	3	3.0	4	2	1	1	1	1	If it's raining heavily, remember to bring an umbrella with you.	1
20	1	1	0	0	1	1	7	0	2	0	2	1	4	5.0	10	2	1	1	2	1	If you prefer a stronger flavor, consider using ginger or lemongrass infused olive oil in your salad dressing.	1
17	1	1	0	0	1	1	5	0	1	0	2	1	3	5.0	6	2	1	0	1	1	Before leaving for your camping trip, make sure to bring a map or GPS device.	1
12	0	0	0	1	0	2	3	0	1	0	2	1	2	3.0	6	1	0	1	2	1	After removing the pins, you can fold the quilt block.	1
25	2	3	0	0	1	3	5	0	1	3	2	1	3	4.0	10	2	1	1	2	1	Before choosing a brand or type of toothpaste, I suggest checking the product label for the American Dental Association's Seal of Acceptance.	1
23	0	0	4	0	1	2	3	0	3	0	3	2	5	3.0	9	2	1	2	4	1	After you boil the water, add salt until it tastes just right, then add the spaghetti and stir it occasionally.	1
29	2	2	1	0	3	3	10	0	1	0	3	1	3	5.0	9	1	0	1	3	1	If you want a delicious and healthy salad, combine arugula and quinoa in a bowl; then pour a olive oil and lemon juice dressing on top.	1
21	2	2	0	0	1	4	5	0	0	0	2	1	3	5.0	7	2	1	0	2	1	Before taking a swim in the ocean, remember to check the depth and the presence of dangerous marine life.	1
19	2	2	1	1	1	1	3	0	2	1	2	0	2	5.0	5	2	1	0	2	1	When studying Shakespeare, it's helpful to look up the meanings of his original words and phrases.	1
23	0	0	0	1	1	2	4	0	3	0	4	1	5	3.0	8	2	1	1	4	1	If you have forgotten your password, please click the 'Forgot Password' link and follow the prompts to reset it.	1
15	1	1	1	1	0	0	3	0	3	0	2	1	2	3.0	8	1	0	2	2	1	If you add milk to black coffee, you will alter its taste significantly.	1
29	3	2	0	0	1	3	9	0	1	0	2	2	5	6.0	6	3	2	1	3	1	Before embarking on a long drive, ensure that your tires have enough air pressure and check the engine oil level to avoid potential issues on the road.	1
26	2	2	1	2	2	0	6	0	2	0	2	2	5	5.0	8	3	2	2	2	1	If you're feeling adventurous and avocados are in season, try adding sliced avocados to your sandwich instead of using mayo or other spreads.	1
26	1	3	0	1	1	4	8	0	1	0	2	2	3	4.0	10	3	1	1	2	2	Before deciding on buying a car, consult the Consumer Reports for the reliability and resale value data of the models you are interested in.	1
21	1	0	3	1	1	3	3	0	1	0	2	2	4	5.0	5	3	2	1	3	1	If the paint is still wet, gently clean the brush and let it dry completely before applying another coat.	1
18	1	2	0	0	0	2	3	0	3	0	2	1	3	3.0	7	2	1	1	2	1	If it rains during your picnic, move the sandwiches under the tree to keep them dry.	1
18	1	1	0	0	1	1	4	0	1	0	2	1	5	4.0	7	3	1	1	2	2	If you want to bake a healthier cake, consider substituting butter with applesauce or mashed bananas.	1
21	1	3	1	1	0	2	6	0	2	1	2	0	2	3.0	9	1	0	2	2	1	In case you prefer spaghetti carbonara to fettuccine Alfredo, you might appreciate these Italian restaurants over the others nearby.	1
22	0	2	1	0	1	4	4	0	1	0	2	1	5	4.0	8	3	2	2	2	1	Every time the alarm goes off, we quickly get up to feed and water the animals before leaving the house.	1
20	1	2	1	1	0	1	4	0	2	0	2	2	3	4.0	7	2	1	1	3	1	If you don't have access to fresh water, immerse the potatoes in milk instead while cooking them.	1
12	0	0	0	1	0	1	1	0	2	0	2	1	3	3.0	4	2	1	2	1	1	If it rains, we'll have to cancel the picnic.	1
22	0	2	2	0	2	0	8	0	1	0	2	0	4	5.0	9	3	2	0	3	1	When making desserts, consider using honey or maple syrup instead of sugar to add sweetness and complexity to your recipes.	1
13	0	1	0	0	0	0	2	0	2	1	2	1	3	3.0	4	2	1	0	2	1	After finishing your assignments, remember to submit your work by Friday.	1
14	0	1	1	0	0	3	3	0	0	0	2	1	3	3.0	7	1	0	0	2	1	After checking the manual, replace the battery with the newly purchased one.	1
29	3	2	1	2	0	2	5	0	4	0	2	2	4	6.0	9	4	3	2	2	1	Although he was a skilled programmer, he didn't feel comfortable making important changes to the company's website without getting it approved by his supervisor first.	1
20	0	1	0	1	1	2	7	0	1	0	2	2	3	5.0	11	2	1	1	2	1	After you have prepared the salad, add a tablespoon of olive oil and lemon juice dressing before serving.	1
28	2	2	0	2	1	2	6	0	3	1	2	1	5	6.0	8	4	3	2	3	1	If I were planning a trip to Europe, I would consider buying a travel guidebook to help plan my visits to various cities and historical sites.	1
21	1	1	0	2	0	1	3	0	4	0	3	2	4	5.0	5	2	1	2	1	1	Before we proceed, I should inform you that there will be an added fee for next-day delivery.	2
18	1	2	1	1	0	1	3	0	2	0	2	1	3	3.0	7	2	0	2	0	2	If this device fails to function correctly, it could lead to potential risks in our operations.	2
19	1	3	2	2	0	1	4	0	1	0	2	1	2	4.0	6	2	1	1	1	1	When using this device, it is essential that batteries are always kept out of reach of children.	2
20	2	1	0	0	1	1	4	0	4	0	2	1	4	4.0	7	2	1	1	4	1	Before I accept your proposal, let me consider the financial aspects and obtain necessary approval from my manager.	2
