n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
20	1	0	2	2	1	5	0	3	0	2	0	0	4	1	1	1	0	4.0	1	6	The sun slowly set over the calm sea, casting beautiful hues on the sandy beach and peaceful surroundings.	0
17	0	0	1	1	2	6	0	2	0	3	0	0	1	1	1	2	0	4.0	1	10	Farmers harvested enough wheat to feed both inhabitants and traders in the surrounding region this year.	0
16	0	0	2	1	0	4	2	2	0	3	0	0	0	2	1	2	0	4.0	2	7	A woman confessed to her lover's infidelity, leading him to leave the relationship.	0
13	0	0	1	1	1	5	0	1	0	1	0	0	2	0	1	1	0	4.0	0	3	The city's parks provide peaceful spaces for relaxation and outdoor activities.	0
17	0	1	2	1	0	3	2	2	0	4	0	0	2	2	2	2	0	4.0	2	8	I discovered that the stolen blueprints of the building contained incomplete information, rendering them unusable.	0
17	1	0	2	2	1	5	0	2	0	2	0	0	2	1	1	1	0	4.0	1	6	The new store opened next to the library, offering artisanal candles and soaps for customers.	0
19	0	0	2	1	2	6	0	2	0	3	0	0	3	1	1	3	0	5.0	1	5	A powerful hurricane hit the eastern coast, causing extensive damage and leaving thousands without power or homes.	0
21	0	0	1	3	1	7	1	3	0	2	0	0	1	1	1	1	0	6.0	1	8	The CEO decided to terminate the partnership amid concerns about its profitability and strategic alignment with the company's vision.	0
12	0	0	1	2	1	4	0	1	0	1	0	1	1	0	1	0	0	4.0	0	3	The defendant was charged with multiple counts of fraud and forgery.	0
18	1	0	2	3	1	5	0	3	0	2	0	0	1	1	1	1	0	5.0	1	5	The sun slowly sets over the horizon, painting the sky with hues of orange and pink.	0
13	0	0	2	1	0	3	0	2	0	3	0	0	1	2	1	1	0	4.0	2	5	The sun began to rise, casting long shadows across the landscape.	0
11	0	0	1	1	1	4	0	2	0	1	0	0	1	0	1	1	0	4.0	0	3	The bakery offers an extensive variety of confections and breads.	0
21	1	0	3	2	1	5	1	2	0	2	0	0	4	1	1	2	0	5.0	1	5	In the bustling marketplace, a merchant displayed various spices, their pungent aromas enticing customers from far and wide.	0
12	0	0	1	1	0	3	0	2	0	3	0	1	0	1	1	1	0	4.0	1	3	The thief was found to possess a cache of stolen jewels.	0
14	1	0	2	2	0	5	0	1	0	1	1	0	1	0	1	1	0	3.0	0	9	Two scientists secretly carried out cutting-edge research in a clandestine laboratory.	0
24	0	0	3	4	1	5	2	1	1	2	0	0	5	1	1	1	0	4.0	1	6	In the late 19th century, European powers established their colonies in Africa, leading to widespread territorial divisions and conflicts among them.	0
22	1	0	1	3	1	6	0	2	0	4	0	1	2	1	1	2	0	6.0	1	9	Smokestacks have contributed to significant pollution in the past but now face increased regulations to minimize such impacts on the environment.	0
23	0	0	2	3	0	6	1	5	1	2	0	0	1	1	1	2	0	4.0	1	8	In the kingdom of the Netherlands, the monarch held an extravagant feast for his nobles to mark the harvest's bounty.	0
29	2	0	4	4	0	7	0	4	2	3	0	0	3	2	1	2	0	6.0	2	8	The United Nations imposed strict trade sanctions on Iraq, banning the importation of crude oil, thus leading to the depletion of the once-abundant reserves.	0
22	0	1	1	3	1	4	3	2	2	3	0	0	2	1	1	2	0	5.0	1	9	Prince Hamlet lamented on the tragic loss of his father and took upon himself the responsibility of avenging his cruel murder.	0
33	1	1	2	2	2	7	1	5	0	5	0	2	5	3	4	2	0	6.0	3	19	The ancient texts predicted that the earth would end in a violent cataclysm causing massive fires and devastating floods, and some believe we are now experiencing the final days of humanity.	0
17	0	0	2	1	0	4	1	4	0	3	0	0	2	2	2	2	0	4.0	2	9	A young woman sang a haunting melody at the village bonfire, enthralling all who listened.	0
12	0	0	1	0	0	3	0	2	0	5	0	0	0	3	1	2	0	5.0	3	3	The suspect confessed planning to rob a bank using stolen blueprints.	0
13	0	0	1	1	0	5	0	3	0	1	0	0	1	0	1	1	0	3.0	0	9	A baker decorated an intricate cake design for a customer's order.	0
18	0	0	3	2	0	4	1	1	0	2	0	2	2	1	2	1	1	4.0	2	9	The factory, which was under constant surveillance, was rumored to manufacture weapons of mass destruction.	0
18	0	0	1	2	1	6	1	2	0	2	0	0	3	1	2	2	0	6.0	1	4	The new legislation bans the sale of certain types of fireworks that cause unnecessary noise and disturbance.	0
12	1	1	1	1	0	3	0	3	0	2	0	0	0	1	2	0	0	3.0	1	5	The cat slept soundly while the sun set over the lake.	0
17	0	0	2	0	1	3	0	1	1	3	0	2	3	2	2	2	0	6.0	2	3	Ancient Egyptians are known to have worshipped several gods, each having distinct powers and appearances.	0
14	1	1	1	0	0	3	2	2	0	2	0	0	1	1	2	2	0	3.0	1	5	The woman's dog followed her fearfully as she approached the dark alley.	0
15	0	0	2	0	0	4	0	0	0	3	0	2	3	2	1	2	0	4.0	2	4	Several employees were found to have embezzled company funds, causing significant financial losses.	0
18	0	0	2	3	0	6	0	4	0	2	0	0	1	1	1	2	0	4.0	1	7	A detective interrogated a suspect, coercing a confession of guilt in a series of heinous crimes.	0
14	1	0	2	2	0	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	6	The cat sat gracefully by the window, watching birds in the garden.	0
18	1	0	2	2	0	4	1	3	0	2	0	0	3	1	1	1	0	5.0	1	5	The sun set slowly behind the distant horizon, its brilliant colors reflecting off the shimmering water.	0
10	0	1	1	0	0	3	0	0	1	2	0	1	1	1	1	1	0	3.0	1	3	Twin sisters were accused of plotting identical twin bombings.	0
19	0	1	1	1	0	5	0	4	0	3	0	1	2	2	1	2	0	4.0	2	10	The detective was able to find the prime suspect in the stolen artwork case without leaving any traces.	0
13	0	0	2	1	0	3	2	1	0	2	0	0	2	0	1	1	1	2.0	1	8	Smiling, he revealed a hidden agenda to his new business associates.	0
14	1	0	1	1	0	5	0	1	0	3	0	0	1	1	1	2	0	3.0	1	5	A new technology enables cars to automatically adjust speed to changing traffic conditions.	0
15	1	0	1	1	0	4	1	1	0	2	0	0	3	1	1	2	0	4.0	1	4	A renowned sculptor famously used unique materials to create his magnificent works of art.	0
15	1	0	1	2	0	4	0	2	0	1	0	0	4	0	1	1	0	3.0	0	6	Political leaders worldwide condemned the brutal terrorist attack on civilians in the crowded marketplace.	0
16	0	0	1	1	1	6	1	1	0	1	0	0	4	0	1	1	0	3.0	0	7	The new restaurant gained critical acclaim for its bold flavor combinations and excellent customer service.	0
15	1	0	1	0	1	4	0	2	0	3	0	1	2	1	2	2	0	4.0	1	6	Some employees believe the new software will significantly improve productivity and reduce manual tasks.	0
24	1	1	2	2	0	4	1	3	0	4	0	2	3	3	1	2	0	5.0	3	10	An elderly couple was rumored to have secretly amassed considerable wealth while living in the village, without anyone knowing the exact sum.	0
11	0	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun rose, bathing the landscape in golden hues.	0
