n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
20	1	0	3	2	1	4	1	3	0	1	0	0	4	0	1	0	0	4.0	0	7	The sun shone brightly, a stark and clear testament to its presence in a vast, empty sky.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	 The sun rose in the east and set in the west.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	The sun rose in the east and set in the west.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	2	The sun rose this morning.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	  The rain fell without a pause.	0
12	1	0	2	1	0	2	2	1	0	2	0	0	1	1	1	1	0	3.0	1	6	She sat quietly, observing the bustling street from her balcony.	0
6	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	2.0	0	2	She was there without delay.	0
9	1	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	3	The rain was unusually quiet on the day.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	  The rain fell without a cloud in the sky.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The rain fell without interruption.	0
22	1	0	3	3	1	6	0	4	0	3	0	0	1	1	2	1	0	4.0	1	7	  **The rain fell silently, a symphony of drops cascading down the barren leaves and glistening on the cobblestone streets.**	0
13	1	0	1	2	0	3	1	2	0	2	0	0	0	0	0	0	0	3.0	0	6	  There was not even a whisper of silence in the bustling city.	0
9	0	0	1	0	0	2	1	2	0	2	0	0	0	1	1	2	0	4.0	1	2	I have no time to complete this task.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The storm swept effortlessly through the empty sky.	0
18	1	0	2	2	0	5	0	4	0	2	0	0	2	1	1	1	0	3.0	1	8	  The sun hung perfectly on the horizon, casting an eerie shadow over the bustling city streets.	0
17	0	0	2	2	1	5	3	2	0	2	0	0	0	1	1	1	0	5.0	1	5	She walked into the cafe, carrying her purse and a coffee cup in her hand.	0
12	1	0	2	1	1	1	2	1	0	2	0	0	1	0	1	1	0	3.0	0	5	She stood there, quiet and observing the world around her.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The rain fell without a trace.	0
15	1	0	2	3	0	4	1	3	0	1	0	0	0	0	1	0	0	3.0	0	7	Even without a word in its vicinity, the sun rises in the east.	0
24	0	2	2	2	0	5	1	3	0	4	1	2	1	3	1	1	0	5.0	3	13	There is no sentence generated with 0 adverbs, as adverbs cannot be omitted without altering the grammatical meaning of the sentence.	0
23	0	1	1	1	1	4	1	4	0	3	0	3	1	2	2	2	0	6.0	2	5	The task cannot be completed since it does not provide any context or a specific task to generate a sentence about.	0
5	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1.0	0	3	She was not happy.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rose without any delay.	0
15	2	0	2	3	0	2	2	2	0	2	0	0	0	1	1	0	0	4.0	1	6	She sat quietly, looking up from her book every once in a while.	0
