n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
9	1	0	1	1	0	1	2	0	0	1	0	1	1	0	1	1	0	3.0	0	3	We've always wanted children of our own. 	0
10	1	0	1	0	0	3	1	1	0	2	0	0	1	1	1	0	0	2.0	1	7	The cat purred when held, its soft fur relaxing	0
27	2	0	2	1	2	5	4	4	0	5	0	1	0	1	1	3	1	6.0	2	17	When there is a will, there is a way to accomplish the goal and complete it well and within time; I will complete this task	0
3	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	1.0	1	1	I felt deflated	0
7	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	6	Even if the sun does not rise	0
6	1	1	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	1.0	0	5	Because it's all about you	0
19	2	1	3	1	2	4	0	2	0	2	0	0	2	1	0	2	0	4.0	1	7	Write only the sentence below, without adding any further information or explanations, and without proper nouns. There have been numerous problems brought up and we'll have to talk about each one.	0
17	0	1	1	2	1	3	2	2	0	3	0	0	2	2	2	0	0	5.0	2	6	The wind whipped through my hair as I stood on the hill, feeling alive and free	0
2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	I complained	0
6	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	3	The sky is still blue.	0
5	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	Every morning I drink tea	0
8	0	0	1	1	0	1	2	2	0	1	0	0	0	0	1	1	0	2.0	0	5	You did all that work for nothing. 	0
31	0	0	2	6	2	9	2	6	0	3	0	0	1	1	2	2	0	8.0	1	6	The rainbow of children at the playground brought joy and wonder to all who saw them, a testament to the beauty of family and the colorful tapestry of life.	0
3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
5	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1.0	0	1	[Your sentence here. Write only one sentence that responds to the task and does not include any proper nouns.] 	0
8	0	0	0	2	0	3	0	1	0	1	0	0	1	0	1	0	0	3.0	0	4	Roses smell like the first days of springtime	0
5	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	2.0	0	2	We sang without instruments. 	0
13	0	1	0	1	0	3	3	0	0	2	1	1	1	1	2	1	1	4.0	2	8	Sentences generated by me have 0 proper nouns because it's my choice	0
7	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	2.0	0	3	I am sorry for any confusion. I did not get what I ordered. 	0
12	1	0	1	1	0	2	2	1	0	2	0	0	1	1	1	1	0	4.0	1	5	We created our own lives to get away from the rubbernecking. 	0
6	0	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	2.0	0	3	My baby laughed through her nap	0
8	0	0	1	0	0	2	0	1	0	1	0	1	2	0	1	1	1	4.0	1	4	A simple sentence lacking proper nouns is: The cat chased the mouse until it disappeared under the couch cushions.	0
23	3	0	2	2	0	4	5	1	0	4	0	1	1	2	4	1	0	5.0	2	10	Our lives are defined by infinite possibilities; the opportunities we never pursued define our destiny as clearly as those we embraced.	0
22	0	0	1	4	1	6	0	5	0	3	0	0	2	1	2	0	0	5.0	1	10	The rain fell on the streets in a rhythmless beat, water swirling and gushing like the sound of an unpredictable heart	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	0	1	0	3.0	0	6	Baked a batch of cupcakes that evening. 	0
8	0	0	0	1	0	2	0	2	0	2	0	0	0	1	1	0	0	3.0	1	3	The bookshelves seemed to stretch to the horizon	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
15	1	0	1	2	1	4	1	2	0	2	0	1	0	0	1	2	0	4.0	0	7	I requested assistance with the software but was given a book about photography instead.	0
7	1	1	1	0	0	0	2	0	0	2	0	0	0	1	2	0	0	2.0	1	3	I cried as I walked away. 	0
