n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
5	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	2	 Birds chirp in trees.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	We gather round the fire.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The wind howls through the trees.	0
4	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	1.0	1	2	Let's go!  Let's dance!  Passion is contagious!  Excitement levels are high!  Let me show you!  Just do it!  Life is beautiful!  The sun is shining!  I'm here for you!  Let's begin!  Come on, let's play!  Can you hear the ocean waves?  Let's make it happen!  Ready, set, go!  What a wonderful world!  Every moment is a gift!  Let's create something amazing!  Time to hit the road!  Let your dreams take flight!  Let's unleash the power within!  The future is bright!  Happiness is inside of us!  It's time for a new adventure!  Every day is a new opportunity!.	0
8	0	0	2	0	0	0	1	1	0	3	0	0	0	2	0	2	0	3.0	2	3	"""Let us not forget the forgotten."	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The ball rolls smoothly across the floor.	0
11	0	1	1	1	0	1	2	1	0	3	0	0	0	2	1	1	0	4.0	2	3	Let's not forget that time waits for no one.	0
8	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	2.0	0	5	Passionately debating a controversial topic with someone.	0
9	0	0	1	1	0	3	1	1	0	1	0	1	0	0	1	1	0	3.0	0	3	We can reverse the effects of climate change.	0
5	0	0	1	0	0	1	0	0	0	1	0	2	0	0	1	0	0	1.0	0	3	Silence can be deafening.	0
15	0	0	2	1	1	3	0	2	0	3	0	0	2	2	1	1	0	6.0	2	4	The sun starts to rise, painting the sky with orange and pink hues.	0
5	0	0	1	0	0	2	0	0	0	1	0	1	0	0	1	1	0	1.0	0	2	Silence can speak volumes.	0
11	0	0	3	2	1	3	1	0	0	1	0	0	0	0	1	0	0	3.0	0	5	We run out of time, ideas, and patience.	0
8	1	0	1	0	0	1	2	0	0	1	0	1	0	0	1	1	0	2.0	0	3	We cannot trust our memories entirely.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	A smile played on her lips.	0
5	0	0	2	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1.0	0	1	" ""She loves dancing."	0
