n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
8	0	0	3	0	0	0	0	0	4	0	1	0	0	0	0	0	0	2.0	0	6	Umir Hussain, 24, London E14.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly in the sky.	0
8	0	0	3	0	0	0	0	0	4	0	1	0	0	0	0	0	0	2.0	0	6	Hamish Mclntyre, 31, London E11.	0
14	1	0	4	1	0	1	0	1	4	1	1	0	0	0	1	1	0	3.0	0	9	Umir Hussain, 24, of London E14, brushed the cat away.	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Good answer! You are correct. Please keep practicing. 	0
22	0	0	1	4	0	6	1	4	1	2	0	0	3	1	2	1	0	3.0	1	10	Smokey the Bear scorched the retina of passersby with his beefy pectoral muscles glistening in the sun like a golden eagle.	0
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	The cake was baked by her mother.	0
7	0	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1.0	0	5	Jillian Jones, 21, Belfast.	0
6	0	0	0	1	0	2	0	1	0	1	0	1	0	0	1	0	0	2.0	0	3	Snow is forecasted for the afternoon	0
15	0	0	0	3	0	2	1	2	6	1	0	0	0	0	1	1	0	3.0	0	12	Lila Vu read The Art of War by Sun Tzu on her commute this morning	0
20	1	0	3	2	0	4	2	3	0	2	0	0	3	1	2	2	0	4.0	1	8	The glow-in-the-dark basketball has a unique feature that sets it apart from other basketballs	0
7	0	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1.0	0	5	Gerard Pique, 32, Barcelona.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	1	0	2.0	0	1	Rainbow kisses melt sunshine. 	0
6	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0	0	0	2.0	0	4	  Ranjit 31 Bristol  Great job! Here's the next one	0
2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1.0	0	1	Roshan Mesquita	0
3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1.0	0	1	Gerald Snape.	0
7	0	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1.0	0	5	  Erika Munch, 27, Copenhagen.	0
3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	1	Sally drank coffee	0
29	0	1	4	2	0	5	1	3	4	4	0	1	3	3	3	2	0	6.0	3	9	"Nick Bos, of the University of Helsinki, studies ""the amazing adaptations social insects have evolved in order to fight the extreme parasite pressure they experience"""	0
7	0	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1.0	0	5	Rafia Hussain, 31, Birmingham.	0
6	0	0	3	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1.0	0	2	" the word ""be"". Here is the sentence with the first letter of each word capitalised"	0
8	0	0	2	0	0	0	0	0	4	0	1	0	1	0	0	0	0	2.0	0	7	Mila Sharma,  28, New York NH1	0
9	0	0	2	0	0	3	1	1	0	1	0	0	1	0	1	1	0	3.0	0	4	Appropriate sentence: The cat licked its paw.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the ocean.	0
12	0	0	1	2	0	3	0	1	0	1	2	1	1	0	1	0	0	3.0	0	5	Eleven million tons of crude oil are carried by this pipeline.	0
8	0	0	2	0	0	0	0	0	4	0	1	1	0	0	1	0	0	2.0	0	3	Frieda Velazquez was 27, London E8.	0
3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1	Rocket launch.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred loudly.	0
6	0	0	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun set behind the mountain	0
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The cat was sleeping.	0
8	0	0	3	0	0	0	0	0	4	0	1	0	0	0	0	0	0	2.0	0	6	Umir Hussain, 24, London E14.	0
12	0	0	1	1	0	2	0	1	3	1	2	0	1	0	1	1	0	2.0	0	7	  Hughes Huffman had the first heart transplant on November 11, 1967	0
4	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	1	Jane drinks coffee.	0
7	0	0	1	1	0	1	0	1	2	1	0	0	0	0	1	0	0	2.0	0	3	Lake Lamond flows into the sea.	0
4	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	1	Jill eats pizza.	0
7	0	0	1	0	0	4	0	0	0	1	0	1	0	0	1	1	0	3.0	0	2	Sudoku solver programs are gaining popularity. 	0
