n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
7	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	4.0	0	5	Breyer horse , miniature/ model replica	0
22	0	1	1	3	0	4	2	3	0	4	1	2	1	2	1	0	0	6.0	2	6	There is no provided information in the context that is capable of being turned into a sentence with 0 coordinating conjunctions.	0
24	2	1	1	2	0	5	2	0	0	3	1	2	2	3	0	1	0	9.0	3	13	There's so much information to be digested in today's market that it's hard to maintain focus on only one aspect.	0
21	0	0	1	4	0	5	2	4	0	3	1	1	0	1	1	0	0	6.0	1	6	There's no information in the context that would allow for the generation of a sentence with 0 coordinating conjunctions.	0
14	0	0	1	2	0	4	1	3	0	1	1	0	1	0	0	0	0	4.0	0	5	There's quite a discrepancy in stock prices between the 2 biggest corporations.	0
16	1	0	2	1	0	3	2	2	0	2	0	1	2	0	1	1	0	3.0	0	10	There's so much money in this deal, it could afford a private island!	0
25	1	0	2	1	1	4	1	4	0	5	0	2	1	1	2	2	0	4.0	1	16	The information is not provided in the context and has no relevant solution to generate, therefore I cannot generate the requested sentence.	0
25	3	1	5	2	0	7	1	2	0	2	0	0	2	1	0	1	0	5.0	1	14	There's so much revenue growth potential in this start-up, even while having a high debt-to-equity ratio!	0
15	2	0	1	1	0	2	3	1	0	2	0	1	2	2	1	0	0	5.0	2	11	There's so much punch packed into these regulations that it's almost scary.	0
22	4	1	1	1	0	4	2	1	0	3	0	1	3	3	0	0	0	8.0	3	11	There's so much stock market news out there nowadays that it's hard to stay focused on any single thing.	0
21	1	0	2	1	1	5	2	4	0	3	0	1	0	0	1	1	0	4.0	0	15	There's no context information in this prompt or the question, so I can't generate the requested sentence.	0
16	1	0	1	1	1	3	1	1	0	2	0	0	4	1	0	0	0	5.0	1	13	There's so much to learn from corporate financial reports and financial news these days.	0
18	0	0	1	3	1	5	1	2	0	1	0	0	4	0	0	0	0	4.0	0	15	There's a significant shift in corporate law and tax policies due to the recent financial crises.	0
24	1	0	2	2	0	4	2	2	1	3	0	1	6	2	1	2	0	5.0	2	10	There's so much intellectual debate surrounding Artificial Intelligence, which could have a big impact on economic growth in the long run.	0
18	0	0	2	1	1	4	3	1	0	3	0	1	1	2	1	1	0	4.0	2	12	There's something to learn about every business decision, but none are worth sacrificing your sanity.	0
20	0	0	1	2	0	4	2	3	0	4	1	2	0	2	1	1	0	6.0	2	7	There is no information in the context that can be used to generate a sentence with 0 coordinating conjunctions.	0
26	2	1	2	2	0	6	2	2	0	4	0	1	4	3	1	2	0	8.0	3	10	There's so much cash flowing through this deal that it should generate considerable revenue, making large sums of money a lot easier now.	0
14	0	0	1	1	0	3	1	2	0	4	1	0	0	1	0	1	0	5.0	1	4	There is no provided context to create a sentence with 0 coordinating conjunctions.	0
27	1	1	1	3	1	6	1	4	0	3	0	0	4	2	1	1	0	7.0	2	14	There's so much data to process for the analysts to figure out the trends on a macro scale without any major economic or political distractions.	0
23	0	1	1	1	0	5	1	4	0	4	1	2	0	2	2	3	0	4.0	2	12	I cannot generate a sentence with 0 coordinating conjunctions because the instruction does not provide a context to form a sentence.	0
23	1	0	3	1	1	6	2	2	1	4	0	1	0	1	1	1	0	6.0	1	17	There's no context given about Breyer horses, miniature or model replicas, so I cannot generate the requested sentence.	0
25	0	1	1	1	0	5	1	5	0	4	1	2	1	3	2	3	0	6.0	3	12	I'm unable to generate a sentence with 0 coordinating conjunctions as the task does not provide any context to create such a sentence.	0
25	1	2	2	2	2	4	4	1	0	4	0	1	1	2	1	2	0	9.0	2	4	There's something to be learned from everybody, regardless of whether they wear ties or have children or a good sense of humor.	0
13	1	0	1	0	0	2	1	2	0	4	0	0	1	2	0	1	0	5.0	2	4	There are no coordinating conjunctions needed to make this task fully descriptive.	0
34	0	0	5	3	2	5	1	4	6	3	0	2	3	2	1	1	0	4.0	2	27	There is no information in the context about corporate finance, Brain Kerrigan, Lewis Worthy, or Mary Perkins, and generating a relevant sentence would be impossible based on the context.	0
15	2	1	1	1	0	2	2	1	0	1	0	1	3	1	1	0	0	5.0	1	11	There's so much intellectual property in this book that it's almost overwhelming.	0
19	1	1	2	1	0	3	2	3	0	4	0	1	0	2	1	1	0	3.0	2	12	There is no information about the task provided, so I cannot generate a sentence as requested.	0
19	0	2	1	0	0	4	0	3	0	4	1	2	1	3	3	1	0	4.0	3	6	The question is impossible to answer as the instruction specifies that the sentence should have 0 coordinating conjunctions.	0
20	2	1	2	2	0	3	3	1	0	2	0	1	3	1	1	0	0	6.0	1	13	There's so much intellectual property in this sector that it's basically self-sustaining on its own.	0
