n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
7	0	0	1	0	0	2	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	You are the only visitor today.	0
6	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	2.0	0	2	You are holding five eggs.	0
8	0	0	1	2	0	2	0	1	1	1	0	0	0	0	0	0	0	3.0	0	6	Vote for Candidate A in the election.	0
6	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	2.0	0	2	Your new position starts Monday.	0
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	You must sign these forms.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
8	0	0	1	1	0	2	2	0	0	1	1	0	0	0	1	1	0	2.0	0	4	I need your presence in room 307.	0
6	0	1	1	0	0	2	0	0	0	2	0	0	0	1	0	2	0	2.0	1	3	Melt cheese before serving spaghetti.	0
7	0	0	1	1	0	2	0	0	0	1	0	1	1	1	1	0	0	3.0	1	4	Vases on display are colored blue.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	2.0	0	2	Vacuum the room.	0
6	0	0	2	0	0	2	0	0	0	0	1	0	1	0	0	0	0	2.0	0	2	Social Security number: 123-45-6789.	0
5	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	Vote in the election.	0
4	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	2.0	0	1	Contact Cindy Stark.	0
6	0	0	1	1	0	0	0	0	0	0	2	1	1	0	1	0	0	2.0	0	2	Six is fewer than twelve.	0
7	1	0	1	0	0	1	1	0	0	1	0	2	0	0	1	0	0	2.0	0	3	Your order will be confirmed soon.	0
5	0	0	1	1	0	2	0	0	0	1	0	0	0	1	0	0	0	3.0	1	2	Votes needed for decision.	0
7	0	0	1	0	0	1	1	0	0	2	1	0	0	1	1	1	0	3.0	1	2	You need to bring two forms.	0
8	0	1	1	0	0	1	0	0	1	2	0	1	1	0	1	0	1	3.0	1	4	"Middle Office work scheduled is as follows:  You cannot use the word ""is"" or ""follows"" in this sentence as it requires an adposition (is from, follows after)."	0
6	0	0	1	0	0	0	1	0	2	1	0	1	0	0	1	1	0	2.0	0	2	You must contact Cindy Stark.	0
3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	It rains.	0
6	0	0	1	1	0	2	0	0	0	0	0	1	1	0	1	0	0	2.0	0	2	Frost is thick on window.	0
7	0	0	1	1	0	3	0	1	0	1	0	0	0	0	1	1	0	2.0	0	4	Vacuum clean the carpet at noon.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The ball is red.	0
6	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	2.0	0	4	Vote for your favourite candidate.	0
11	0	0	1	0	0	1	1	1	2	2	0	2	0	1	1	2	0	3.0	1	4	I'll be contacting Cindy Stark to make an appointment.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	All apples are red.	0
6	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	2.0	0	2	Please find the information below.	0
