n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
16	3	1	2	0	0	2	4	0	0	0	1	0	2	3.0	5	1	1	1	2	0	The diligent worker persistently devoted tireless efforts to successfully complete the challenging project despite obstacles.	2
22	1	3	0	0	1	4	6	0	2	0	1	0	3	5.0	7	1	1	1	3	0	The manager ordered a large stack of reports and urged her team to complete them by the end of the day. 	2
26	1	2	3	1	1	2	2	0	4	0	3	3	4	4.0	10	2	0	5	0	2	" If you wait outside until I get back, the dependent link is ""until I get back"" and it relies on the word until"	2
41	4	5	5	2	2	6	7	0	2	0	3	1	4	6.0	14	3	3	3	1	0	The cat purred contentedly at the sight of the cream that was slowly being poured, creating a soothing ambiance in the otherwise noisy room, while her tail gently swished to and fro with a playful and languid motion. 	2
34	6	5	1	0	1	6	8	0	2	0	1	0	4	6.0	20	1	0	1	2	1	Satisfied with the purchase of the shimmering golden earrings sparkling in the soft glowing light,  the content customer carefully fastened them on her delicate ears and admired the stunning effect in the mirror	2
10	2	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The tall trees towered over the short houses below.	2
10	2	1	0	0	0	1	2	0	0	1	2	0	1	2.0	3	0	0	1	1	0	 With great enthusiasm, Peter prepared the delicious pancake.	2
10	0	1	1	0	0	3	4	0	0	0	0	0	1	3.0	3	0	0	1	1	0	The research team diligently explored the depth of the ocean	2
14	2	1	0	1	1	1	5	0	1	1	0	0	1	3.0	8	0	0	1	1	0	Wally and his wand were whispered warm wishes in the woodland wily wind whispers	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The cat chased the mouse. 	2
26	2	3	2	0	0	5	6	0	2	0	2	1	3	5.0	8	2	2	3	1	0	The fluffy white cat purred contentedly on the couch, her tail twitching occasionally as she watched the birds outside the window through the glass. 	2
9	2	0	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	1	0	 The beautiful queen wore an expensive diamond crown. 	2
11	2	1	0	0	1	1	1	0	1	0	3	0	1	4.0	6	0	0	1	0	0	" ""She walked across the long and narrow bridge."" "	2
12	3	0	1	1	0	1	2	0	1	0	2	0	1	2.0	4	0	0	1	1	0	  The delicious, creamy cake will surely satisfy your sweet tooth.	2
26	3	2	1	0	0	2	6	1	2	2	2	2	3	4.0	16	2	2	2	2	0	Jones bought two brand-new baseballs from the store instead of a replacement ball because he broke his favorite bat while practicing last Sunday.	2
16	2	2	1	0	1	3	3	0	0	0	1	0	3	4.0	7	1	1	1	0	0	The cat ran rapidly around the vast and verdant fields chasing after a fluttering butterfly.	2
18	4	1	0	1	0	1	3	0	1	2	2	0	2	3.0	10	1	1	1	1	0	Mary ordered the big, green, shiny van to be delivered to her house next Tuesday morning	2
18	2	1	1	0	0	2	4	0	0	0	2	1	3	4.0	9	2	1	1	1	1	The team, after deliberating for many hours, finally decided to adopt the company's new strategy	2
6	2	0	0	1	0	1	1	0	0	0	0	0	1	3.0	5	1	0	1	1	1	  Selling a beautiful horse is easy	2
10	0	1	1	1	0	1	1	0	1	0	2	0	1	3.0	3	1	1	1	0	0	"Alright, here is the sentence you asked for. Please note, that the longest dependency link is two words and those words are ""the"" and ""dog.""    Is this sentence appropriate? I am uncertain, as I do not know the context of the situation. Can you clarify the context? Please feel free to ask more questions as needed"	2
39	3	3	3	1	1	1	4	0	5	6	4	2	4	6.0	27	3	3	4	2	0	Flavius Augustalus Caesar ruled Gaul after his father, though he was not yet old enough to govern, so his mother, the wise and courageous empress Pavia, governed Rome for him until he came of age	2
10	2	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The big red car drove slowly down the street. 	2
16	0	2	1	0	0	2	3	1	1	0	3	1	2	2.0	9	1	1	1	1	0	"""The cat chased after the mouse for two hours before finally catching it."""	2
12	1	0	0	0	0	1	2	0	2	0	1	1	3	3.0	5	2	1	2	2	1	Although she appreciated the offer, she decided to pursue other opportunities	2
16	0	2	1	0	0	3	5	0	1	0	2	0	2	3.0	8	1	1	2	0	0	The cat sat on the windowsill lazily, its tail twitching with every passing breeze. 	2
20	3	3	1	1	0	4	6	0	0	0	1	0	1	3.0	9	0	0	1	0	0	The delicate petals of the cherry blossoms were gently blown towards the grassy field by the warm spring breeze.	2
5	0	0	0	0	0	0	1	1	0	1	1	0	1	2.0	2	0	0	1	1	0	Sally bought three cats.	2
20	1	3	1	0	1	2	6	0	2	0	2	0	2	4.0	7	1	1	1	1	0	The cat purred contentedly on our laps, radiating warmth and comfort with each rhythmic pulsation of its tail.	2
34	2	4	0	0	2	2	5	1	2	5	5	1	3	7.0	14	2	2	1	2	0	"Sally brought two chocolate cakes, not as gifts but for herself and Midge to share while watching the new season of their favorite show, ""The Adventures of Pizza Dog."" "	2
20	3	2	0	0	1	3	6	0	1	0	0	0	3	5.0	8	1	1	1	3	0	The company consulted the experienced programmer to assess the efficiency of their current algorithms and identify opportunities for significant improvements	2
17	2	1	1	0	0	2	4	0	0	1	2	1	3	4.0	7	2	1	1	2	1	Faced with financial difficulties, Sarah cautiously contemplated the viability of accepting a lesser paying job. 	2
20	2	1	0	0	0	1	7	0	0	0	4	1	3	4.0	8	2	1	1	2	1	The company, despite experiencing financial difficulties, managed to maintain employee morale through various team-building activities.	2
12	0	0	2	0	0	2	3	0	1	0	2	0	2	3.0	6	1	1	2	1	0	The cat purred softly, her tail gently caressing the rug. 	2
6	1	0	0	0	0	1	2	0	1	0	0	0	1	2.0	3	0	0	1	1	0	The dog wagged its curly tail	2
38	6	3	0	4	1	2	11	0	2	0	2	0	5	7.0	8	3	3	2	3	0	The company has been testing several products to determine the latest advancements in artificial technology, which will be implemented in their new smart home devices to improve customer satisfaction through enhanced user experience and greater convenience. 	2
17	0	1	2	3	0	1	2	0	1	0	2	1	3	3.0	10	1	0	2	0	1	Although it has been snowing since dawn, the frozen pond still has not melted yet. 	2
10	1	1	2	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The delicate butterfly gently fluttered gracefully throughout the garden. 	2
