n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
6	0	0	0	0	0	3	0	1	0	1	0	0	1	0	1	1	0	2.0	0	3	The new marketing strategy improved sales	0
7	0	0	0	0	0	1	0	1	2	1	0	1	1	0	1	1	1	3.0	1	6	Climbing Mount Everest is an exhilarating experience	0
25	1	0	4	3	0	5	1	4	1	2	0	1	3	1	2	0	0	4.0	1	13	"  ""The big orange cat purred louder than any cat I have ever heard, with eyes the color of an August sunset."""	0
6	0	0	1	0	1	3	0	0	0	1	0	0	0	0	1	1	0	3.0	0	2	 Cats chase mice and dogs.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
5	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	Sarah walked into the room	0
13	0	0	1	1	0	3	1	3	0	3	0	0	1	1	1	2	1	3.0	2	7	Eating the juiciest pear in the orchard made all my worries disappear.	0
14	0	1	1	3	0	3	1	2	0	2	0	0	1	1	2	0	0	3.0	1	5	The cat purred in satisfaction as it gazed out at the sun-bathed garden. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred sedately on my lap.	0
19	2	0	2	3	1	4	1	3	0	3	0	0	0	1	2	0	0	4.0	1	6	The cat curled up in a ball and purred quietly, her eyes gleaming brightly in the dark.	0
15	1	0	2	1	0	3	2	2	0	2	0	2	0	2	2	1	0	4.0	2	6	I can accomplish that task with ease: here's the sentence you requested:  The purple elephant hopped swiftly through clouds.	0
10	0	0	1	1	1	2	1	1	0	3	0	0	0	1	1	1	0	4.0	1	3	 The cat sat down and began grooming her fur.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap. 	0
5	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	Mario took the mushroom.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	   The dog barked wildly at the strange object.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The snowflakes fell silently on my face. 	0
17	0	0	5	1	0	3	0	3	0	1	0	0	4	0	1	0	0	3.0	0	8	The sun, a giant fireball, glowed in the dark, orange-pink sky. 	0
14	1	0	1	1	1	2	0	2	1	2	0	1	1	0	2	0	0	3.0	0	12	Sara laughed loudly at the silly clown, but the clown was not fazed	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
20	1	0	1	4	0	6	0	2	3	2	0	0	1	0	2	1	0	4.0	0	13	  Blue carpets line the streets of Paris in April, the perfume of crêpes Suzette drifts down from café terraces	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap	0
10	1	0	0	1	0	3	0	2	0	1	1	0	1	0	1	1	0	2.0	0	6	    A black bear chased two cubs deep inside a forest	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The manager interviewed every candidate individually.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
14	0	0	2	2	0	5	0	4	0	1	0	0	0	0	1	1	0	2.0	0	10	The dog chased the cat for a half-hour through the neighborhood. 	0
10	1	1	1	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	The dog ran down the street without looking back.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred softly.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat meowed sleepily on the windowsill.	0
9	1	0	0	1	1	2	0	2	0	2	0	0	0	0	1	0	0	2.0	0	5	The cat jumped over the table and ran outside	0
12	0	1	2	1	0	2	1	1	1	2	0	0	1	0	1	1	1	2.0	1	5	Despite feeling tired, Mary continued her walk in the park.	0
10	0	0	3	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	"  ""The black cat ran across the moon."""	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	 The cat purred happily on my lap.	0
16	0	1	2	2	0	3	2	1	0	3	0	0	2	2	1	2	0	3.0	2	8	Climbing down required great care, lest he lost his footing on the slick rock.	0
13	0	0	2	1	0	4	1	2	0	2	0	0	1	1	2	0	0	3.0	1	6	The cat purred louder, her tuxedo coat shining in the sunlight.	0
13	3	0	1	1	0	3	0	0	1	3	0	0	1	1	2	1	0	4.0	1	5	Sally skied silently sideways to secret places where sprites sipped sparkling snowdrops. 	0
15	1	0	2	4	1	2	1	1	0	1	0	0	2	0	1	0	0	4.0	0	9	 Blue and green mountains stretch out in the far-off distance before me.	0
54	4	2	5	5	1	10	2	7	0	9	0	3	4	7	4	3	0	13.0	7	12	The sky was blue after the rains finally ceased; nevertheless, no one had remembered to close the gaping garage door until dusk had set it, allowing darkness, and therefore the unknown, to move in like an army of unidentifiable creatures from the shadows cast by various objects left outside	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat Purred contentedly on my lap.	0
11	0	0	1	0	1	4	0	1	0	3	0	0	0	1	1	3	0	4.0	1	3	Cats climbed trees to catch mice and enjoy the sunshine. 	0
10	0	0	1	2	0	4	0	2	0	1	0	0	0	0	1	0	0	3.0	0	6	The snowflakes danced like diamonds in the morning light.	0
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	3	 Tall dark mountains loomed over the horizon.	0
12	0	0	0	2	1	3	1	2	0	3	0	0	0	1	1	1	0	5.0	1	5	I went to the beach and saw dolphins playing in the waves	0
14	1	0	2	1	0	4	1	3	0	2	0	0	0	1	2	1	0	3.0	1	8	The sun rose slowly in the sky, its rays warming the landscape. 	0
8	0	0	1	1	0	2	0	1	0	2	0	0	1	0	0	1	0	3.0	0	4	" Generate a sentence with multiple coordinating conjunctions. The sentence should connect three phrases or clauses together using ""and,"" ""but,"" and ""or.""   Can you do this? Please respond with a sentence that meets these specifications."	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
10	0	1	1	0	0	2	2	1	0	2	0	0	1	1	2	1	0	2.0	1	5	The cat chased its tail until it got dizzy.	0
8	0	0	1	1	0	1	2	1	0	1	0	1	0	0	1	1	0	2.0	0	4	I have generated this sentence for you: Either he stays or he gets out before it escalates into something much nastier, as he could sense her anger reaching a boiling point. Can I help you with something else?	0
11	1	0	2	1	0	3	1	1	0	2	0	0	0	0	1	0	0	3.0	0	7	The cat sat silently on its mouse-scattered couch.	0
39	2	1	2	4	2	7	4	4	2	5	0	0	5	3	3	2	0	6.0	3	14	Sarah walked towards work with a brisk pace and a determined expression when she suddenly met her best friend John along the way and had to stop for a quick hug, before they went their separate directions. 	1
15	1	0	3	1	1	4	0	3	0	0	0	1	1	0	1	0	0	3.0	0	12	The cat, the mouse, and the trap were all in perfect harmony. 	1
24	0	0	3	2	2	3	1	1	3	3	0	2	2	1	2	1	2	4.0	3	16	With Susan and David, but Mary was unable to attend the party tonight, we will have to reschedule for next week. 	1
39	0	0	4	5	3	12	2	4	0	5	0	0	3	3	2	2	0	7.0	3	14	The company held several virtual events, including training programs and town halls, but it failed to report them to shareholders in a timely fashion, resulting in a loss of trust and credibility for the corporation.	1
30	1	0	3	5	2	5	1	0	6	2	2	1	1	1	1	1	1	6.0	2	17	"According to statistics, either Alicia Keys or Beyonce was able to sell 40,000 copies of her song "" Empire state Of Mind"" in only two days after release"	1
13	1	0	1	1	0	3	0	1	0	2	0	1	3	0	1	1	0	3.0	0	5	   The company has expanded to new markets yet faces significant regulatory challenges.	1
17	2	0	2	2	1	4	1	3	0	2	0	0	0	0	2	0	0	3.0	0	9	  The cat purred contentedly on my lap, but the dog barked fiercely at the mailman.	1
18	2	2	1	1	2	3	1	2	0	3	0	0	1	1	2	1	0	4.0	1	10	   The manager requested that we walk through the new procedures carefully and quickly but without sacrificing accuracy. 	1
19	2	0	2	2	1	2	3	1	0	4	0	0	1	2	1	2	0	4.0	2	7	The cat purrs contentedly and curls up in my lap, softly nudging me to pet her harder. 	1
19	0	0	1	2	2	5	1	3	0	3	0	0	1	1	1	2	0	5.0	1	5	She bought eggs and cheese and drove to the park to enjoy a peaceful picnic under the shade. 	1
25	2	0	5	2	1	6	2	2	0	3	0	0	2	0	1	3	0	4.0	0	13	" ""The manager carefully evaluated the project plans, discussing them thoroughly with her team, and making several important suggestions for improvement."""	1
11	0	1	1	0	1	2	2	1	0	3	0	0	0	1	2	1	0	3.0	1	5	  The birds chirped and sang as they built their nest.	1
10	1	0	1	1	0	2	0	2	0	1	0	1	0	0	0	0	0	3.0	0	4	Okay, here is the sentence with a coordinating conjunction	1
17	0	1	1	1	2	4	2	0	4	2	0	0	0	1	2	1	0	4.0	1	9	Sarah and Tom studied for their mathematics test while Jack and Lucy prepared their project presentation.	1
29	1	0	6	2	1	6	2	5	1	4	0	1	0	2	3	2	0	7.0	2	6	"The coordinating conjunction in the sentence is _and_, connecting the clauses ""she walked slowly"" and ""she felt the warmth of the summer sun."""	1
11	2	0	2	0	1	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	6	The cat purred softly, but the dog barked loudly.	1
36	0	1	1	5	1	9	2	6	2	4	0	0	4	3	2	1	0	5.0	3	22	Freddie and his friends enjoyed the live music performed by the local band under the big tent at the beach party last Saturday night because they wanted to dance to the rhythm of the drums. 	1
12	1	0	2	0	0	2	0	2	0	3	0	1	0	2	0	1	0	5.0	2	3	Okay, here is the sentence generated using a coordinating conjunction:  My older sister and I will pick you up from the airport before our little brother eats all the ice cream we bought. 	1
31	2	1	3	3	3	5	6	1	0	6	0	0	0	2	3	4	0	5.0	2	17	She ate breakfast with her family and packed sandwiches for later, but before they left, she remembered her homework and rushed back to the house to retrieve it. 	1
