n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
10	0	2	1	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	0	0	0	1	The sun slowly rises on the horizon at dawn.	0
10	1	1	0	0	0	2	3	0	0	0	2	0	1	2.0	3	0	0	1	1	0	1	1	Over the hill, clouds form an eerie pattern.	0
15	0	2	0	0	0	4	5	0	0	0	3	0	1	4.0	4	1	1	0	1	0	1	0	Over the mountain, the wind howls, leaving no trace in the snow.	0
10	2	1	0	0	1	1	2	0	0	0	2	0	1	3.0	3	0	0	1	0	0	0	1	Over the hill, trees stood tall and proud.	0
14	1	2	0	0	0	2	4	0	1	0	2	0	2	3.0	9	1	1	1	1	0	1	1	Fog clings to the cool water of the lake, obscuring its reflection.	0
11	0	1	0	0	0	0	3	0	1	0	3	0	3	3.0	4	1	1	1	1	0	1	1	Through rain-soaked streets, I saw children playing.	0
11	1	1	0	1	0	2	2	0	1	0	1	0	2	2.0	3	0	0	1	1	0	1	1	Through a thick forest I could see the glittering lake.	0
10	1	2	0	0	0	2	2	0	1	0	1	0	1	3.0	4	0	0	1	0	0	0	1	A clear path through the garden lay before them.	0
14	0	1	2	0	1	1	3	0	0	0	3	0	3	2.0	5	0	0	2	0	0	0	2	Beneath the towering redwoods, streams flow peacefully, and birds sing harmoniously.	0
14	0	2	0	0	0	0	5	4	0	1	1	0	1	3.0	11	0	0	0	0	0	0	0	Bake in oven thirty minutes apple pie at three hundred fifty degrees Fahrenheit.	0
7	0	1	0	0	0	0	3	0	0	0	1	0	2	2.0	2	0	0	1	0	0	0	1	Baked cookies aroma wafted through room.	0
5	0	0	0	0	1	0	2	0	0	0	1	0	1	3.0	2	0	0	0	1	0	1	0	Raining cats and dogs.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The leaves dance in the gentle breeze.	0
11	0	1	1	0	0	1	2	0	2	0	2	0	2	2.0	4	1	0	1	0	1	0	1	Following your instructions carefully, I proceed with the task.	0
8	0	1	0	0	0	1	2	0	1	0	2	0	1	2.0	3	0	0	1	1	0	1	1	After lunch, I saw a movie.	0
9	1	1	0	0	0	1	3	0	0	0	1	0	1	3.0	6	0	0	1	0	0	0	1	Ripples danced upon the lake's reflective surface.	0
12	3	1	1	0	0	2	2	0	0	0	2	0	1	2.0	10	0	0	0	1	0	1	0	Ran the red car quickly down the long, empty street.	0
16	1	2	0	0	0	3	4	0	0	0	3	0	3	3.0	4	1	1	1	1	0	1	1	Over the rolling hills, the sunlight filters in gold, creating a breathtaking landscape.	0
13	0	2	0	0	1	2	5	0	0	0	2	0	1	3.0	6	0	0	1	1	0	1	1	Under the arches of rain, the crystal drops shimmer and dance.	0
10	0	1	1	0	0	2	2	0	0	0	2	0	2	3.0	7	0	0	1	0	0	0	1	Ran down the hill, the leaves scattered around.	0
14	1	1	0	0	1	3	4	0	0	0	1	1	2	4.0	7	1	1	2	1	0	1	2	The sun sinks towards the horizon as the sky turns orange and pink.	0
11	0	2	0	0	0	2	3	0	0	0	2	0	2	3.0	6	2	1	0	0	1	0	0	Swinging from the chandelier, the room filled with laughter.	0
13	0	2	0	0	0	2	6	0	0	0	2	0	1	3.0	7	0	0	1	0	0	0	1	Rain patters on the roof, tree limbs wave in the wind.	0
11	1	2	0	0	0	2	3	0	1	0	1	0	1	3.0	4	0	0	0	2	0	2	0	Through the forest streams me a small brook at sunset.	0
10	0	2	0	0	0	2	3	0	0	0	2	0	1	3.0	6	0	0	1	0	0	0	1	Among the trees, a family of monkeys played.	0
9	0	0	1	0	1	0	3	0	0	0	2	0	2	4.0	6	1	0	1	1	1	1	1	Raining cats and dogs, umbrellas open widely.	0
16	2	2	0	0	0	2	4	0	0	0	3	0	3	4.0	7	2	1	1	1	1	1	1	Through the arched entrance, colorful lanterns suspended from trees flickered, lighting the path.	0
9	0	1	1	0	0	1	2	0	0	0	2	0	2	2.0	5	1	0	1	0	1	0	1	Raining heavily, the windowpanes gleam with droplets.	0
9	0	1	0	1	0	2	2	0	0	0	2	0	1	2.0	5	0	0	1	0	0	0	1	Over the hill, the sun was setting.	0
9	1	2	0	0	0	0	2	0	1	0	2	0	1	4.0	4	0	0	0	0	0	0	0	Basking in sunlight, colors vibrant around me.	0
12	2	1	0	1	0	2	2	0	1	0	1	1	1	2.0	10	1	1	1	1	0	1	1	Bake a cake in the oven until it's golden brown.	0
9	0	2	1	0	0	1	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	0	1	Rivers gently flow around pebbles on the riverbed.	0
8	0	1	1	0	0	0	2	0	0	0	2	0	2	4.0	3	1	1	0	1	0	1	0	Raining heavily, windows streaming with water.	0
10	2	1	0	0	0	2	2	0	0	0	2	0	1	2.0	5	0	0	1	0	0	0	1	Through the dense forest, a faint light flickered.	0
11	0	2	1	0	0	1	2	0	1	0	2	0	2	3.0	5	1	1	1	0	0	0	1	Rain falls on the roof, pinging loudly against it.	0
14	0	2	0	0	0	2	4	0	1	0	2	0	3	4.0	8	2	1	1	2	1	2	1	Bouncing a ball in the park, I see children playing with joy.	0
7	1	1	1	0	0	0	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	Rain drops gently on colorful umbrellas.	0
9	0	0	2	0	0	1	2	0	0	0	2	0	2	3.0	4	1	1	1	1	0	1	1	Rain pours down heavily, soaking the earth.	0
7	0	1	1	0	0	1	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	Snowflakes drift silently to the ground.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	A sudden hush fell over the crowd.	0
16	1	3	0	0	0	2	3	0	2	0	3	0	2	4.0	8	1	0	2	1	1	1	2	Amidst the chaos, their laughter ringing out, they found joy in the unexpected.	0
