n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
5	0	0	0	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	The dog is barking.	0
13	0	2	0	0	0	3	4	0	0	0	2	0	2	3.0	5	1	1	1	0	0	0	1	The cat jumps onto the fence, basking in the afternoon sun.	0
13	1	1	0	0	0	3	3	1	0	0	2	0	2	4.0	4	1	1	1	2	0	2	1	The clock strikes twelve, heralding the dawn of a new day.	0
6	0	0	1	0	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	The sun shines brightly today.	0
8	0	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	1	0	1	1	The wind whispers secrets into the trees.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat sleeps soundly.	0
8	0	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	1	0	1	1	The wind whispers secrets through the leaves.	0
5	0	0	0	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	The cat is sleeping.	0
8	0	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	A dog walks along a park path.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The flower blooms beautifully in the sun.	0
10	0	1	1	0	0	2	2	0	0	0	3	0	1	2.0	4	0	0	1	0	0	0	1	"""The dog barks loudly at the mailman."""	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The wind blew gently through the trees.	0
4	0	0	0	0	0	1	2	0	0	0	1	0	0	1.0	2	0	0	0	0	0	0	0	The cat naps.	0
13	1	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	0	1	The pen danced across the parchment, leaving behind a perfect spiral.	0
11	1	1	0	1	0	2	2	0	1	0	3	0	0	2.0	4	0	0	1	0	0	0	1	"""This is a sentence with no postverbal objects."""	0
9	0	1	0	0	0	2	2	0	0	0	3	0	1	2.0	3	0	0	1	0	0	0	1	"""The cat sits on the mat."""	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sat on the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The wind whistles through the trees.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sat on the mat.	0
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	0	1	The sky is blue.	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	I am eating an apple.	0
10	0	1	0	0	0	2	3	0	0	0	2	0	2	4.0	2	1	1	1	1	0	1	1	The clock chimed, signifying the passage of time.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sits on the mat.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The wind blows.	0
11	0	1	0	0	0	2	4	0	0	0	2	0	2	3.0	4	1	1	1	2	0	2	1	The clock strikes midnight, illuminating the sky with stars.	0
13	1	1	1	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	1	0	1	1	The wind blew gently, leaving the leaves on the trees undisturbed.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat sleeps.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat purrs happily.	0
5	0	0	0	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	The cat is sleeping.	0
10	1	0	1	0	1	1	1	0	1	0	2	0	2	2.0	5	0	0	2	0	0	0	2	The wind howled ferociously, but I remained unfazed.	0
9	1	2	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The red dog jumps up on the tree.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sat on the mat.	0
5	0	0	0	0	0	1	1	1	0	0	1	0	1	2.0	1	0	0	1	1	0	1	1	The clock strikes twelve.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sits on the mat.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The dog barks.	0
9	0	0	1	0	0	2	2	0	0	0	2	0	2	3.0	3	1	1	1	1	0	1	1	The rain falls gently, soaking the ground.	0
7	0	0	1	0	0	1	1	0	0	0	3	0	1	2.0	1	0	0	1	0	0	0	1	"""The dog sleeps soundly."""	0
5	0	0	0	0	0	1	1	1	0	0	1	0	1	2.0	1	0	0	1	1	0	1	1	The clock strikes eight.	0
11	2	1	0	0	0	2	2	0	0	0	3	0	1	2.0	4	0	0	1	0	0	0	1	"""The blue ball bounces on the red wall."""	0
6	0	0	0	0	0	1	1	0	0	0	3	0	1	2.0	1	0	0	1	0	0	0	1	"""The cat sleeps."""	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat sleeps peacefully.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The dog barks.	0
13	1	1	1	0	0	3	3	0	0	0	2	0	2	3.0	6	1	1	1	1	0	1	1	The wind blew softly through the trees, creating a peaceful atmosphere.	0
5	0	0	0	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	The cat is sleeping.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	A bird flies through the sky.	0
5	0	0	0	0	0	1	2	0	0	0	1	0	1	2.0	1	0	0	1	1	0	1	1	The clock strikes midnight.	0
5	0	0	0	0	0	1	1	1	0	0	1	0	1	2.0	1	0	0	1	1	0	1	1	The clock strikes twelve.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat jumped onto the table.	0
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	0	1	The book was on the table.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The sun shines warmly upon my face.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The student read a book to the child.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
12	0	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	0	1	The cat jumped onto the table, landing on the books.	1
14	0	3	0	0	0	3	4	0	0	0	2	0	2	4.0	5	1	1	1	0	0	0	1	A cat sat on a mat, playing with a ball of yarn.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The student completed the homework.	1
10	1	1	0	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	1	1	The student wrote a paper for the English class.	1
11	0	1	0	0	0	3	3	0	0	0	2	0	2	3.0	4	1	1	1	1	0	1	1	The cat chased the ball, jumping onto the table.	1
9	1	1	0	1	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The book was read by me last night.	1
6	0	0	0	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	I read a book yesterday.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse into the garden.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The dog chased the ball across the park.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat jumped onto the table.	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat ate the fish.	1
12	0	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	0	1	The cat jumped onto the table, landing on the fruit.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the ball into the tunnel.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse to the fence.	1
7	1	0	0	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	1	0	1	1	I read the book last night.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The dog chased the ball across the park.	1
14	0	3	0	0	0	3	4	0	0	0	2	0	2	4.0	5	1	1	1	0	0	0	1	The cat jumped onto the table, landing on a plate of fruit.	1
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	I am reading a book.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The dog chased the ball across the park.	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat ate the fish.	1
12	0	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	0	1	The cat sat on the mat, playing with the ball.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the ball into the box.	1
11	0	2	0	0	0	3	3	0	1	0	1	0	1	4.0	3	0	0	1	1	0	1	1	I painted the portrait of the artist on the canvas.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the ball down the street.	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The dog chased the ball.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The dog chased the ball to the park.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	1
10	0	1	0	0	0	3	3	0	0	0	2	0	1	2.0	6	0	0	1	1	0	1	1	The cat chased the mouse, into the tunnel.	1
10	0	1	0	0	0	2	2	0	1	0	2	0	2	2.0	5	1	1	1	1	0	1	1	The cat sat on the mat, grooming itself.	1
13	0	1	0	0	1	3	3	0	1	0	2	0	2	3.0	6	0	0	2	1	0	1	2	The dog chased the ball, and it landed in the park.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the ball across the park.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse down the alley.	1
7	0	0	0	1	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The dog is chasing the ball.	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat chased the ball.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The dog chased the ball across the park.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse into the house.	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat chased the ball.	1
9	0	1	0	0	0	2	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The student wrote a letter to their parents.	1
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	  The cat is sitting on the mat.	1
16	0	3	0	0	0	4	5	0	0	0	2	0	2	4.0	7	1	1	1	1	0	1	1	The cat jumped onto the table, depositing a bowl of water on the floor.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the ball across the park.	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The dog chased the ball.	1
11	1	0	0	0	1	3	4	0	0	0	1	0	1	3.0	7	0	0	1	1	0	1	1	The student read the textbook and a novel last week.	2
11	0	1	0	0	1	3	4	0	0	0	1	0	1	3.0	7	0	0	1	1	0	1	1	The student handed the textbook and paper to the teacher.	2
14	2	1	0	0	1	4	4	0	0	0	1	0	1	4.0	4	0	0	1	1	0	1	1	The chef prepared a delicious pasta and a fluffy cake for the family.	2
17	2	2	0	0	1	3	4	0	2	0	1	0	2	3.0	7	0	0	1	2	0	2	1	The young girl gave the book to her friend and bought a new one for herself.	2
11	0	0	0	0	1	3	3	0	1	0	1	0	2	3.0	6	0	0	2	2	0	2	2	The student submitted the assignment and the professor reviewed it.	2
9	0	0	0	0	1	3	3	0	0	0	1	0	1	3.0	3	0	0	1	1	0	1	1	The cat chased the ball and the mouse.	2
12	0	1	0	0	1	4	4	0	0	0	1	0	1	3.0	8	0	0	1	1	0	1	1	The student delivered the homework and the textbook to the teacher.	2
12	0	1	0	0	1	4	4	0	0	0	1	0	1	3.0	8	0	0	1	1	0	1	1	The farmer delivered the wheat and the fruit to the market.	2
12	1	1	0	0	1	3	4	0	0	0	1	0	1	3.0	6	0	0	1	1	0	1	1	The painter painted the portrait and the canvas with vibrant colors.	2
12	0	1	0	0	1	4	4	0	0	0	1	0	1	3.0	8	0	0	1	1	0	1	1	The cat chased the ball and the rope towards the tree.	2
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased the mouse up the tree.	2
14	0	1	0	0	1	4	6	0	0	0	1	0	1	3.0	10	0	0	1	1	0	1	1	The scientist gave the experiment report and the lab equipment to the professor.	2
15	0	2	0	0	1	4	6	0	0	0	1	0	1	4.0	5	0	0	1	2	0	2	1	The chef served the guests a plate of pasta and a glass of water.	2
13	0	1	0	0	1	4	4	0	0	0	1	0	2	3.0	5	0	0	1	2	0	2	1	The gardener watered the flowers and carried the plants to the greenhouse.	2
13	1	1	0	0	1	4	4	0	0	0	1	0	1	3.0	9	0	0	1	1	0	1	1	The gardener watered the flowers and the roses at the same time.	2
13	0	1	0	0	1	4	4	0	0	0	2	0	1	3.0	9	0	0	1	1	0	1	1	The cat chased the mouse and the ball, across the park.	2
21	0	2	0	1	1	4	4	0	0	0	5	0	3	4.0	5	2	1	3	0	1	0	3	"Sure, the sentence generated is: ""The cat jumped over the fence and landed on the mat."""	2
19	1	2	0	0	1	5	6	0	0	0	2	0	2	3.0	8	1	1	1	1	0	1	1	The dog barked at the bone and the tree, eliciting a barking response from the other dogs.	2
12	0	1	0	0	1	4	4	0	0	0	1	0	1	3.0	8	0	0	1	1	0	1	1	The student presented the textbook and the homework to the teacher.	2
16	0	3	0	0	1	4	4	0	0	0	2	0	2	3.0	9	1	1	1	0	0	0	1	The cat jumped onto the table and onto the countertop, landing on the fruit.	2
9	0	0	0	0	1	3	3	0	0	0	1	0	1	3.0	3	0	0	1	1	0	1	1	The cat chased the ball and the string.	2
12	0	1	0	0	1	4	4	0	0	0	1	0	1	3.0	8	0	0	1	1	0	1	1	The cat chased the ball and the string to the park.	2
