n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	 The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	 The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
23	1	3	1	1	1	4	6	0	2	0	3	0	1	4.0	8	0	0	2	1	0	"""The paper taste of the wafer was still in my mouth and I took a deep breath of the leather."""	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	 The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
21	1	3	1	1	1	4	6	0	2	0	1	0	1	4.0	8	0	0	2	1	0	The paper taste of the wafer was still in my mouth and I took a deep breath of the leather.	0
17	1	3	1	1	0	2	4	0	1	0	2	0	2	4.0	7	1	1	1	0	0	**The park was filled with people despite the noisy construction work occurring adjacent to it.**	1
23	2	3	1	2	0	3	8	0	0	0	2	1	1	3.0	12	1	0	2	0	1	While the streets are congested during peak traffic hours, the sky is often a vibrant shade of azure on sunny days.	1
13	0	1	1	1	0	1	3	0	1	0	2	1	2	2.0	4	1	0	2	0	1	Although rain was forecasted, the sun shone brightly on our picnic.	1
17	2	2	0	0	0	4	4	0	1	0	2	0	2	4.0	5	1	1	1	1	0	The wind whipped through the trees, making it an invigorating stroll on a sunny afternoon.	1
17	4	1	1	2	1	2	4	0	0	0	2	0	0	3.0	11	0	0	2	0	0	The weather is typically sunny on most sunny days, and the skies are azure blue.	1
27	3	2	1	0	0	6	6	0	0	0	4	1	4	3.0	8	3	1	2	2	2	A warm breeze blowing, while the sun shone brightly, cast a glow upon the vibrant flowerbeds, creating a peaceful atmosphere in the park.	1
17	3	1	2	2	1	3	3	0	0	0	2	0	0	3.0	7	0	0	2	0	0	In the summer, the skies are often azure blue and the traffic is much heavier.	1
17	4	1	2	2	1	2	3	0	0	0	2	0	0	3.0	11	0	0	2	0	0	The weather is typically sunny on most days, and the skies are usually azure blue.	1
21	4	2	1	3	1	1	6	0	0	0	2	1	0	3.0	12	1	1	2	0	0	The sky is typically clear and azure blue on sunny days, although traffic can be heavy during peak hours.	1
20	3	3	1	0	0	3	7	0	1	0	1	0	1	3.0	9	0	0	1	1	0	The vibrant sky display with its azure tint often paints a captivating canvas across the landscape during sunny days.	1
24	5	2	0	3	0	3	8	0	0	0	2	1	0	3.0	15	1	1	2	0	0	The skies are azure blue on most sunny days, whilst peak traffic hour can be a bit smoggy on the main roads.	1
16	0	2	0	1	1	2	5	0	0	0	2	0	3	6.0	5	2	2	1	1	0	In the summertime, the park is filled with children playing games and people picnicking.	1
20	4	2	1	2	1	2	5	0	0	0	2	1	0	3.0	9	1	0	2	0	1	Although the traffic is heavy during peak hours, the skies are generally clear and vibrant on sunny days.	1
16	1	3	2	0	0	3	4	0	0	0	2	0	1	3.0	9	0	0	1	0	0	The wind blows strongly on the beach, especially during the evenings with high tide.	1
18	2	2	0	2	1	3	4	0	0	0	2	0	2	4.0	7	0	0	2	0	0	The garden shed is painted blue, and the flowers are withered due to the hot weather.	1
23	2	3	1	2	2	2	8	0	0	0	2	0	1	3.0	13	0	0	2	0	0	The streets are filled with people during peak traffic hour, yet the skies are often clear and azure on sunny days.	1
20	0	3	2	0	0	5	5	0	0	0	2	1	2	3.0	12	1	1	2	0	0	The rain fell softly on the petals of the flowers, whilst the wind blew gently through the trees.	1
14	1	2	1	0	0	2	4	0	0	0	2	0	2	4.0	6	1	1	1	1	0	The wind blew violently during the hurricane, causing widespread damage to property.	1
31	5	4	2	1	2	4	7	0	2	0	2	0	2	5.0	15	1	1	3	0	0	 The park is serene and peaceful when the sun shines down on its lush grass, yet it becomes lively with the scent of blooming flowers during the warmer months.	1
20	2	1	0	1	1	3	4	0	1	0	2	1	4	5.0	12	2	2	1	1	0	The park is filled with people playing and enjoying the warm weather, although there is a noticeable breeze.	1
