n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
14	0	0	1	2	0	4	1	2	2	1	0	1	0	0	1	1	0	4.0	0	10	You have received an invitation for the NYMEX candidate cocktail hour on Tuesday.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The package arrived before the deadline.	0
7	0	0	1	0	0	1	0	0	2	0	0	1	1	0	1	0	0	3.0	0	3	John's birthday is next Monday.	0
9	1	0	1	1	0	2	0	2	1	1	0	0	0	0	1	1	0	2.0	0	4	The committee unanimously selected John as the winner.	0
4	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1.0	0	2	It is Thursday.	0
14	1	0	1	3	0	3	1	1	1	1	1	1	0	0	1	0	0	2.0	0	10	You will interview at exactly 2pm on Friday for the HR position.	0
9	0	1	1	0	0	2	0	2	0	3	0	0	0	2	2	0	0	3.0	2	4	The flowers wilt after the sun has sets.	0
10	0	0	1	2	0	1	1	2	0	0	1	2	0	0	1	0	0	2.0	0	5	I will be at the office by 9 a.	0
9	1	0	1	0	0	2	2	0	0	1	0	1	1	0	1	1	0	2.0	0	5	You'll find our latest product specifications here.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	0
11	0	0	1	1	0	3	1	1	2	1	0	1	0	0	1	1	0	3.0	0	7	I will attend the NYMEX candidate cocktail hour on Tuesday.	0
9	0	0	1	1	0	3	0	1	1	1	0	0	1	0	1	1	0	2.0	0	4	The new CEO took charge on March 1st.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The students passed the exam.	0
9	0	0	1	0	1	1	1	1	0	1	0	1	2	0	1	1	0	4.0	0	5	You can select a red or blue team.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	 The car travels at a steady speed.	0
6	0	0	1	1	0	1	1	0	0	2	0	0	0	1	0	1	0	3.0	1	2	Let's meet for lunch.	0
7	0	0	1	1	0	2	0	0	0	1	0	0	2	0	1	0	0	3.0	0	2	Several pizzas lay ready for eating.	0
9	1	0	1	1	0	2	1	2	0	1	0	0	0	0	1	0	0	3.0	0	6	We arrived at the hotel an hour ago.	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	The red apple is on the table.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
14	0	0	1	3	0	3	1	2	2	0	0	2	0	0	1	0	0	2.0	0	6	I'll be at the cocktail hour on Tuesday for the NYMEX candidates.	0
11	0	0	1	1	1	3	2	1	0	1	0	1	0	0	1	0	0	3.0	0	5	You and I can meet at the coffee shop tomorrow.	0
7	0	0	1	0	0	2	1	2	0	1	0	0	0	0	1	2	0	2.0	0	3	The teacher asked us a question.	0
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	You're sending an e-mail.	0
6	0	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	0	2.0	0	2	Your dog barks at squirrels.	0
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1.0	0	1	She bakes pies.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	0	0	3	0	1	0	1	0	0	1	0	1	1	0	2.0	0	3	Several engineers discussed the project plans.	0
10	0	0	1	1	0	2	1	1	1	1	0	1	0	0	1	1	0	3.0	0	6	We will discuss the budget during Monday's meeting.	0
11	0	0	1	2	0	3	0	2	0	1	1	1	0	0	1	0	0	2.0	0	6	The meeting is scheduled for two o'clock in the afternoon.	0
7	0	0	1	1	0	1	2	0	0	1	0	1	0	0	1	1	0	2.0	0	3	He is playing chess against himself.	0
9	0	0	1	1	0	4	2	0	0	1	0	0	0	0	1	1	0	4.0	0	5	I need information about your pet insurance plan.	0
7	0	0	1	1	0	2	1	0	0	1	0	0	1	0	1	1	0	2.0	0	3	Several cakes await us after dinner.	0
6	0	0	1	0	0	2	0	0	0	1	1	0	1	0	1	0	0	2.0	0	2	Two large boxes arrived yesterday.	0
