n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
9	0	0	1	0	1	2	2	1	0	2	0	0	0	0	2	2	0	2.0	0	4	The waiter brought water and I poured it.	0
9	0	0	1	0	0	2	1	1	0	2	0	0	1	1	1	2	0	3.0	1	4	We need more information to complete the task.	0
12	1	1	1	0	0	0	3	0	0	3	0	2	0	2	2	1	0	3.0	2	5	She will not let him enter until he is properly dressed.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat purred into my ear.	0
8	1	0	1	0	0	1	2	1	0	2	0	0	0	1	2	1	0	2.0	1	3	The cat purred when I petted it.	0
12	2	0	1	0	0	2	2	1	0	3	0	0	0	2	1	2	0	3.0	2	4	The dog eagerly wags its tail to see me come home.	0
13	1	0	1	0	1	3	1	2	0	2	0	2	0	0	1	2	0	3.0	0	5	The team has completed its analysis and will provide a report soon.	0
4	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	1.0	1	2	Let's go!	0
11	1	0	1	2	0	2	2	1	0	1	0	0	1	0	2	0	0	3.0	0	8	She walked in with a big smile on her face. 	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The dog runs quickly through the green forest.	0
16	0	1	1	1	0	3	4	1	0	4	0	0	0	3	1	2	0	7.0	3	3	Please let me know if there is something you need help understanding about this lesson.	0
16	2	1	1	1	0	1	3	1	0	3	0	2	0	2	2	1	0	4.0	2	6	I will continue to support you during this process as much as you'd like.	0
8	0	1	1	0	0	0	3	0	0	3	0	0	0	2	1	2	0	3.0	2	3	Let me know if you need anything.	0
11	0	1	1	1	0	1	3	1	0	2	0	1	0	1	1	2	0	3.0	1	7	Let him get the books for you if he can.	0
9	0	0	1	1	0	3	1	1	0	1	0	0	0	0	1	0	0	3.0	0	5	The cat sat on its owner's lap.	0
