n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	1	0	2.0	0	1	The clock struck midnight.	0
5	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	0	2.0	0	2	Baked Alaska recipe requested.	0
26	1	0	4	2	2	5	1	1	3	1	2	2	1	1	1	0	0	4.0	1	12	Five score and seven years ago (Note: this sentence is not original and was used by Abraham Lincoln in his Gettysburg Address).	0
8	0	0	1	1	1	3	0	1	0	0	1	0	0	0	0	0	0	3.0	0	2	A million possibilities for creativity and innovation.	0
5	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1.0	0	3	Seattle Mariners baseball team.	0
12	1	1	1	1	0	2	1	2	0	2	0	0	1	1	2	0	0	3.0	1	4	The sun set slowly as I stared into the infinite void.	0
16	0	0	2	1	0	5	0	0	3	1	3	0	1	0	1	1	0	3.0	0	6	Major league player Manny Ramirez hit home run number 656 on September 7, 2008.	0
5	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	2	Your request is incomplete.	0
8	0	0	1	1	0	3	0	1	0	1	0	0	1	0	1	0	0	3.0	0	4	Exotic bird collection in the tropics thrives.	0
10	0	0	0	1	0	3	2	0	0	2	0	0	0	1	1	1	0	3.0	1	6	I need to bake apples for my grandma ```vbnet This sentence has 0 punctuations.	0
5	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	2	Elevator door unexpectedly closes ___________________________________  Generated responses below might contain errors since the model is not able to check them.	0
7	1	0	1	0	0	4	0	0	0	1	0	0	0	0	0	1	0	4.0	0	4	Frequently asked mathematics problems solution website.	0
7	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	2.0	0	3	You are holding a red apple.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	2.0	0	2	Last train leaves at midnight.	0
7	0	0	1	0	0	2	1	1	0	1	0	0	0	1	0	1	0	3.0	1	2	Your turn to share an example.	0
8	0	0	1	1	0	2	0	0	2	0	0	0	2	0	0	0	0	2.0	0	3	Younger sister of former president George W.	0
5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	1	0	2.0	0	3	Solve the calculus problem.	0
11	0	0	1	1	0	3	0	2	0	2	0	0	1	2	0	1	0	4.0	2	5	Incomplete data provided to generate a sentence in this situation.	0
9	0	0	1	1	0	3	0	0	2	0	0	0	2	0	0	0	0	3.0	0	2	New York City subway map essential for commuters.	0
4	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1.0	0	2	Incredible Edible Broccoli.	0
35	2	1	2	4	1	9	2	5	0	4	1	1	1	2	2	3	0	6.0	2	11	I cannot generate a sentence with zero punctuation, as the given instruction requires me to write only a single sentence without the use of any form of punctuation or stop marks whatsoever.	0
5	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2.0	0	2	Midnight train to Geipsmark.	0
10	1	1	1	0	0	3	2	0	0	1	0	0	1	1	0	1	0	4.0	1	4	Your response here: Sleepless night after receiving your product This is a sentence in zero punctuation, meaning that no marks of punctuation or stop are added to it.	0
10	0	0	2	0	1	3	0	0	0	1	0	0	2	0	1	1	0	3.0	0	3	Incomplete data, please provide specific information or context.	0
3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1.0	0	2	Infinite Loop Error  In mathematics, an infinite loop error refers to a problem in which a computation repeatedly cycles through the same sequence of values, resulting in no output and an error message or infinite execution time.	0
6	0	0	1	0	0	2	1	0	0	0	0	1	1	0	1	0	0	2.0	0	2	Your favorite color is magenta.	0
41	0	1	1	3	0	13	4	4	0	7	0	0	6	4	5	4	0	6.0	4	32	 We welcomed our guests with open arms eager to begin the evening festivities A lively conversation filled the room as guests sampled exquisite delicacies our kitchen Our guests left with smiles full stomachs promises to return for another memorable event.	0
7	0	0	1	1	0	2	0	1	0	2	0	0	0	1	1	0	0	3.0	1	4	Elephant in the room needs addressing.	0
6	0	0	1	1	0	1	0	0	1	0	0	0	2	0	0	0	0	2.0	0	3	Largest Population Among Asian Countrie.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick fox jumps over the lazy dog.	0
37	1	0	7	1	2	8	2	2	7	3	0	1	2	3	1	2	0	7.0	3	15	"Answer: Apple Banana Orange Pear Peach Grape Cherry                  --- I'm an AI Language model, there to help answer your questions, and explore the wondrous world of writing, literature, and creativity! Together we can learn and grow! --- Always remember to be kind and respectful to each other, and let the power of words uplift us and enrich our lives! 😊 Have a magical day!! ✨🌠 #LanguageLearning #writingCommunity 💖 #creativityUnleashed🎩 #AIPhilosopher #AIHelper🌱 #AIChatbot #AIChat #NLP --- ""A word is not a crystal, transparent and unchanging, it is the skin of living thought."	0
7	0	0	0	1	0	4	0	1	0	0	0	0	1	0	0	0	0	2.0	0	5	Newborn baby in a pink blanket sleep   This is a sentence with 0 punctuations (no commas, no periods).	0
9	0	0	1	1	0	5	0	1	0	0	0	0	1	0	0	0	0	2.0	0	4	Skyscraper construction technology advancements during the 20th century.	0
12	0	0	2	1	0	3	1	2	0	1	0	1	1	0	1	0	0	3.0	0	8	Your first time on a cruise, any information is appreciated.	0
7	0	0	1	1	0	3	0	0	0	1	0	0	1	0	0	1	0	3.0	0	4	Seeking advice on first cruise experience.	0
8	1	0	1	0	0	1	3	0	0	2	0	0	0	1	2	1	0	2.0	1	3	Your dog barks when it sees me.	0
6	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	0	2.0	0	2	Famous American inventor Thomas Edison.	0
9	0	0	2	0	0	2	0	2	0	1	0	0	2	0	0	1	0	3.0	0	4	Explore a new city, every corner uncharted.	0
5	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	2.0	0	1	Tall buildings surround me.	0
8	0	0	1	1	0	2	1	0	1	1	0	0	1	0	1	0	0	2.0	0	3	Your friendly neighborhood Spiderman swings into action.	0
13	0	0	3	1	0	3	0	2	0	1	0	0	3	0	1	0	0	2.0	0	6	A long, winding river cuts through the lush, green landscape.	0
7	0	0	2	1	0	0	0	0	3	0	0	0	1	0	0	0	0	2.0	0	2	Largest City in Italy, Rome.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	3	Large crowd gathered for the parade.	0
5	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	2.0	0	2	Famous poet Elizabeth Barrett Browning  This task is becoming tedious.	0
12	0	0	2	0	0	4	1	0	0	3	0	1	1	1	2	3	0	3.0	1	7	Your query has multiple keywords, providing information may require context.	0
8	0	0	0	0	0	2	1	0	0	1	0	0	1	0	1	1	0	3.0	0	3	Your dog's tail wags non-stop ## For a variety of prompts related to machine learning, please check [MachineHiring's Machine Learning prompts repository](https://github.	0
9	0	0	1	1	0	5	0	0	0	0	1	0	1	0	0	0	0	2.0	0	3	Incomplete fuel gauge reading at tank number three.	0
5	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	I'm running late.	0
6	0	0	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	1.0	0	4	Saturday is the market day.	0
15	0	0	1	2	1	7	0	0	0	1	0	0	3	1	0	1	0	4.0	1	8	Fifth concert in series at grand opera house tonight starring renowned tenor and soprano.	0
10	0	0	1	1	0	3	3	0	0	1	0	1	0	0	1	1	0	2.0	0	6	You may use my office during your lunch break.	1
10	0	0	1	1	0	2	1	1	1	1	1	0	1	0	1	1	0	2.0	0	7	She baked five different pies for the Thanksgiving feast.	1
9	0	0	1	2	0	1	2	0	1	1	0	0	1	0	0	1	0	3.0	0	5	Ask me about my upcoming trip to Italy.	1
11	1	0	1	1	1	4	0	2	0	1	0	0	0	0	1	1	0	3.0	0	5	The chef seasoned the shrimp perfectly with herbs and spices.	1
9	0	0	1	1	0	2	0	2	0	1	0	1	1	0	1	0	0	2.0	0	4	The sun was setting on the calm lake.	1
14	0	0	1	2	0	3	0	3	0	1	0	1	2	1	1	0	0	4.0	1	4	The child was scared to go near the deep end of the pool.	1
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The balloon suddenly deflated.	1
11	0	1	2	0	0	1	1	1	0	2	0	1	0	1	1	1	0	2.0	1	8	Please pass the salt, if you wouldn't mind.	1
12	0	0	1	0	0	1	3	1	0	2	0	2	1	2	2	1	0	3.0	2	4	You're the last person I would expect to do that.	1
16	0	0	2	1	1	4	2	1	0	1	1	2	1	0	1	0	0	2.0	0	7	Your response should be a completed sentence with one punctuation mark, and nothing else.	1
6	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	3	Your observations are most intriguing.	1
10	0	0	1	1	1	3	0	1	0	2	0	0	1	0	1	0	0	3.0	0	3	The recipe calls for sliced lemons and fresh thyme.	1
10	0	0	1	1	0	3	1	1	0	1	1	0	1	0	1	1	0	2.0	0	5	A successful entrepreneur starts his day at 5 am.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	2	The moon rises each night.	1
6	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	2.0	0	3	Your feedback is highly valued.	1
11	1	0	3	0	0	2	2	0	0	1	0	1	0	0	1	0	0	3.0	0	8	Your turn, my opponent, is soon to come.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	3.0	0	4	The cat in the corner meowed.	1
5	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	2.0	0	3	Have a wonderful day!.	1
10	0	0	1	0	0	2	1	2	0	1	0	1	1	1	1	1	0	3.0	1	5	You're not the only one feeling that way.	1
9	1	0	2	0	0	2	0	2	0	2	0	0	0	1	1	1	0	3.0	1	3	The dog barked incessantly, disturbing the neighbors.	1
6	0	0	1	0	0	3	0	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The children love water balloons.	1
12	0	0	2	1	0	4	1	0	0	2	0	0	1	1	1	1	0	3.0	1	4	My great-grandfather used to make apple butter from scratch.	1
9	0	0	1	1	0	3	1	1	0	2	0	0	0	1	1	1	0	3.0	1	4	My cat loves chasing butterflies in the garden.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The child slept peacefully throughout the night.	1
9	0	0	1	0	0	2	1	0	0	2	0	0	2	1	0	1	0	3.0	1	3	There are many different ways to cook pasta.	1
10	0	0	1	1	0	2	2	1	0	2	0	1	0	1	1	1	0	3.0	1	3	We've made some improvements based on your feedback.	1
12	0	1	1	1	0	3	1	2	0	1	0	1	1	1	2	0	0	3.0	1	6	My nephew insists that this cereal is the best in town.	1
9	0	0	1	1	0	2	1	2	0	0	0	1	1	0	1	0	0	2.0	0	4	You are the 12th man on this team.	1
7	1	0	1	0	0	1	1	0	0	1	0	2	0	0	1	0	0	2.0	0	3	Your input will be reviewed shortly.	1
6	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The package is expected tomorrow.	1
10	0	0	1	1	0	2	1	2	0	0	0	1	1	0	1	0	0	2.0	0	5	I am not the best speaker in the room.	1
5	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	2	Your prompt is unclear.	1
11	0	0	2	0	0	2	2	1	0	0	0	2	1	0	1	0	0	2.0	0	4	It's a beautiful day today, isn't it?.	1
11	0	0	1	2	0	3	2	1	0	1	0	0	1	0	1	1	0	3.0	0	4	Your opinion on the matter holds great weight with me.	1
7	0	0	1	0	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	Can you bring a folding chair?   Answer: You are correct.	1
7	0	0	1	1	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The library is quiet after hours.	1
10	0	0	1	1	0	2	1	2	0	0	0	2	1	0	1	0	0	2.0	0	5	She had been a talented pianist before the accident.	1
14	0	0	1	2	1	5	1	2	0	1	0	0	0	0	0	1	0	3.0	0	11	Please keep your arms and legs inside the roller coaster at all times.	1
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	0	1	0	2.0	0	5	Inspect the circuit thoroughly before proceeding.	1
9	0	0	2	0	0	1	1	1	0	2	0	1	1	0	1	1	0	3.0	0	5	You may use a soft-bristled toothbrush.	1
12	1	0	2	2	0	2	0	2	0	1	1	0	1	0	0	1	0	3.0	0	6	In the event of a sudden emergency, call 911 immediately.	1
10	0	0	1	1	0	3	1	2	0	1	0	0	1	0	0	0	0	3.0	0	4	There's a large puddle on the kitchen floor.	1
