n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
12	0	0	1	1	0	1	1	0	2	0	1	1	3	4.0	5	2	2	1	1	0	1	1	What are you looking to achieve by now contacting these people? 	0
14	1	0	0	1	0	2	2	0	2	0	1	0	3	5.0	4	2	2	2	2	0	2	2	I want to meet a person who has not had a romantic relationship. 	0
13	1	1	0	1	0	3	3	0	0	2	0	0	1	3.0	4	0	0	1	1	0	1	1	Brad Pitt's latest production is causing quite the buzz in the industry	0
10	0	0	0	2	0	2	2	0	0	2	1	0	1	2.0	5	0	0	1	1	0	1	1	Maria will be teaching a dance class this Friday.	0
17	2	1	1	2	0	0	1	0	2	2	1	1	3	5.0	9	2	2	2	2	0	2	2	Alicia will have to find someone new to date because Johnny is already seeing someone else.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred loudly on my lap.	0
22	2	3	1	1	0	1	5	0	2	1	1	1	3	6.0	10	2	2	1	2	0	2	1	You can learn how to speak German with fun courses in your local area by utilizing the search function on Duolingo.	0
17	1	2	1	3	0	0	2	0	3	0	2	1	1	3.0	13	2	2	3	0	0	0	3	You can hear from people you're interested in, even if you're not friends. 	0
10	0	1	0	0	0	0	1	1	0	4	1	0	1	3.0	4	0	0	1	1	0	1	1	Hitler's forces occupied Paris during World War II.	0
13	0	2	1	2	0	1	2	0	0	1	1	0	2	3.0	5	1	1	1	0	0	0	1	Mario must have driven quickly to arrive at the station on time.	0
19	1	2	3	1	0	0	3	0	4	1	1	1	2	3.0	10	1	1	2	2	0	2	2	Now you can hear music from your favorite artists even if they never released their songs on Spotify.	0
12	0	0	2	0	0	2	3	0	1	0	1	0	3	4.0	4	2	2	2	1	0	1	2	The car started moving quickly when I pressed the gas pedal.	0
17	1	1	0	2	0	2	5	0	0	0	1	1	3	4.0	6	2	2	2	2	0	2	2	The company will have to take action if the employee is using worktime for personal errands. (Note: I'll be providing a response for every output you provide, so please continue.)	0
12	1	1	2	0	0	1	3	0	1	0	0	0	2	4.0	5	1	1	1	1	0	1	1	The algorithm now learns from its environment to produce more effective solution	0
15	0	1	1	2	0	0	2	0	4	0	2	1	1	3.0	9	1	1	2	2	0	2	2	They are sending you messages, even if you are not friends with them.	0
11	1	3	0	1	0	0	2	0	1	1	1	0	1	3.0	5	0	0	1	0	0	0	1	You can travel with ease via public transportation in Tokyo.	0
17	2	1	1	1	0	2	4	0	2	0	0	1	2	4.0	11	1	1	1	2	0	2	1	You can now get the latest scoop on your crush's favorite band without lifting a finger	0
10	1	0	0	1	0	2	1	0	0	2	1	0	1	3.0	4	1	1	1	1	0	1	1	Liu Bolin was the last to board the plane. 	0
9	1	0	0	1	0	1	3	0	0	1	1	0	1	2.0	4	0	0	1	1	0	1	1	Britney spears is starting a new world tour.	0
8	0	1	0	0	0	1	2	0	0	2	1	0	1	2.0	4	0	0	1	0	0	0	1	Ice cream sails to Venus every Tuesday.	0
10	2	1	0	1	0	2	3	0	0	0	1	0	0	2.0	4	0	0	1	0	0	0	1	The new product was a big hit among fashionistas.	0
12	0	0	0	2	0	1	3	0	0	0	1	1	2	3.0	8	1	1	2	1	0	1	2	Money doesn't buy happiness, though some people wouldn't know	0
17	0	0	2	1	0	1	1	0	4	0	2	1	4	4.0	10	3	3	3	2	0	2	3	Now you can see what you want to buy online, before you leave the house.	0
14	1	2	2	2	0	0	2	0	2	0	1	0	1	4.0	5	1	1	2	0	0	0	2	You can know about people you are interested in even when not friend.	0
22	0	3	2	2	1	0	5	0	4	0	2	0	2	4.0	8	0	0	2	1	0	1	2	His wife had been expecting him home for dinner, but he stopped for dinner at his mistress's house instead. 	0
15	0	1	1	1	0	3	3	0	0	0	1	1	3	4.0	5	2	2	1	1	0	1	1	The company is looking forward to working with a partner to address these issues.	0
16	2	1	1	1	0	1	3	0	0	2	1	0	3	4.0	6	2	2	1	3	0	3	1	Nigeria should take advantage of the ongoing economic crisis affecting China now to attract investors.	0
10	1	1	0	1	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The elephants could not fit inside the small tent.	0
