n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	2.0	0	4	Dance under the twinkling stars.	0
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	Two friends talking in the park.	0
13	0	0	2	2	0	3	0	0	0	2	1	0	3	0	1	0	1	4.0	1	5	Two friends hiking through dense forest stopped by crystal-clear stream.	0
9	0	0	1	1	1	4	1	0	0	1	0	0	0	0	1	1	0	3.0	0	4	 Animals make their homes in burrows and caves.	0
11	0	0	1	2	0	2	0	2	0	2	1	0	1	0	1	0	1	4.0	1	5	Two boys cycling through the park smile at each other.	0
6	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The cat is purring softly.	0
7	0	0	1	1	0	1	0	1	0	1	0	0	2	0	0	0	0	2.0	0	5	Run through the lush green countryside.	0
12	1	0	3	2	1	1	0	0	1	3	0	0	0	0	1	0	0	3.0	0	6	John laughed, breathed heavily, and cried out in pain.	0
5	0	0	1	0	0	1	0	1	0	2	0	0	0	1	0	1	0	2.0	1	3	Move the ball left.	0
8	0	0	1	1	0	3	0	1	0	1	1	0	0	1	0	1	0	3.0	1	4	Two friends playing soccer in the park.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
9	2	0	1	0	0	3	1	0	0	2	0	0	0	1	2	1	0	3.0	1	4	 People talk loudly when they watch football games.	0
7	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	3.0	1	5	Swimming in the pool is enjoyable.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Action speaks louder than words.	0
5	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	2.0	0	2	Happy birthday to you.	0
11	2	0	2	2	0	3	0	0	0	2	0	0	0	0	1	0	0	4.0	0	5	Happiness radiates outward in circles of ever-widening influence.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The wind whistles through the leaves.	0
4	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1.0	0	1	Verbs form connections.	0
6	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	2.0	0	3	People hug each other affectionately.	0
4	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1.0	0	1	Actions express emotions.	0
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	Two friends laughing in the park.	0
8	0	0	1	1	0	3	0	1	0	0	1	0	1	0	1	0	0	2.0	0	4	Two friends meeting after a long time.	0
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	Two friends meet under the tree.	0
8	0	0	1	1	0	2	0	1	0	1	1	1	0	0	1	0	0	2.0	0	3	Two people are talking under the tree.	0
7	0	0	1	1	0	2	0	0	0	1	0	1	1	0	1	0	0	3.0	0	2	Actions can speak louder than words.	0
5	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	2.0	0	1	Two friends laughing together.	0
5	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	2.0	0	1	Two friends talking deeply.	0
8	1	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	5	Colors blend together in a beautiful sunrise.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
8	1	0	1	1	0	2	0	1	0	2	0	0	0	0	1	0	0	2.0	0	5	Action unfolds swiftly within the bustling marketplace.	0
13	0	0	2	2	0	3	1	2	0	2	0	0	1	0	0	1	0	4.0	0	5	Run through the meadow, feel the soft grass beneath your feet.	0
9	0	0	2	2	0	2	0	1	0	2	0	0	0	1	0	0	0	4.0	1	3	Run in the forest, surrounded by trees.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
7	0	0	1	1	0	3	0	1	0	1	0	0	0	0	0	0	0	2.0	0	5	Dance under the twinkling night sky.	0
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	5	Runners dash down the long grassy field.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
6	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	4	Run freely on the grass.	0
4	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	1	John plays football.	0
9	0	0	1	2	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	6	Ideas connect with each other in intricate webs.	0
7	1	0	2	0	0	0	1	0	0	3	0	0	0	1	0	1	0	2.0	1	3	Move over, let me pass.	0
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	Two friends met in the park.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Verbs dance in the silent room.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	0	1	0	2.0	0	4	Flying bird in clear sky.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
7	0	0	1	0	0	2	0	1	0	1	1	1	0	0	1	1	0	2.0	0	2	Two friends are playing a game.	0
12	1	1	1	1	0	1	2	0	0	3	0	1	0	2	1	1	0	4.0	2	5	Move quickly if you're going to make it on time.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	0	1	0	2.0	0	4	Sail the turquoise waters swiftly.	0
11	0	0	2	1	0	3	0	3	0	2	0	0	0	0	0	2	0	3.0	0	7	Move the boxes to the side, clear the table.	0
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Runners move swiftly around the track.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cats sit on the mat.	1
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The moon is bright tonight.	1
8	0	0	1	0	0	2	1	2	0	1	0	0	1	0	1	1	0	2.0	0	3	All the students have their own textbooks.	1
11	0	0	1	1	0	4	0	3	0	1	0	0	1	0	1	1	0	3.0	0	4	Each book on the table has a unique cover design.	1
7	0	0	1	0	0	2	0	2	0	1	0	1	0	0	1	1	0	2.0	0	2	Each child will receive a toy.	1
9	1	0	1	1	0	1	1	1	0	2	0	0	0	1	1	1	0	3.0	1	3	All of us need pens to write effectively.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are five bananas on the table.	1
