n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
5	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	2	Sarah drank tea quickly.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The cat purred contentedly on the soft cushion.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	0	0	1	0	0	2	0	2	0	1	0	0	2	0	1	1	0	2.0	0	3	The purple elephant climbed the green mountain.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
7	1	0	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	2.0	0	4	The cat purredcontentedly on my lap.	0
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	2	Here you go: The cat sat on the mat.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	My cat sat silently on the mat.	0
21	0	0	4	4	0	4	2	1	0	2	0	0	4	0	1	0	1	3.0	1	10	Snuggling up to the soft, cuddly dog, she burst into joyful laughter at its puppy-like antics. 	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is gray. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	0	0	1	0	0	2	0	2	0	2	0	1	0	0	2	0	1	4.0	1	5	  The man the woman loves is smiling.	0
2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	Go!	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The cat purred. There is only one word in this instruction	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog ran. 	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the sofa.	0
3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	 Water flows.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The cat slept.	0
4	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	2.0	0	2	Always buy quality socks	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the matt.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
18	0	1	2	1	2	4	0	2	0	2	0	0	4	0	1	2	0	5.0	0	6	Although brief, the absence of adpositions emphasizes individual elements and fosters an intentional and concise communication. 	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the chair.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog ran quickly.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sleeps on the mat.	0
25	1	1	2	1	0	8	3	2	0	3	1	2	1	3	3	3	0	5.0	3	14	I have generated the sentence with 0 adpositions below: Eating an ice cream cone is enjoyable because its sweetness satisfies your taste buds.	0
