n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
12	1	0	1	1	0	3	0	2	0	1	0	0	3	0	1	1	0	4.0	0	5	The ancient manuscript contains numerous instances of the hitherto undiscovered glyphs.	0
10	0	0	1	1	0	1	1	1	2	1	0	1	1	0	1	0	0	2.0	0	4	The Mona Lisa is renowned for her enigmatic smile.	0
15	1	0	2	2	0	3	0	1	2	1	0	1	2	0	1	0	0	3.0	0	7	The ancient Roman amphitheater in Verona, Italy is still used for performances today.	0
16	1	0	2	2	0	4	0	3	0	2	0	0	2	1	1	1	0	3.0	1	6	The sun dips slowly beneath the horizon, casting long shadows on the tranquil landscape.	0
7	0	0	1	1	0	2	1	0	0	1	1	0	0	0	1	1	0	2.0	0	4	I baked two cakes from scratch.	0
10	0	0	1	1	0	4	0	2	0	1	0	0	1	0	1	1	0	3.0	0	4	An early morning fog drapes the treetops in mystery.	0
12	0	0	1	2	0	4	0	2	0	0	0	1	2	0	1	0	0	3.0	0	6	The discovery of penicillin was a pivotal moment in medical history.	0
11	0	0	1	1	1	4	0	0	0	0	0	1	3	0	1	0	0	4.0	0	6	Scientific research on plant growth processes is complex and multi-faceted.	0
12	0	0	1	1	0	4	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Every employee's productivity is vital for a business's success.	0
7	0	0	1	0	0	2	1	0	0	2	0	0	1	0	1	2	1	3.0	1	3	Passing multiple tests proves your skills.	0
12	0	0	1	2	0	4	0	1	0	1	0	1	2	0	1	1	1	3.0	1	10	Constructing intricate patterns out of glass beads is an arduous process.	0
19	1	0	2	3	0	5	1	2	0	3	0	0	1	2	1	1	0	3.0	2	8	In the aftermath of a disaster, aid agencies swiftly respond to deliver essential supplies to those affected.	0
14	0	0	1	2	1	4	0	2	1	2	0	0	1	1	0	1	0	5.0	1	3	In the heart of Paris lies an iconic monument symbolizing unity and love.	0
14	0	0	2	2	0	4	1	3	0	1	0	0	1	0	1	1	0	2.0	0	8	Every morning, I take a long walk along the seashore for exercise.	0
13	1	0	1	0	0	3	0	2	0	2	0	2	0	1	1	1	0	4.0	1	4	Each word must be carefully typed to ensure the email's accuracy.	0
12	1	0	1	1	1	3	0	2	0	2	0	0	1	0	1	1	0	3.0	0	4	A team of engineers meticulously dismantled and restored the antique clock.	0
18	0	0	3	2	0	5	0	3	0	4	0	0	1	0	1	1	1	4.0	1	8	The ancient manuscript, preserved in the library archives, contained forgotten knowledge of the lost civilization.	0
19	0	0	4	2	1	5	0	2	1	0	1	1	2	0	1	0	0	3.0	0	6	In ancient Greek mythology, the Nine Muses were deities of knowledge, inspiration, and the arts.	0
11	0	0	2	1	0	2	1	1	0	1	2	0	1	0	1	0	0	3.0	0	5	Every second, 200 billion neurons communicate in our brain.	0
13	1	0	1	2	0	5	0	3	0	1	0	0	0	0	1	1	0	3.0	0	6	The invention of the printing press dramatically transformed the distribution of information.	0
11	1	0	1	2	0	3	0	0	0	2	0	1	0	1	1	0	0	3.0	1	4	Students are frequently advised to arrive on time to class.	0
16	2	0	1	0	0	2	1	1	2	2	0	0	3	1	1	2	0	4.0	1	5	Sherlock Holmes' exceptional analytical skills allowed him to solve even the most complex cases.	0
11	2	0	1	1	0	3	1	1	0	1	0	0	1	0	1	1	0	3.0	0	7	I always bring an extra pair of shoes when hiking.	0
8	0	0	1	1	0	1	1	0	1	1	0	0	2	0	1	0	0	2.0	0	4	Ancient Egypt flourished under its dynastic rule.	0
10	1	0	1	0	0	4	0	2	0	1	0	0	0	0	1	1	0	3.0	0	4	The architect's designs impressed the building committee immensely.	0
10	0	0	1	1	0	3	0	2	0	2	0	0	1	0	1	2	1	3.0	1	3	Baking a cake requires careful measurement of each ingredient.	0
17	0	0	1	3	0	4	0	3	3	1	0	0	2	0	1	1	0	4.0	0	8	The archaeological findings along the banks of the River Ouse provided crucial evidence of Viking settlements.	0
14	0	0	2	0	1	4	0	2	0	2	0	1	2	0	1	1	1	3.0	1	12	Constructing an efficient machine network is a complex and time-consuming procedure.	0
9	0	0	1	1	0	4	0	1	0	1	0	0	1	0	1	1	0	3.0	0	3	The company offers several types of insurance policies.	0
10	0	0	1	0	1	3	0	1	0	2	0	0	1	0	1	2	1	3.0	1	4	To learn a foreign language requires patience and dedication.	0
13	0	0	1	1	0	4	0	3	0	2	0	0	1	1	1	1	0	4.0	1	3	The symphony orchestra began to strike the final chords of the concert.	0
14	0	0	1	2	0	4	0	1	0	1	0	1	4	0	1	1	0	3.0	0	5	Archaeological evidence has shed light on various aspects of the ancient Roman civilization.	0
10	2	0	1	0	0	2	2	1	0	2	0	0	0	1	2	1	0	3.0	1	4	My dog barks persistently when someone approaches the house.	0
14	0	0	1	1	0	4	0	1	0	1	0	0	5	0	1	1	0	3.0	0	6	A renowned author's latest work received critical acclaim from prestigious literary magazines.	0
9	0	0	1	1	0	5	0	0	0	1	0	0	1	0	1	1	0	2.0	0	5	Fog lights enhance road visibility in rainy conditions.	0
19	1	0	3	3	0	4	0	3	0	3	0	0	2	1	1	0	1	4.0	2	7	The ancient manuscript, adorned with precious metals, lies hidden deep beneath the ruins of the temple.	0
19	1	0	2	1	1	3	4	1	0	4	0	0	1	2	1	3	0	5.0	2	6	The unopened email sat ominously in his inbox, beckoning him to open it and address its contents.	0
13	0	0	2	1	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun rises each day, painting the sky with vibrant colors.	0
18	0	0	3	2	0	4	1	3	0	2	0	0	3	1	1	1	0	4.0	1	6	The sun rose over the distant mountains, illuminating the landscape with its warm, golden hues.	0
11	0	1	1	0	0	3	0	1	0	2	0	1	2	1	2	1	1	3.0	2	6	Inspecting the faulty machine part is mandatory before operation resumes.	0
9	1	0	1	1	1	3	0	0	0	2	0	0	0	0	2	0	0	3.0	0	4	Fish live underwater and humans live above ground.	0
16	0	0	2	3	0	3	1	1	2	2	0	0	1	1	1	0	0	4.0	1	4	My great-grandfather emigrated from Finland to work in the copper mines in England.	0
11	1	0	1	0	0	3	2	0	0	3	0	1	0	1	2	2	1	3.0	2	5	Students who miss class will have their grades affected negatively.	0
25	1	1	3	0	2	2	2	2	0	6	0	1	3	2	1	3	1	5.0	3	11	To ensure a consistent and high-standard output, it's recommended to thoroughly edit and proofread all written documents before submitting them.	0
14	0	0	1	3	0	5	0	2	0	1	0	1	1	0	1	1	0	3.0	0	7	Students must pay attention during class for the greatest benefit from the lessons.	0
15	0	0	2	2	1	4	0	1	0	1	0	1	3	0	1	1	1	5.0	1	11	In the realm of software engineering, writing clean and maintainable code is essential.	0
12	0	0	1	2	0	4	0	4	0	1	0	0	0	0	1	1	0	3.0	0	5	An astronaut plants a flag on the surface of the moon.	0
12	0	0	1	1	0	3	1	3	0	2	0	1	0	0	1	1	0	2.0	0	8	I've completed all the required homework assignments for the week.	0
24	0	0	3	4	0	6	0	3	5	2	0	0	1	0	1	1	1	4.0	1	12	The Mona Lisa painting, created by Leonardo da Vinci in the 16th century, captivates millions of art lovers around the world.	0
14	1	0	1	2	0	4	1	0	0	1	0	0	3	0	1	0	0	3.0	0	5	Students' average performance improved significantly after their weekly meetings with academic advisors.	0
19	0	0	1	1	2	3	3	2	0	1	0	3	3	1	4	1	0	5.0	1	8	The cake is moist and the icing is delicious but it has nuts that I am allergic to.	1
11	1	0	1	0	1	2	1	2	0	0	0	1	2	0	1	0	0	2.0	0	5	She is an excellent musician and also a talented painter.	1
24	1	0	2	3	1	5	2	3	2	3	0	0	1	1	2	2	0	5.0	1	12	You have an appointment with the dentist next Tuesday, but you also need to make a reservation for dinner on Friday night.	1
21	0	1	2	2	2	5	1	3	0	2	0	2	1	1	2	0	0	4.0	1	12	The city was alive with music and lights during the festival, and I was exhausted from dancing all night.	1
15	0	0	2	0	1	2	3	0	0	1	0	2	3	1	3	0	0	3.0	1	4	My brother's new motorcycle is red, but he wishes it was black.	1
22	3	1	3	1	0	3	1	2	0	3	0	3	0	1	3	0	0	4.0	1	8	The meeting was rescheduled twice; however, it didn't matter as the attendees couldn't arrive on time anyway.	1
18	1	0	1	2	1	3	2	2	0	2	0	3	0	0	2	1	0	3.0	0	10	You've been working on this code for hours but you haven't solved the bug yet.	1
14	2	0	2	0	1	1	1	1	0	3	0	0	2	1	2	0	0	3.0	1	5	The cake tastes delicious, yet it seems too dry to enjoy fully.	1
26	3	0	2	1	3	6	2	2	0	3	2	1	1	0	3	3	0	4.0	0	18	I can read a hundred books a month or binge watch ten series back to back, but I still crave knowledge and more stories.	1
12	0	0	1	0	3	2	1	2	0	1	0	1	1	0	2	0	0	2.0	0	4	Both the painting is a masterpiece and yet it remains unsold.	1
22	1	0	2	1	1	4	2	1	0	3	1	3	1	2	2	1	0	3.0	2	14	I have tried calling customer service three times this morning, but I haven't been able to get through yet.	1
13	1	0	2	0	1	2	1	1	0	3	0	1	1	1	1	1	0	3.0	1	6	I'll go hiking tomorrow, and also visit the local museum.	1
25	0	1	4	2	2	11	0	3	0	2	0	0	0	1	1	2	0	6.0	1	12	The application form has blank fields for name, address, and ID number, and a section for writing a statement of intent.	1
18	0	0	2	2	2	1	3	1	4	3	0	0	0	1	2	2	0	4.0	1	10	They visited Paris and London during their honeymoon, but they missed seeing the Colosseum in Rome.	1
17	1	0	2	1	1	2	2	1	1	2	1	2	0	0	2	2	0	3.0	0	10	I've studied Italian for six months, but I can't hold a conversation yet.	1
20	0	0	2	1	2	7	3	0	0	5	0	0	0	2	2	3	0	4.0	2	11	He enjoys watching movies and playing computer games, but his wife prefers reading books during her leisure time.	1
9	0	0	2	0	0	0	1	0	0	1	0	2	1	1	1	0	0	2.0	1	5	Sure, I'd be happy to help.	1
20	1	0	2	3	1	2	1	1	0	4	2	1	0	2	2	0	0	5.0	2	6	The concert will begin at six, but we have to leave at five to get there on time.	1
17	0	0	2	0	3	6	2	0	0	1	0	1	1	0	2	1	0	4.0	0	6	My uncle's favorite foods are burgers and tacos, but I prefer sushi and pizza.	1
16	0	0	2	0	1	4	0	4	0	2	0	1	1	0	2	1	0	3.0	0	10	The car wouldn't start and the phone had no signal: a double misfortune.	1
17	0	0	2	1	1	4	2	0	0	4	0	0	1	2	2	1	0	3.0	2	9	My little brother likes to build with blocks, but my sister prefers to color pictures.	1
23	2	0	2	0	2	4	5	1	0	4	0	1	0	1	3	3	0	4.0	1	12	My laptop battery died and I couldn't finish my presentation, but now I have a chance to prepare it better.	1
19	3	0	2	0	1	4	1	2	0	2	0	1	3	2	3	0	0	4.0	2	5	The city is noisy when the traffic lights remain red, but suddenly quiets when they turn green.	1
16	0	0	2	2	1	4	2	3	0	2	0	0	0	0	2	1	0	3.0	0	10	We attended the festival despite the rain, but my umbrella broke during the procession.	1
14	0	0	2	1	1	3	1	1	0	2	1	1	0	0	1	1	0	3.0	0	8	I studied for eight hours, but didn't get a passing grade.	1
15	1	0	1	0	2	5	1	1	0	2	0	1	1	1	2	2	0	4.0	1	6	My friend loves skiing and hiking but prefers hiking when the weather is warm.	1
15	1	0	1	0	1	4	2	2	0	2	0	2	0	0	2	2	0	3.0	0	8	I can finish this homework tonight or I will definitely fail the test tomorrow.	1
22	1	0	2	2	0	4	3	1	0	4	0	1	2	2	1	2	0	6.0	2	10	I finished reading the book last night, yet haven't felt motivated to share my thoughts about it with others.	1
